The watchtower is built, now, the only path is forward to freedom.	Strážní věž je postavena, teď vede jediná cesta – vpřed ke svobodě.
The watchtower is now a reality, its presence solidifying our commitment to freedom. With this crucial milestone achieved, we can only move forward, driven by the promise of a brighter future.	Strážní věž je teď skutečností a její přítomnost upevňuje naše odhodlání ke svobodě. S tímto zásadním milníkem můžeme jít jen vpřed, hnáni příslibem světlejší budoucnosti.
The watchtower stands tall, a beacon of hope and vigilance. With its completion, we are poised to take the next bold step toward freedom, ready to confront whatever challenges lie ahead.	Strážní věž stojí vysoko, maják naděje a bdělosti. Jejím dokončením jsme připraveni udělat další smělý krok ke svobodě a čelit všem výzvám, které přijdou.
The weight of leadership pressed against my shoulders like an invisible armor. Padstow's hopes now rested in my hands, and I understood the magnitude of their trust. Every step forward would be a step towards their liberation.	Tíha vedení mi doléhala na ramena jako neviditelná zbroj. Naděje Padstow teď spočívaly v mých rukou a já chápal velikost jejich důvěry. Každý krok vpřed bude krokem k jejich osvobození.
The whole village seems busy, is there anything I can help with?	Celá vesnice vypadá zaneprázdněně, mohu s něčím pomoci?
The wine dug deep and pulled out their fears. Valryn turned on his own, convinced they’d betray him. By dawn, the ship was a bloodbath, adrift and broken.	Víno proniklo hluboko a vytáhlo jejich strachy. Valryn se obrátil proti vlastním, přesvědčený, že ho zradí. Za úsvitu byla loď krvavou lázní, unášená a rozbitá.
The workbench is ready for hands-on projects. As I stepped back to admire our work, I felt a sense of accomplishment wash over me. The proper camp is finally done.	Pracovní stůl je připraven na práci. Když jsem ustoupil, abych obdivoval naše dílo, zaplavil mě pocit úspěchu. Pořádný tábor je konečně hotový.
The worker after feeling light-headed in the forge decided to take a sip of water from the well.	Dělník, kterému se v kovárně zamotala hlava, se rozhodl napít vody ze studny.
Them mutts, always been a bother 'round these parts, but they've never come this near afore. To think they'd go after one of me cows, that's somethin' else, ain't it? They're gettin' gutsier, them wolves. Ain't no good sign, that. Means trouble for all of us here, it does.	Ti čokli tu vždycky dělali potíže, ale nikdy předtím nepřišli tak blízko. Že by šli po jedné z mých krav, to je něco jiného, co? Ti vlci jsou čím dál drzejší. To není dobré znamení. Znamená to potíže pro nás všechny, to jo.
Then ask someone else, I have no time for answering your dumb questions.	Tak se zeptej někoho jiného, nemám čas odpovídat na tvé hloupé otázky.
Then you can bleed on your own. I’ve no interest in cheap work.	Tak si krvácej sám. O lacinou práci nemám zájem.
There are a lot of broken bottles down here, shattered into pieces. I can still smell the ale. Could it be that they lost control of the cart and fell with it?	Je tu dole spousta rozbitých lahví, na kusy. Pořád cítím pivo. Že by ztratili kontrolu nad vozem a spadli s ním?
There are several myths about the goddess Seavunda. The ones that come to mind are the one about the Lover’s Leap and the Legend of the Drowned king. Which one would you like to know?	O bohyni Seavundě je několik mýtů. Napadají mě ten o Skoku milenců a Legenda o utopeném králi. Který chceš slyšet?
There are smugglers lurking about, so I wouldn’t advise leaving town after dark.	Číhají tu pašeráci, tak bych neradil opouštět město po setmění.
There is always the risk, mate. But the risk is half the fun.	Riziko je vždycky, kamaráde. Ale riziko je půlka zábavy.
There is no room for idle chatter because there is training to be done.	Na plané tlachání není místo, protože je třeba cvičit.
There is not too much to talk about, an honest family business that produces one of the best wines.	Není moc o čem mluvit, poctivé rodinné řemeslo, které vyrábí jedno z nejlepších vín.
