# Rozhraní, dokončení část A - namespace <TAB> klíč <TAB> překlad
#
# Množná čísla dostávají české tvary (one/few/many/other).
# U MistNpcHunger je rodový přepínač využitý na sloveso ("dostal/dostala"),
# protože čeština rod v minulém čase rozlišuje a angličtina ne.

Caravans	ExecuteResult.NotEnoughCarriers.Short	Bez nosičů
Caravans	ExecuteResult.NotEnoughCarts.Short	Bez povozů
Caravans	ExecuteResult.NotEnoughGuards.Short	Bez strážných
Caravans	ExecuteResult.NotEnoughMoney	Nedostatek peněz.
Caravans	ExecuteResult.NotEnoughMoney.Short	Bez peněz
Caravans	ExecuteResult.Success	Karavana byla vyslána.
CartCraftingComponent	CartsLimitReached	Dosažen strop povozů

ChatMessage	EarnedMoney	<msglog>Vyděláno </><msglog_yellow>{Amount}</><msglog> mincí</>
ChatMessage	ReachedLevel	<msglog>Dosažena úroveň </><msglog_red>{Level}</>
ChatMessage	SpentMoney	<msglog>Utraceno </><msglog_red>{Amount}</><msglog> mincí</>
MessageLog	GotItems	<msglog>Získáno </><msglog_green>{Amount}</><msglog> {Name}</>
MessageLog	LostItems	<msglog>Ztraceno </><msglog_red>{Amount}</><msglog> {Name}</>

CommandOrder	HarvestFoliage	Sklidit {ResourceName}
CommandOrder	OrderSquadToWait	Čekat
CommandOrder	SendSquadStockUp	Doplnit zásoby
CommandOrder	SendSquadToAttackTarget	Zaútočit na cíl
CommandOrder	SendSquadToConstruction	Přinést materiál
CommandOrder	SendSquadToFollowTarget	Následovat cíl
CommandOrder	SendSquadToLootArea	Prohledat oblast
CommandOrder	SendSquadToMoveToPosition	Přesunout na pozici
CommandOrder	SendSquadToUpdateTheirEquipment	Obnovit výstroj
CommandOrder	SendSquadToWarehouse	Použít skladiště

ConstructionSite	ConstructionFinished	Stavba {Structure} je dokončena!
ConstructionSite	ConstructionFinishedBuild	Nyní můžeš v {SettlementName} stavět {Structure}!

Crafting	InsuffiecientSkill	Vyžaduje {Skill} {Value}
Crafting	LackResources	Nedostatek surovin
Crafting	LightFireInCraftingStructure	Oheň
Crafting	No workers	Žádní dělníci
Crafting	TargetReached	Cílové množství splněno

CreateCharacterScreen	ChangeSettings	Změnit
CreateCharacterScreen	CloseConfirmation	Chceš opustit tvorbu postavy?
CreateCharacterScreen	CustomSettings	Vlastní
CreateCharacterScreen	DuplicateName	Postava s tímto jménem už existuje.
CreateCharacterScreen	JoinGameConfirmation	Jsi připraven vstoupit do hry?
CreateCharacterScreen	NameContainsInvalidCharacters	Jméno postavy obsahuje nepovolené znaky.
CreateCharacterScreen	NameTooLong	Jméno postavy je příliš dlouhé.
CreateCharacterScreen	NoFreeSaveSlot	Není volná pozice pro uložení. Smaž prosím některou existující hru.
CreateCharacterScreen	NoName	Zadej jméno své postavy.
CreateCharacterScreen	StartGameConfirmation	Jsi připraven začít hru?

CrosshairSize	Hidden	Skrytý
CrosshairSize	Large	Velký
CrosshairSize	Small	Malý

DeliveryOrders	Always	Vždy ponechat
DeliveryOrders	AlwaysLoad	Vždy naložit, ponechat
DeliveryOrders	Daily	Denně
DeliveryOrders	Weekly	Týdně
DeliveryOrders	OneTime	Jednorázově
DeliveryOrders	LoadOnce	Naložit jednou
DeliveryOrders	NeverLoad	Nikdy nenakládat
DeliveryOrders	DeliveredNotification	Doručeno {Num} {ItemName} z {OriginSettlement} do {Destination}
DeliveryOrders	VillageDeliveredNotification	Doručeno {Num} {ItemName} z {OriginSettlement} do stavby {StructureName} v {Destination}

Distance	Meters	{Value} m
DropBag	DropBagName	Odhozený vak

Duration	Ago	před {Duration}
Duration	Days	{Days} d
Duration	Hours	{Hours} h
Duration	Minutes	{Minutes} min
Duration	Seconds	{Seconds} s
Duration	FullDays	{Days} {Days}|plural(one=den,few=dny,many=dne,other=dní)

EquipmentTool	Bow	Luk
EquipmentTool	Mining	Krumpáč
EquipmentTool	Weapon	Zbraň
EquipmentToolAction	Digging	Kopání
EquipmentToolAction	Hoe	Okopávání
EquipmentToolAction	Mining	Těžba
EquipmentToolAction	Smithing	Kování

ErrorMessages	ControllerDisconnect	Ovladač byl odpojen! Pokračuj stiskem <action key="Virtual_Gamepad_Accept"/> na připojeném ovladači.

EventMessage	NpcDied_HudLog	{NpcName} zemřel
EventMessage	NpcInjured_HudLog	{NpcName} byl zraněn
EventMessage	NpcInjuredByAnimal_HudLog	{NpcName} byl zraněn zvířetem
EventMessage	NpcInjuredByBandit_HudLog	{NpcName} byl zraněn v boji
EventMessage	NpcKilledByAnimal_HudLog	{NpcName} byl zabit zvířetem
EventMessage	NpcKilledByBandit_HudLog	{NpcName} padl v boji

FDensityRoutingEngine	InvalidInputData	Přeskakuji neplatná vstupní data
FDensityRoutingEngine	MetadataMismatch	Neshoda metadat mezi vstupy
FDensityRoutingEngine	NoDensityRanges	Nenastaveny žádné rozsahy hustoty
FDensityRoutingEngine	NoPointDataInInput	Nelze získat bodová data ze vstupu

FaciltiiesRecipeStatus	InQueue	Ve frontě
FaciltiiesRecipeStatus	MissingInput	Chybí vstup
FaciltiiesRecipeStatus	NoDemand	Bez poptávky
FaciltiiesRecipeStatus	StorageFull	Sklad plný
FaciltiiesStatus	MissingFuel	Chybí palivo
FaciltiiesStatus	MissingInput	Chybí vstup
FaciltiiesStatus	MissingTools	Chybí nástroje
FaciltiiesStatus	NoDemand	Bez poptávky
FaciltiiesStatus	StorageFull	Sklad plný

Faction	PlayerFactionWithHost	{FactionName} hráče {HostName}
Faction	PlayerFactionWithSettlement	Povstalci z {SettlementName}
Factions	BrigandsHeadquarters	Velitelství lupičů
FarmAnimalFilterView	Condition	Stav
Farming	Till	Zorat
Farming	Weeding	Plení

