# Quests/SideQuests - delsi texty, 35. davka
It’s got me nervous. Since you were a sport with Bessie, would you brave the straw run too?	Znervózňuje mě to. Když jsi byl tak hodný s Bessie, odvážil by ses i pro tu slámu?
It’s how the world goes. You keep diggin’, diggin’, and diggin’ and you mess too much with the earth that the water has to find other ways.	Tak už to na světě chodí. Kopeš, kopeš a kopeš, až se v zemi tak přehrabeš, že si voda musí najít jinou cestu.
It’s incredibly urgent, especially now that we can't rely on the roads being safe.	Je to nesmírně naléhavé, obzvlášť teď, když se nemůžeme spolehnout na bezpečné cesty.
It’s most likely well defended, but you look like someone who can handle themselves.	Nejspíš to bude dobře bráněné, ale vypadáš jako někdo, kdo se o sebe postará.
It’s never gotten violent, but I’m certain it will someday. And that’s what’s scaring me.	Nikdy to nepřerostlo v násilí, ale jsem si jistý, že jednou ano. A to mě děsí.
It’s not cheating—it’s business. And if the villagers are happy with their purchases, what’s the harm?	Není to šizení - je to obchod. A jestli jsou vesničané se svými nákupy spokojení, kde je škoda?
It’s not just a coincidence. The symbols I’ve seen are often associated with dark rituals meant to invoke fear and control over the villagers.	Není to náhoda. Znaky, které jsem viděl, se často pojí s temnými obřady, jež mají vzbudit strach a ovládnout vesničany.
It’s not just about storing food—it’s about making sure nothing goes to waste. But I can’t do it alone. Will you help me?	Nejde jen o skladování jídla - jde o to, aby nic nepřišlo nazmar. Ale sám to nezvládnu. Pomůžeš mi?
It’s not right but I have to do it. I can’t risk being exiled and leaving my wife.	Není to správné, ale musím to udělat. Nemohu riskovat vyhnanství a opustit ženu.
It’s not suspect, excuse you! I just wanted to bring a little booze to the festival!	Není to podezřelé, dovol! Jen jsem chtěl na slavnost přinést trochu kořalky!
It’s not time for sarcasm, ok? Even worse, he forgot to bring the weapon you made him. He’s going to feel so embarrassed when he realizes!	Teď není čas na výsměch, jasné? Ještě hůř, zapomněl vzít zbraň, kterou jsi mu vyrobil. Až mu to dojde, propadne se hanbou!
It’s possible alright, I’ll just need you to bring me some iron ingots. With that said, I may have another proposition on how we can deal with this situation…	Možné to je, jen potřebuji, abys mi přinesl železné ingoty. A když už jsme u toho, možná mám jiný návrh, jak tu situaci vyřešit…
It’s quite simple. The justice system is broken in Karvenia. You know it, I know it. Every farmer and every member of the royal family knows it.	Je to prosté. Spravedlnost je v Karvenii rozvrácená. Ty to víš, já to vím. Každý sedlák i každý člen královského rodu to ví.
