# Quests/SideQuests - 20. davka
Thank you, I will speak with him.	Děkuji, promluvím s ním.
Thank you, I will tell him that.	Děkuji, vyřídím mu to.
Thank you, I will.	Děkuji, udělám to.
Thank you, I won’t do it again, I won’t make Gregory and Hank fight over me.	Děkuji, už to neudělám, nenechám Gregoryho a Hanka, aby se o mě prali.
Thank you, I’ll keep that in mind.	Děkuji, budu na to pamatovat.
Thank you, I’ll rest here and hope that my traveling luck didn't fully run out.	Děkuji, odpočinu si tu a budu doufat, že mě cestovatelské štěstí ještě zcela neopustilo.
Thank you, I’m honored.	Děkuji, je mi ctí.
Thank you, my friend.	Děkuji ti, příteli.
Thank you, rest well.	Děkuji, odpočiň si dobře.
Thank you, thank you!	Děkuji, děkuji!
Thank you, that was fun!	Děkuji, byla to zábava!
Thank you, that's very kind.	Děkuji, to je od tebe laskavé.
Thank you, traveler.	Děkuji ti, pocestný.
Thank you, you’ve been about as helpful as a horse underwater.	Děkuji, byl jsi asi tak užitečný jako kůň pod vodou.
Thank you. Hopefully now the village will continue to have pure drinking water.	Děkuji. Snad teď bude mít vesnice dál čistou pitnou vodu.
Thank you. I just need a moment to prepare the brew.	Děkuji. Jen potřebuji chvíli na přípravu odvaru.
Thank you. I will check with him later. Don’t get lost again.	Děkuji. Zajdu za ním později. Zase se neztrať.
Thank you. I will.	Děkuji. Udělám to.
Thank you. I'm glad to help.	Děkuji. Rád pomohu.
Thank you. It won’t happen again. Tell her that I’m really sorry.	Děkuji. Už se to nestane. Vyřiď jí, že mě to opravdu mrzí.
Thank you. I’ll be going now.	Děkuji. Teď už půjdu.
Thank you. I’ll report back to you afterwards.	Děkuji. Pak se ti ozvu.
Thank you. Once again, I appreciate what you’ve done for me.	Děkuji. Ještě jednou si vážím toho, co jsi pro mě udělal.
Thank you. Please, come find me tomorrow.	Děkuji. Vyhledej mě prosím zítra.
Thank you. Welcome in The Lord's Crabs.	Děkuji. Vítej U Pánových krabů.
Thank you. We’ll speak soon, Elder.	Děkuji. Brzy si promluvíme, stařešino.
Thank you… I’ll continue to wait; maybe one day she’ll come back home.	Děkuji… Budu čekat dál; možná se jednou vrátí domů.
Thank you… I’ll deal with the body.	Děkuji… O tělo se postarám.
Thanks for sharing. Take care.	Díky, žes se podělil. Opatruj se.
Thanks for sharing? Good luck with your endeavors.	Díky, žes se podělil? Hodně štěstí v tvém počínání.
Thanks for the coins. Catch that trout for both of us, eh?	Díky za mince. Chyť toho pstruha za nás oba, co?
Thanks for the info.	Díky za zprávu.
Thanks for the information.	Díky za zprávu.
Thanks for the pointer, Amelie. I'll see what's happening.	Díky za tip, Amelie. Podívám se, co se děje.
Thanks for the spices i will be on my way now.	Díky za koření, teď půjdu svou cestou.
Thanks for your help.	Díky za tvou pomoc.
Thanks, farewell.	Díky, buď sbohem.
That bruising around your eye, what happened?	Ta modřina kolem oka, co se stalo?
That depends on how much you are willing to pay…	Podle toho, kolik jsi ochoten zaplatit…
That depends on what you want from me.	Podle toho, co ode mě chceš.
That does sound like Brigands alright… Let’s get back to the main topic.	To zní jako Brigands, to ano… Vraťme se k hlavní věci.
That is all.	To je vše.
That is Haerndean in short: people want change, but fear its cost.	To je Haerndean v kostce: lidé chtějí změnu, ale bojí se, co bude stát.
That is what I once believed. But now, it’s not so clear.	Tomu jsem kdysi věřil. Ale teď to tak jasné není.
That makes sense. Do you have anyone in mind for the job?	To dává smysl. Máš na tu práci někoho na mysli?
That makes sense. I’ll work to earn the village’s trust.	To dává smysl. Budu si důvěru vesnice zasluhovat.
That must have been frustrating. Can you tell me more about what happened?	To muselo být nepříjemné. Můžeš mi povědět víc o tom, co se stalo?
That pig looks decent, but I’ve seen better. What’s your asking price?	To prase vypadá slušně, ale viděl jsem lepší. Kolik za něj chceš?
That poor merchant… I hope that wherever they brought him, he won’t suffer.	Ten ubohý kupec… Doufám, že ať ho odvedli kamkoli, nebude trpět.
That seems fair, but how can I get bronze ingots?	To zní poctivě, ale jak seženu bronzové ingoty?
That seems like a fair deal. Not bad.	To zní jako poctivá dohoda. Není to špatné.
That seems nice, but why do you want my help?	Zní to pěkně, ale proč chceš mou pomoc?
That seems petty for the Elder.	Na stařešinu to zní malicherně.
That shouldn't be a problem.	To by neměl být problém.
That sounds dangerous. I’m out.	Zní to nebezpečně. Končím.
That sounds like a good cause, I’ll be happy to help.	Zní to jako dobrá věc, rád pomohu.
That sounds like more trouble than it’s worth. I’ll pass.	Zní to jako víc potíží, než to stojí za to. Nechám to být.
That sounds like quite the predicament. You want me to bring the straw for you?	Zní to jako pořádná šlamastyka. Chceš, abych ti tu slámu přinesl?
That sounds serious. How can I help?	Zní to vážně. Jak mohu pomoci?
That sounds serious. What can I do to help?	Zní to vážně. Jak mohu pomoci?
That sounds… complicated. Do you ever finish any of your tales?	Zní to… složitě. Dokončil jsi někdy nějaké své vyprávění?
That will be {cost} gold.	To bude {cost} zlatých.
That will be {cost} gold. ( {CompanionsCount} companions)	To bude {cost} zlatých. ( {CompanionsCount} druhů)
That won’t be necessary. Best of luck with your baby.	To nebude třeba. Hodně štěstí s tvým dítětem.
That's all I wanted to know. Thank you for your time.	To je vše, co jsem chtěl vědět. Děkuji za tvůj čas.
That's deeply concerning. How can I help investigate this matter?	To je hluboce znepokojivé. Jak mohu pomoct to prošetřit?
That's none of your business. Get lost.	Do toho ti nic není. Zmiz.
That's not good. Is there any solution for that?	To není dobré. Existuje na to nějaké řešení?
That's the spirit! Ha, get it? Alright, take the bag. Good luck out there.	To je ten správný duch! Ha, chápeš? Dobrá, vezmi si ten pytel. Hodně štěstí venku.
That's truly admirable! The village is fortunate to have you.	To je vskutku obdivuhodné! Vesnice má štěstí, že tě má.
That’s a grim thought. But what can I do? I’m just one man.	To je chmurná představa. Ale co mohu dělat? Jsem jen jeden člověk.
That’s a heavy question. The rebellion started ten years ago, give or take.	To je těžká otázka. Vzpoura začala zhruba před deseti lety.
That’s a lot to do. But fine. I’ll get to it.	To je hodně práce. Ale dobrá. Pustím se do toho.
That’s a lot to take on. I’ll get to it later.	To je hodně na jednoho. Pustím se do toho později.
That’s a shame but I understand. I’ll be waiting for the ore.	To je škoda, ale chápu. Budu čekat na tu rudu.
That’s a terrible situation to be in. I’ll help you.	To je hrozná situace. Pomohu ti.
That’s all fine and dandy, but how much are you asking for it?	To je všechno pěkné, ale kolik za to chceš?
That’s all for now.	To je prozatím vše.
That’s all for now. We’ll speak later.	To je prozatím vše. Promluvíme si později.
That’s all I need for now.	To je prozatím vše, co potřebuji.
That’s all I need to know, bye.	To je vše, co potřebuji vědět, sbohem.
That’s amazing, how did you do it?	To je úžasné, jak jsi to dokázal?
That’s barbaric to trade a person like cattle!	Obchodovat s člověkem jako s dobytkem je barbarské!
That’s fair, here’s your coins.	To je poctivé, tady máš mince.
That’s fair. Is 50 gold enough?	To je poctivé. Stačí 50 zlatých?
That’s good news. Then why do you look so downtrodden?	To je dobrá zpráva. Tak proč vypadáš tak sklesle?
That’s great news! She’ll be a valuable part of the team. And what about Finton?	To je skvělá zpráva! Bude cennou posilou. A co Finton?
That’s it? This is supposed to cure me!?	To je všechno? Tohle mě má vyléčit!?
That’s not funny, just take the letter.	To není vtipné, prostě si ten dopis vezmi.
That’s probably for the best.	To bude nejspíš tak nejlepší.
That’s really impressive.	To je opravdu působivé.
That’s right, if you can deliver it I will shower you with gold I promise.	Přesně tak, jestli to doručíš, zasypu tě zlatem, slibuji.
That’s terrible, I’m sorry. I’ll help you with the Rawhide.	To je hrozné, je mi líto. Pomohu ti s tou surovou kůží.
That’s the kind of spirit we like around here!	Přesně takového ducha tu máme rádi!
That’s the spirit!	To je ten správný duch!
That’s too expensive.	To je příliš drahé.
That’s what freedom is, struggle. But better than living under Ashbourne, right?	Taková je svoboda, samý zápas. Ale lepší než žít pod Ashbournem, ne?
That’s what I wanted to hear. Look, I’ll mark the place on the map.	Přesně to jsem chtěl slyšet. Podívej, označím ti to místo na mapě.
That’s why Dalibor’s apprentice came to me. He was scared for his life.	Proto za mnou přišel Daliborův učedník. Bál se o život.
That’s… really not important.	To… opravdu není důležité.
That… explains a lot. Anyway, I’ll get to work on those items for you.	To… ledacos vysvětluje. Každopádně se do těch věcí pro tebe pustím.
The blacksmith charged me 100 coins for iron tools!	Kovář ode mě za železné nářadí chtěl 100 mincí!
The Brigands truly carry themselves as if they are the owners of this land.	Brigands se vskutku chovají, jako by tahle země patřila jim.
The Casmere inscription suggests a maritime connection.	Nápis z Crasmere naznačuje spojení s mořem.
The criminals behind this senseless death will face justice, one way or another.	Zločinci za tou nesmyslnou smrtí se tak či onak postaví před soud.
The Elder agreed, he is waiting for the first trade meeting with you.	Stařešina souhlasil, čeká na první obchodní schůzku s tebou.
The Elder had weeks to pay his share, and Ashbourne will not wait any longer!	Stařešina měl týdny na to zaplatit svůj díl a Ashbourne už déle čekat nebude!
The Elder of Blackridgepool is ill, and I need your expertise to prepare a cure.	Stařešina Blackridgepoolu je nemocný a na přípravu léku potřebuji tvé znalosti.
The Elder seems to think you're involved somehow.	Zdá se, že si stařešina myslí, že jsi v tom nějak zapletený.
The Elder sent me to ask you some questions.	Stařešina mě poslal položit ti pár otázek.
The Elder will let you have your loan.	Stařešina ti tu půjčku povolí.
The farmer agreed to 25 coins. I’d say that’s a solid deal.	Sedlák souhlasil s 25 mincemi. Řekl bych, že je to slušná dohoda.
The farmer will pay 100 coins for Gertrude.	Sedlák za Gertrudu zaplatí 100 mincí.
The farmer will pay 50 coins for the pig.	Sedlák za to prase zaplatí 50 mincí.
The Fisher's Guild? What's their problem?	Rybářský cech? Co mají za problém?
The gods? Really? Maybe it’s just bad luck.	Bohové? Vážně? Možná je to jen smůla.
The Guild, they’re no friends of the solitary fisherman.	Cech, ti osamělým rybářům nepřejí.
The hermit, who actually owned the tools, took them.	Vzal si je poustevník, kterému to nářadí ve skutečnosti patřilo.
The Huntsman is the most secretive of the three.	Lovčí je z těch tří nejtajnůstkářštější.
The lookout is built, and I convinced Sohrvey to take the position.	Hlídka je postavená a Sohrveye jsem přemluvil, aby to místo vzal.
The mine needs skilled workers to help with repairs. Will you lend a hand?	Důl potřebuje zručné dělníky na opravy. Přiložíš ruku k dílu?
The only thing I lack is a solid Heavy Hammer.	Jediné, co mi schází, je pořádné těžké kladivo.
The patrols have been eliminated.	Hlídky jsou zlikvidované.
The point is, I need you to bring me Sturdy Falchion and Sneaky Dagger.	Jde o to, že potřebuji, abys mi přinesl pevný tesák a plíživou dýku.
The problem is, if they see me, then it’ll end badly. It needs to be you, alone.	Potíž je, že když mě uvidí, skončí to zle. Musíš to být ty, sám.
The problem? I don’t follow, Elder.	Potíž? Nerozumím, stařešino.
The Theseus Mercenaries? Never heard of them.	Théseovi žoldáci? O těch jsem nikdy neslyšel.
The thing I need you to do is to go meet with our first client.	Potřebuji, abys šel na schůzku s naším prvním zákazníkem.
The village Elder is even considering setting up night watches.	Vesnický stařešina dokonce zvažuje zavést noční hlídky.
The village needs you. Without the mine, we’ll all suffer.	Vesnice tě potřebuje. Bez dolu budeme strádat všichni.
The village’s food storages are low right now and I was able to get a good deal.	Zásoby jídla ve vesnici jsou teď nízké a mně se podařilo sjednat dobrou cenu.
THE WARRIORS GUILD!	CECH VÁLEČNÍKŮ!
The wife of one of them asked me to find them. Did you actually see the attack?	Žena jednoho z nich mě požádala, ať je najdu. Viděl jsi ten útok na vlastní oči?
The word you’re looking for is “murder”. Aleks should be on trial.	Slovo, které hledáš, je „vražda“. Aleks by měl stanout před soudem.
