# Obsah hry, dávka 22 (S) - originál <TAB> překlad

# --- repliky ---
Shall we go then?	Půjdeme tedy?
See you next time!	Tak zase někdy!
Show me what you’ve got.	Ukaž mi, co máš.
Show me your fish.	Ukaž mi své ryby.
Show me your latest catch.	Ukaž mi poslední úlovek.
Show me your wares.	Ukaž mi své zboží.
So it’s you.	Tak to jsi ty.
So that’s how you became a mercenary.	Tak takhle ses stal žoldnéřem.
So the caravan is ready?	Takže karavana je připravená?
So you also believe the Vodyalies just changed places?	Takže i ty věříš, že se Vodyalie jen přesunuli?
So you’re lying?	Takže lžeš?
So, did you manage to take care of those bandits?	Tak co, vyřídil jsi ty lapky?
Something the matter?	Něco se děje?
Something?	Něco?
Soon. Is there anything more I could help you with?	Brzy. Můžu ti být ještě nějak k ruce?
Sorry, I can't do that right now.	Promiň, teď to nejde.
Sorry, I don't have time for chat right now.	Promiň, teď nemám čas na řeči.
Sorry, I'm not looking for any trouble.	Promiň, nehledám potíže.
Sorry, I’m still working on it.	Promiň, ještě na tom dělám.
Sounds fair to me.	To mi zní spravedlivě.
Sounds like a thankless job.	Zní to jako nevděčná práce.
Sounds like a tough job.	Zní to jako těžká práce.
Sounds like hard work for one man.	Na jednoho člověka to zní jako pořádná dřina.
Sounds like you’ve drunk more than you’ve sailed.	Zní to, že jsi víc vypil než odplul.
Sounds like you’ve led an interesting life.	Zní to, žes vedl zajímavý život.
Smells of old ale, but no beast inside.	Páchne starým pivem, ale žádná potvora uvnitř.
Some privacy would be nice	Trocha soukromí by bodla
She told me to come back today to receive my reward.	Řekla mi, ať se dnes vrátím pro odměnu.

# --- zadání úkolů ---
See if the gambito is in the chicken coop.	Podívej se, jestli gambito není v kurníku.
Sell the loot.	Prodej kořist.
Sell the treasure to blackmarket trader in Crasmere	Prodej poklad překupníkovi v Crasmere
Show Abel what you found.	Ukaž Abelovi, cos našel.
Show letter to Klara	Ukaž dopis Klaře
Skin the carcass	Stáhni mršinu

# --- názvy úkolů ---
Shipment Full of Surprises	Zásilka plná překvapení
Shipment quest item.	Předmět k úkolu Zásilka.
Shrines Continuation	Pokračování svatyní
Signs of Prosperity	Známky prosperity
Sir Medival quest item.	Předmět k úkolu Sir Medival.
Sleight of Hand	Hbité prsty
Slavery	Otroctví
Sigil Clue: Blackridgepool	Stopa ke znaku: Blackridgepool
Sigil Clue: Bradford	Stopa ke znaku: Bradford
Sigil Clue: Crasmere	Stopa ke znaku: Crasmere
Sigil Clue: Haerndean	Stopa ke znaku: Haerndean
Sigil Clue: Padstow	Stopa ke znaku: Padstow
Solstice	Slunovrat
Solstice Secret Booze (Quest Item)	Tajný slunovratový chlast (předmět k úkolu)
Simple rock with a letter attached to it.	Obyčejný kámen s přivázaným dopisem.

# --- semena a pěstování ---
Seed Pouch	Váček na semena
Seeds	Semena
Seeds needed to grow Apple trees.	Semena pro pěstování jabloní.
Seeds needed to grow Carrot.	Semena pro pěstování mrkve.
Seeds needed to grow Nettle.	Semena pro pěstování kopřivy.
Seeds needed to grow Onion. Can be bought from an Herbalist.	Semena pro pěstování cibule. Koupíš u bylinkáře.
Seeds needed to grow Parsnip.	Semena pro pěstování pastináku.
Seeds needed to grow Sweet Potato.	Semena pro pěstování batátů.
Snowpetal Bunch	Svazek sněžnice
Snowpetal Seeds	Semena sněžnice

# --- jídlo a suroviny ---
Silk	Hedvábí
Silver Bar	Stříbrný prut
Silver Ore	Stříbrná ruda
Shale oil	Břidličný olej
Shales	Břidlice
Soap	Mýdlo
Soups	Polévky
Sour Milk	Kyselé mléko
Smoked Food	Uzené jídlo
Smoked Fish Fillet	Uzený rybí filet
Smoked Mushroom	Uzená houba
Simple dish.	Prostý pokrm.
Small Piece of Raw Meat	Malý kus syrového masa
Small Piece of Cooked Meat	Malý kus uvařeného masa
Small Piece of Burnt Meat	Malý kus spáleného masa
Small Piece of Smoked Meat	Malý kus uzeného masa
Small piece of fried meat.	Malý kus smaženého masa.
Small piece of smoked meat. Keeps for a long time.	Malý kus uzeného masa. Dlouho vydrží.
Shimmering remnants of a fish.	Třpytivé zbytky ryby.
Smelted from gold ore in Smelting Sites.	Vytaví se ze zlaté rudy v tavírnách.
Smelted from silver ore in Smelting Sites.	Vytaví se ze stříbrné rudy v tavírnách.
Simple bag of grain from Farnworth farmer	Prostý pytel obilí od sedláka z Farnworthu
Simple bag of grain from Padstow farmer	Prostý pytel obilí od sedláka z Padstowu

# --- zvířata a ryby ---
Sheep	Ovce
Sheep Carcass	Ovčí mršina
Shearing	Stříhání
Silver Broadfin	Stříbrná širokoploutvá
Shortfin Inkfish	Krátkoploutvá sépie
Snakefish	Hadovka
Slaughter	Porazit
Skinning	Stahování z kůže

# --- zbraně a výstroj ---
Sharpened Arrows	Nabroušené šípy
Simple Arrows	Prosté šípy
Shashka Sabre	Šaška
Short Sword	Krátký meč
Short Infantry Gambeson	Krátká pěchotní prošívanice
Silverguard Cutlass	Stříbrostrážná šavle
Sledgehammer	Perlík
Sneaky Dagger	Zákeřná dýka
Simple Axe	Prostá sekera
Simple Pickaxe	Prostý krumpáč
Simple Sickle	Prostý srp
Smithing Hammer	Kovářské kladivo
Shovel	Lopata
Shears	Nůžky
Shipwright's Pack	Loďařův ranec
Small Backpack	Malý batoh
Simple Backpack Basket	Prostý nůšový batoh
Simple Bucket	Prosté vědro
