# Obsah hry, dávka 02 - originál <TAB> překlad
# Jména osob a vsí zůstávají anglická; kde jsou součástí názvu, skloňují se.

# --- často opakované repliky ---
Anything else?	Ještě něco?
Another time.	Jindy.
Another time…	Jindy…
Ask away.	Ptej se.
Ask then.	Tak se ptej.
Ask, I'm listening.	Ptej se, poslouchám.
Always glad to help.	Vždycky rád pomůžu.
Alright…	Dobře…
Alright it’s ready.	Tak, je to hotové.
Alright, then. Get to it.	Dobrá tedy. Dej se do toho.
And take one of these.	A vezmi si jedno z těchhle.
Ask something worth the breath next time.	Příště se zeptej na něco, co stojí za dech.
anything	cokoli

# --- otázky na NPC ---
Any news about your friend?	Nějaké zprávy o tvém příteli?
Any news going around?	Povídá se něco nového?
Any problems that need tending?	Je něco, co je třeba vyřešit?
Anything I can do to help?	Můžu nějak pomoct?
Anything I could help with?	Můžu s něčím pomoct?
Anything I could help with, Elder?	Můžu s něčím pomoct, stařešino?
Anything I could help you with?	Můžu ti s něčím pomoct?
Are you alright?	Jsi v pořádku?
Are you okay?	Jsi v pořádku?
Are you okay? You look nervous.	Jsi v pořádku? Vypadáš nervózně.
Are you lost?	Zabloudil jsi?
Are you Maria?	Ty jsi Maria?
Are you sure of this?	Jsi si tím jistý?
Are you sure this is the place?	Určitě je to tady?
Are you sure? That seems very unlike you.	Určitě? To ti vůbec není podobné.
Are you the leader here?	Ty tady velíš?
Are you the leader of the Cassians?	Ty vedeš Cassiany?
Aren't you afraid they will steal the cargo?	Nebojíš se, že ten náklad ukradnou?
Are the tools finished?	Jsou ty nástroje hotové?
Are the tools ready?	Jsou ty nástroje připravené?
Are offerings made to Seavunda?	Přinášejí se Seavundě oběti?
Am I allowed to dock my ship at your port?	Můžu zakotvit loď ve vašem přístavu?
Anna told me you might have a job for me.	Anna mi řekla, že bys pro mě mohl mít práci.
A fresh start… yeah, I’d like that. I’m in.	Nový začátek… jo, to bych chtěl. Jdu do toho.
100 coins is too much, how about 75 coins?	Sto mincí je moc, co třeba sedmdesát pět?
Alternative Mask?	Jiná maska?

# --- dialogové okruhy ---
About the grain you wanted me to deliver…	Ohledně toho obilí, co jsem měl dodat…
About the hammer and herbs you asked for...	Ohledně toho kladiva a bylin, cos chtěl…
About this quiver and arrows you wanted...	Ohledně toho toulce a šípů, cos chtěl…
About this whole dead Brigands situation.	Ohledně té situace s mrtvými lupiči.

# --- zápisky a předměty k úkolům ---
A letter you found on one of the smugglers.	Dopis, který jsi našel u jednoho z pašeráků.
A note that you found on one of the Brigands.	Zápisek, který jsi našel u jednoho z lupičů.
A puppet dancing on someone else's strings.	Loutka tančící na cizích nitkách.
Alistair’s Journal	Alistairův deník
Amari's Statue	Amariina socha
Alderek Trade Routes	Obchodní stezky Aldereku
Amaruk Border Report	Hraniční hlášení z Amaruku
Anti-Pest Potion (Quest Item)	Lektvar proti škůdcům (předmět k úkolu)
Antidote (Quest Item)	Protijed (předmět k úkolu)
