When I was younger, I used to count the stars. Now I’m just counting troubles.	Když jsem byl mladší, počítal jsem hvězdy. Teď počítám jen trable.
When you or your companions lose a battle, they respawn but become <highlight>Injured</> for a certain amount of time. When they lose again before healing, they die forever.\r\n\r\nInjuries apply various negative effects.	Když ty nebo tví společníci prohrajete bitvu, objeví se znovu, ale na určitou dobu jsou <highlight>zranění</>. Pokud prohrají znovu, než se uzdraví, zemřou navždy.\r\n\r\nZranění mají různé záporné účinky.
Where Roan’s reign brought prosperity and peace to the Halmare Isles, Osenne’s is remembered for severity, iron-handed decree, and the presence of the feared Falsgars, her elite enforcers.\r\n\r\nTo the Halmare Isles, she is no hero. They remember the gentle hand of her father, and contrast it sharply with her cold indifference. Whispers follow her across the realm: that she pushed her father toward madness, that she fueled the hunt for the child he feared… and darker still, that she may have hastened his death when he failed to deliver the justice she demanded.\r\n\r\nWhile King Roan’s memory is tied to a golden age now long lost, Osenne’s legacy is one of cold resolve, necessary, perhaps, but seldom loved.	Zatímco Roanova vláda přinesla Halmarským ostrovům rozkvět a mír, Osennina je vzpomínána pro přísnost, nařízení železnou rukou a přítomnost obávaného Falsgaru, jejích elitních vymahačů.\r\n\r\nPro Halmarské ostrovy není hrdinkou. Pamatují si vlídnou ruku jejího otce a ostře ji staví proti její chladné lhostejnosti. Říší ji provázejí šepoty: že dohnala otce k šílenství, že přiživovala hon na dítě, jehož se bál… a ještě temnější, že možná uspíšila jeho smrt, když nedokázal vykonat spravedlnost, kterou žádala.\r\n\r\nZatímco památka krále Roana je spojena s dávno ztraceným zlatým věkem, Osennin odkaz je odkazem chladného odhodlání, možná nutného, ale zřídka milovaného.
Where to start? I’ve built bridges, collected tolls, tripped into rivers, and for a coin I’ve crushed a few skulls with my lovely axe.	Kde začít? Stavěl jsem mosty, vybíral mýto, padal do řek a za minci jsem svou milovanou sekerou rozdrtil pár lebek.
Where wine, and wave, and whisper weep,\r\nA treasure is yours to keep.\r\nSo take what’s yours, but heed the call,\r\nLest pride and greed bring forth your fall.	Kde víno, vlna a šepot lkají,\r\ntam poklad tvůj ti nechávají.\r\nVezmi, co tvé je, však dbej volání,\r\nať pýcha a chtivost tě k pádu nesrazí.
While inspecting the torn nets, I found something odd—a torn fishing glove tangled in the mess. The cuts looked deliberate. Someone had sabotaged them.	Při prohlídce roztrhaných sítí jsem našel něco zvláštního – roztrženou rybářskou rukavici zamotanou ve změti. Řezy vypadaly úmyslně. Někdo je sabotoval.
While the exact origins of Farnworth early settlers are unknown, they soon became known in the Lowlands for their stunning furs, used both as clothing and for decoration.\r\n\r\nThe settlers in Farnworth quickly realized that people all over the Lowlands would pay well for their furs, but there was one minor snag: none of the Farnworth villagers actually knew how to hunt for furs. Indeed, the furs that they had arrived in had been stolen from Lords in the Gauntlet.\r\n\r\nIn the span of two sleepless weeks, the people of Farnworth learned how to correctly hunt and skin animals for their furs so that they’d never be caught for their crimes. The thefts only became revealed during a deathbed confession by Farnworth’s first elder, but by then, Farnworth had really become famous for its amazing, non-stolen furs.	Přesný původ prvních osadníků Farnworthu není znám, ale brzy se v Nížinách proslavili svými nádhernými kožešinami, používanými jako oděv i ozdoba.\r\n\r\nOsadníci Farnworthu rychle pochopili, že lidé po celých Nížinách za jejich kožešiny dobře zaplatí, ale byl tu jeden drobný háček: nikdo z vesničanů Farnworthu vlastně neuměl lovit kožešinovou zvěř. Kožešiny, v nichž dorazili, byly totiž ukradeny pánům v Gauntletu.\r\n\r\nBěhem dvou bezesných týdnů se lidé z Farnworthu naučili správně lovit a stahovat zvěř, aby nikdy nebyli za své zločiny dopadeni. Krádeže vyšly najevo až při zpovědi na smrtelném loži prvního stařešiny Farnworthu, ale tou dobou už byl Farnworth opravdu slavný svými úžasnými, nekradenými kožešinami.
While you cannot die from starvation, hunger significantly weakens you and your settlers. Food provides essential bonuses to health, stamina, and regeneration, with up to three different effects active at once. Cooked meals are superior to raw ingredients, but they will overcook if left on the fire too long. All food eventually spoils, though it can then be repurposed into Fertilizer.\r\n\r\nHungry settlers suffer severe penalties: workers will abandon tasks to forage in the wilderness, while guards and companions will refuse to fight and flee from combat. Hunger also lowers morale, further reducing overall efficiency.\r\n\r\nBy default, all villagers and companions attempt to fill all three of their food slots. If a companion has a Food Bag, they will also try to keep its internal slots full. Within squad settings, the food slider only determines if they should carry additional food beyond these standard slots.\r\n\r\nSettlers and guards automatically eat from shared storage when hungry. Companions, however, require management: with a Staging Ground, you can use the "Stock Up" command to have them gather food based on their Gear preset. Without one, you must manually place food into each companion's inventory to keep them fed.	Hladem zemřít nemůžeš, ale hlad tebe i osadníky výrazně oslabuje. Jídlo poskytuje nezbytné bonusy ke zdraví, výdrži a obnově, až tři různé účinky najednou. Uvařená jídla jsou lepší než syrové přísady, ale připálí se, když je necháš na ohni příliš dlouho. Všechno jídlo se nakonec zkazí, lze ho však pak zpracovat na hnojivo.\r\n\r\nHladoví osadníci trpí těžkými postihy: pracovníci opustí úkoly a jdou hledat jídlo v divočině, stráže a společníci odmítnou bojovat a utečou z boje. Hlad také snižuje morálku a dále zhoršuje celkovou účinnost.\r\n\r\nVe výchozím stavu se všichni vesničané a společníci snaží naplnit všechny tři pozice na jídlo. Má-li společník brašnu na jídlo, snaží se udržet plné i její pozice. V nastavení oddílu posuvník jídla určuje jen to, zda mají nosit další jídlo nad tyto standardní pozice.\r\n\r\nOsadníci a stráže jedí automaticky ze sdíleného skladu, když mají hlad. Společníci však vyžadují správu: s nástupištěm můžeš použít příkaz „Doplnit zásoby“, aby si nabrali jídlo podle své sady výbavy. Bez něj musíš jídlo do inventáře každého společníka vkládat ručně.
While you were looking for riches and gold, A curious letter is what you behold. No treasure within, be not in denial, A riddle from the weaver who loves a good trial. Find the jester who spun this scheme, And see if their words are as sharp as they seem!	Zatímco jsi hledal bohatství a zlato, podivný dopis nacházíš za to. Žádný poklad uvnitř, nezapírej, hádanka od tkadleny, co miluje zkoušku, věř. Najdi šaška, co tenhle plán spřádal, a zjisti, zda jeho slova jsou tak ostrá, jak se zdál!
While you were looking for riches and gold, A curious letter is what you behold. No treasure within, just a mocking jest, A riddle from the weaver who loves a good test. Find the jester who spun this scheme, And see if their words are as sharp as they seem!	Zatímco jsi hledal bohatství a zlato, podivný dopis nacházíš za to. Žádný poklad uvnitř, jen výsměch prostý, hádanka od tkadleny, co miluje zkoušky. Najdi šaška, co tenhle plán spřádal, a zjisti, zda jeho slova jsou tak ostrá, jak se zdál!
Who said I went away? I didn’t flee, I regrouped. There’s a difference. Sometimes you’ve got to vanish to strike where it hurts. That’s what survival looks like when your people are being hunted like animals.	Kdo říkal, že jsem odešel? Neutekl jsem, přeskupil jsem se. To je rozdíl. Někdy musíš zmizet, abys udeřil tam, kde to bolí. Tak vypadá přežití, když jsou tví lidé štváni jako zvěř.
Whoever left this didn’t come to mourn. The wax is untouched. No smudge, no spill. Someone wanted this to be found.	Kdo to tu nechal, nepřišel truchlit. Vosk je nedotčený. Žádná šmouha, nic rozlitého. Někdo chtěl, aby se to našlo.
Why didn't she tell me about the food for hen before? Now I need to figure out how to get it.	Proč mi o krmení pro slepici neřekla dřív? Teď musím vymyslet, jak ho sehnat.
Why do you need rugged shirts if you are building the caravan?	Proč potřebuješ hrubé košile, když stavíš karavanu?
Why do you need rugged shirts if you’re building the caravan?	Proč potřebuješ hrubé košile, když stavíš karavanu?
Why not? She’s a sweet little beast, cuddly and soft, she reminds you of fresh bread. And she even smells wonderfully.	Proč ne? Je to milé stvoření, přítulné a měkké, připomíná ti čerstvý chléb. A dokonce krásně voní.
Will always sell as many items of this type as possible. Will automatically try to load items at previous stops if necessary.	Vždy prodá co nejvíce předmětů tohoto typu. V případě potřeby se automaticky pokusí naložit předměty na předchozích zastávkách.
Will always try to buy as many items as possible. If there are no unload rules for it in next stops - will be unloaded at the final stop.	Vždy se pokusí koupit co nejvíce předmětů. Pokud pro ně na dalších zastávkách nejsou pravidla vykládky, budou vyloženy na poslední zastávce.
Will always try to unload as many items as possible to reach stock in settlement to specified amount. Will automatically try to load items at previous stops if necessary.	Vždy se pokusí vyložit co nejvíce předmětů, aby zásoba v osadě dosáhla zadaného množství. V případě potřeby se automaticky pokusí naložit předměty na předchozích zastávkách.
Will be always loading as many items as possible, but will keep at least the amount specified in stock. If there are no unload rules for in next stops - will be unloaded at the final stop.	Vždy naloží co nejvíce předmětů, ale na skladě ponechá alespoň zadané množství. Pokud pro ně na dalších zastávkách nejsou pravidla vykládky, budou vyloženy na poslední zastávce.
Will load specified amount once. After that the rule will be removed. If there are no unload rules for in next stops - will be unloaded at the final stop.	Naloží zadané množství jednou. Poté bude pravidlo odstraněno. Pokud pro ně na dalších zastávkách nejsou pravidla vykládky, budou vyloženy na poslední zastávce.
Will never load this item, even if it is requested by next stops.	Tento předmět nikdy nenaloží, i když ho další zastávky požadují.
Will only buy items if there are unloading rules in the next stops that request it.	Koupí předměty jen tehdy, pokud je na dalších zastávkách požadují pravidla vykládky.
Will only sell items that were loaded at previous stops using "Load once" or "Load always" rules.	Prodá jen předměty naložené na předchozích zastávkách pravidly „Naložit jednou“ nebo „Nakládat vždy“.
Will unload the specified amount of this item. Will automatically try to load items at previous stops if necessary. After delivering this amount - rule will be removed.	Vyloží zadané množství tohoto předmětu. V případě potřeby se automaticky pokusí naložit předměty na předchozích zastávkách. Po doručení tohoto množství bude pravidlo odstraněno.
