# Quests/SideQuests - delsi texty, 43. davka (dokonceni do 160 znaku)
What the Queen doesn’t know is that I’ve called in a favor to find out where he’s being held.	Co královna neví, je že jsem si vyžádala laskavost a zjistila, kde ho drží.
What's this about? I've got nothing to do with any bandits if that's what you're implying.	Oč jde? S žádnými lapky nic nemám, jestli to chceš naznačit.
What? That doesn’t prove anything! Maybe the storm tore my glove off while I was working!	Cože? To nic nedokazuje! Možná mi tu rukavici strhla bouře, když jsem pracoval!
Whatever you decide, just remember—this isn’t just about Asha. It’s about the safety and future of this village. Choose wisely.	Ať se rozhodneš jakkoli, pamatuj - nejde jen o Ashu. Jde o bezpečí a budoucnost téhle vesnice. Vol moudře.
Whatever you’re thinking now, stop it. I made a promise to help Cyrus with the drink.	Ať si teď myslíš cokoli, nech toho. Slíbil jsem Cyrusovi, že mu s tím nápojem pomohu.
What’s holding you back? If there’s something you need, maybe we can work something out.	Co ti brání? Jestli něco potřebuješ, možná se domluvíme.
When a Theseus Mercenary has an issue with their leader, they may challenge him or her in combat. I chose the coward’s way, murdering a man in his sleep.	Když má Théseův žoldák spor se svým vůdcem, může ho vyzvat na souboj. Já zvolil zbabělou cestu a zavraždil muže ve spánku.
When I asked him about it later, he said it had already been sold. It was odd, but I didn’t press him.	Když jsem se ho na to později ptal, řekl, že už je to prodané. Bylo to divné, ale netlačil jsem na něj.
When people do not understand, they assume the worst. I have not changed—only their trust in me has.	Když lidé nerozumějí, předpokládají to nejhorší. Já jsem se nezměnila - změnila se jen jejich důvěra ve mě.
When people don’t get the help they need, they get desperate. We don’t want that to happen.	Když se lidem nedostane pomoci, kterou potřebují, zoufají si. To nechceme dopustit.
When we heard about Padstow's liberation, we saw it as our only chance for a better life.	Když jsme se doslechli o osvobození Padstow, viděli jsme v tom jedinou naději na lepší život.
Whenever you’re ready to take on those bandits, we’ll be ready to observe, mighty teacher!	Až budeš připraven pustit se do těch lapků, budeme připraveni přihlížet, mocný učiteli!
While there is much to learn about our beautiful home, the Elder himself determines how welcome you are.	I když je o našem krásném domově mnoho k poznání, jak jsi vítán, určuje sám stařešina.
While your skepticism is noted, you should still be careful. I urge you to consult Theodor and Andrea about what they saw.	Tvá nedůvěra je zaznamenána, ale přesto bys měl být opatrný. Naléhavě ti radím promluvit s Theodorem a Andreou o tom, co viděli.
Who I remember as a dad and he treated me like his born son. He taught me how to read and write.	Kterého si pamatuji jako otce a jednal se mnou jako s vlastním synem. Naučil mě číst a psát.
Who told ya that! Me and one folk, well we had just a little disagreement. You know how things can get… after a few drinks.	Kdo ti to řekl! Já a jeden člověk, inu, měli jsme jen drobnou neshodu. Znáš to, jak se věci mohou zvrtnout… po pár skleničkách.
Who’s to say? It was a popular hunting ground, there were a lot of arrows. I can’t keep track of them all.	Kdo ví? Bylo to oblíbené lovecké místo, létalo tam hodně šípů. Nemohu je všechny hlídat.
Why don’t you ask a blacksmith to make you them, this village is known for its weapon crafting.	Proč nepožádáš kováře, ať ti je vyrobí, tahle vesnice je proslulá výrobou zbraní.
Why not take a break? Sometimes stepping away helps you see things more clearly. Might give you a new perspective on your craft and life.	Proč si nedat přestávku? Někdy odstup pomůže vidět věci jasněji. Může ti to dát nový pohled na řemeslo i na život.
