# Obsah hry, dávka 12 (H-I) - originál <TAB> překlad

# --- oprava z minulé dávky (zdroj má \r\n, ne \n) ---
Hey!!!\r\nCan I join you?	Hej!!!\r\nMůžu se přidat?

# --- často opakované repliky ---
Huh? Oh, nothing.	Hm? Ale nic.
Hmm.	Hmm.
Hold on, I have something to say.	Počkej, chci něco říct.
I have other things to do now. Return home.	Teď mám jinou práci. Vrať se domů.
I don't think so.	To si nemyslím.
I heard you were looking for me...	Prý jsi mě hledal…
I have some questions.	Mám pár otázek.
I have more questions.	Mám další otázky.
I have other questions.	Mám jiné otázky.
I had more to ask.	Chtěl jsem se zeptat ještě na něco.
I have a few questions for you.	Mám na tebe pár otázek.
I don’t have any more questions.	Už nemám další otázky.
I don’t have any more questions. Let’s continue.	Už nemám další otázky. Pokračujme.
I don’t have anything to say right now.	Teď nemám co říct.
I don’t have to listen to this.	Tohle poslouchat nemusím.
I have to go now.	Teď musím jít.
I apologize.	Omlouvám se.
I can't say…	To nemůžu říct…
I like your attitude.	Tvůj přístup se mi líbí.
I accept the challenge.	Přijímám výzvu.
I accept your challenge.	Přijímám tvou výzvu.
I already have everything.	Už mám všechno.
I have everything you wanted.	Mám všechno, cos chtěl.
I have dealt with it.	Vyřídil jsem to.
I must have taken the wrong turn. Goodbye.	Asi jsem odbočil špatně. Sbohem.
I guess it's here...	Asi je to tady…

# --- rozhovory ---
How are things in the city?	Jak to chodí ve městě?
How are you enjoying the food?	Jak ti chutná?
How did I get here?	Jak jsem se sem dostal?
How did you make your fortune?	Jak jsi přišel k majetku?
How far we are from Bradford?	Jak daleko jsme od Bradfordu?
How has everything been since the liberation?	Jak to jde od osvobození?
How long have you been on the island?	Jak dlouho jsi na ostrově?
How long have you kept this tavern running?	Jak dlouho už tuhle hospodu vedeš?
How long have you run this shop?	Jak dlouho vedeš tenhle krám?
How might I assist you today? In need of sturdy livestock?	Čím dnes posloužím? Potřebuješ statný dobytek?
How much for your services?	Kolik za tvé služby?
How will she do that? Your mother is bedridden!	Jak to udělá? Tvoje matka je upoutaná na lůžko!
How's the caravan?	Jak se daří karavaně?
How's the treatment going?	Jak jde léčba?
How’s business today?	Jak dnes jde obchod?
How’s business treating you?	Jak ti jde obchod?
How’s the kitchen treating you these days?	Jak se ti poslední dobou daří v kuchyni?
How’s the progress with looking for Kug… replacement?	Jak pokračuje hledání Kugovy… náhrady?
I am in need of your cooking skills.	Potřebuji tvé kuchařské umění.
I can imagine it's not easy. Take care.	Chápu, že to není lehké. Opatruj se.
