# Dialogy NPC, dávka 01 - originál <TAB> překlad
# Pozdravy a odbytí drží starosvětský tón; strážní a hlídky mluví služebně.

# --- pozdravy ---
Greetings!	Buď zdráv!
Greetings companion!	Buď zdráv, druhu!
Greetings and good fortune!	Buď zdráv a mnoho štěstí!
Hail fellow.	Buď zdráv, příteli.
Ho there, stranger.	Hola, cizinče.
Hello!	Zdravím!
Hello, friend!	Zdravím, příteli!
Hello good traveler, I wish you safe travels.	Zdravím, dobrý pocestný, přeji ti šťastnou cestu.
Good day.	Dobrý den.
Good day!	Dobrý den!
Good day to you friend.	Dobrého dne, příteli.
Good morrow, your grace.	Dobré jitro, milosti.
Good to see you matey.	Rád tě vidím, kamaráde.
Fair day.	Dobrého dne.
Health and fortune to thee.	Zdraví a štěstí tobě.
Blessings to you.	Požehnání tobě.
Gods keep you.	Bohové s tebou.
Ahoy friend.	Ahoj, příteli.
Ahoy landlover.	Ahoj, suchozemče.
Hey, there you are!	Hej, tady jsi!
Hmph. Here you are again.	Hm. Zase jsi tu.
Another drifter at our gates.	Další pobuda u našich bran.
Ah, look who decided to crawl back.	Á, podívejme, kdo se připlazil zpátky.
A moment, traveler! Fortune favors the curious.	Okamžik, pocestný! Štěstí přeje zvědavým.
I was hoping you’d show up.	Doufal jsem, že se ukážeš.
I see your luck hasn’t run out yet.	Vidím, že tě štěstí ještě neopustilo.
By the gods, you always show up at the right time!	U bohů, ty se vždycky objevíš v pravou chvíli!

# --- pozdravy vděčných vesničanů ---
Ah, it's you! The one who saved us. How can we assist you today?	Á, to jsi ty! Ten, co nás zachránil. Čím dnes posloužíme?
Hello! May your guidance lead us to success.	Zdravím! Ať nás tvé vedení dovede k úspěchu.
Hello, esteemed leader! May your guidance lead us to success.	Zdravím, ctěný vůdce! Ať nás tvé vedení dovede k úspěchu.
Hello, esteemed guardian! Your presence bolsters our defences.	Zdravím, ctěný strážce! Tvá přítomnost posiluje naši obranu.
Hello, leader! Your decisions determine our village's future.	Zdravím, vůdce! Tvá rozhodnutí určují budoucnost naší vsi.
Greetings, hero! I'm on duty, so I'll make this quick. What do you need?	Buď zdráv, hrdino! Jsem ve službě, tak to zkrátím. Co potřebuješ?
Greetings, indomitable commander! Under your rule, the village prospers.	Buď zdráv, nezdolný veliteli! Pod tvou vládou ves vzkvétá.
Greetings, stalwart protector! The village rests easier with you watching.	Buď zdráv, neochvějný ochránce! Ves spí klidněji, když bdíš.
Greetings, vigilant guardian! Your strength fortifies our hearts.	Buď zdráv, bdělý strážce! Tvá síla posiluje naše srdce.
Greetings. Your strength fortifies our hearts.	Buď zdráv. Tvá síla posiluje naše srdce.
Hey there, valiant defender! Your commitment ensures our safety.	Hej, statečný obránce! Tvá oddanost je naší jistotou.
Hey, indomitable protector! We sleep peacefully knowing you're on guard.	Hej, nezdolný ochránce! Spíme klidně, když víme, že hlídáš.
Hey, hey, rockstar! Because of you killed those brutes I feel so good today!	Hej, hej, hrdino! Protožes ty hrubiány pobil, je mi dnes skvěle!
Everything is better here, because of you.	Díky tobě je tu všechno lepší.
Everything is great! And the people would follow you anywhere!	Všechno je skvělé! A lidé by tě následovali kamkoli!
Damn, can't believe you managed to wipe those brutes out. My gratitude!	U všech všudy, nevěřím, žes ty hrubiány vyhladil. Máš mou vděčnost!
I believe you've a great future!	Věřím, že tě čeká velká budoucnost!

# --- strážní na hlídce ---
Apologies. I’m on patrol and need to stay focused.	Omlouvám se. Mám hlídku a musím být ve střehu.
