# Dialogy NPC, dávka 03 (dokončení Npcs/Talk) - originál <TAB> překlad

# --- navigace v rozhovoru ---
[BACK].	[ZPĚT].
[Back].	[Zpět].
[More].	[Více].
[NEXT].	[DÁL].
You know what, take this, so you won't go hungry today. [10 COINS].	Víš co, vezmi si tohle, ať dnes nemáš hlad. [10 MINCÍ].

# --- pozdravy ---
A fair day, isn’t it?	Pěkný den, že?
Yes, sir?	Ano, pane?
Yes.	Ano.
Yes? Is there something you need?	Ano? Potřebuješ něco?
You do? What is it?	Vážně? O co jde?
You again?	Zase ty?
You again. What mischief follows this time?	Zase ty. Jakou lotrovinu vlečeš tentokrát?
You’re a new face. What brings you to our Town?	Nová tvář. Co tě přivádí do našeho města?
You’re a new face. What brings you to our village?	Nová tvář. Co tě přivádí do naší vsi?
You are not from around here, are you? What brings you to this town?	Nejsi zdejší, viď? Co tě přivádí do tohohle města?
You're not from around here, are you? What brings you to this town?	Nejsi odsud, viď? Co tě přivádí do tohohle města?
You're new around here, huh? Watch your back, stranger...	Jsi tu nový, co? Dávej si pozor, cizinče…
You're new around here, huh? Watch your back, stranger. Those bandits don't take kindly to outsiders.	Jsi tu nový, co? Dávej si pozor, cizinče. Lapkové cizáky rádi nemají.
You're new around here, huh? Watch your back, stranger. Those brigands don't take kindly to outsiders.	Jsi tu nový, co? Dávej si pozor, cizinče. Lupiči cizáky rádi nemají.
Welcome to our village. It's not much, but it's home. Just don't go wandering too far out or you might find trouble.	Vítej v naší vsi. Není toho moc, ale je to domov. Jen se nepotuluj moc daleko, ať nenajdeš potíže.
Ah, a fellow traveler! I’ve got wares from Crasmere, Blackridgepool and more. Care to trade?	Á, druh pocestný! Mám zboží z Crasmere, Blackridgepoolu a odjinud. Nechceš obchodovat?

# --- uznání a vděk ---
Your bravery resonates through the land.	Tvá statečnost se nese celou zemí.
Your presence is always reassuring.	Tvá přítomnost vždy uklidní.
Your kindness truly lifts our spirits.	Tvá laskavost nám opravdu zvedá náladu.
