# Obsah hry, dávka 18 (N-O) - originál <TAB> překlad

# --- odmítnutí a odchod ---
Nah, maybe later.	Ne, možná jindy.
Never mind.	To nic.
Nevermind.	To nic.
Never mind, I’ll come back later.	To nic, vrátím se později.
Nevermind, let's keep going.	To nic, pokračujme.
No time to waste, let’s keep going.	Není času nazbyt, pojďme dál.
Not interested.	Nemám zájem.
Not my concern.	To není moje starost.
Not really my concern.	Vlastně to není moje starost.
Not my problem.	To není můj problém.
Not right now.	Teď ne.
Nothing at the moment.	Teď nic.
Nothing for now.	Prozatím nic.
Nothing, just passing through.	Nic, jen tudy procházím.
Nothing. Goodbye.	Nic. Sbohem.
Nothing. I was just leaving.	Nic. Zrovna jsem odcházel.
Nothing. I'll be going now.	Nic. Už půjdu.
Nothing. What about you?	Nic. A co ty?
No, I didn't sorry.	Ne, promiň, neviděl.
No, I’ll let you rest.	Ne, nechám tě odpočívat.
No, my name is none of your business.	Ne, do mého jména ti nic není.
Okay, I'm leaving.	Dobře, odcházím.
On second thought, I should be going.	Když se to tak vezme, měl bych jít.
Now I think that’s everything I wanted to ask you.	Myslím, že to je všechno, na co jsem se chtěl zeptat.

# --- repliky ---
Need a sword for hire? I can knock out a tooth or two.	Sháníš meč k pronajmutí? Umím vyrazit zub dva.
Need anything?	Potřebuješ něco?
No? You're not interested in coin?	Ne? Nemáš zájem o zlaťáky?
NO! Shhhh… I’m scared to go home.	NE! Pšššt… Bojím se jít domů.
Nothing you can do young pup, so get lost.	Nic nezmůžeš, štěně, tak táhni.
Now leave me be.	A teď mě nech být.
Now, please… leave me.	A teď mě, prosím… nech být.
Now, can ye’ help me with my cow?	Tak co, pomůžeš mi s tou krávou?
Nauroh’s board is covered. The words cut deep.	Vývěska v Nauroh je polepená. Ta slova řežou.
Norton Rhodes sent me to deliver you some goods.	Norton Rhodes mě poslal doručit ti zboží.
Norton Rhodes sent me to deliver you this.	Norton Rhodes mě poslal doručit ti tohle.
Of course, he tricked you.	Samozřejmě že tě podvedl.
Of course, my friend!	Ovšem, příteli!
Of course.	Ovšem.
Off to work with you, so.	Tak hybaj do práce.
Oh come off it! Go home. If you can still walk.	Ale nech toho! Běž domů. Jestli ještě udržíš nohy.
Oh no, oh my… What have I done…	Ach ne, proboha… Co jsem to provedl…
Oh! It’s wonderful.	Ach! To je nádhera.
Oh, go bother somebody else.	Ale jdi otravovat někoho jiného.
Oh, I get it. You know where to find me…	Aha, chápu. Víš, kde mě najdeš…
Oh, it’s you again. What do you want this time, monkey?	Aha, zase ty. Co chceš tentokrát, opičáku?
Oh, no, do tell.	Ale ne, jen povídej.
Okay.	Dobře.
Near the Salt Eye, for a bit of fun.	U Solného oka, pro trochu zábavy.

# --- zadání úkolů ---
Negotiate with {Npc}.	Vyjednávej s {Npc}.
Need to also get rid of their flag.	Musíš se zbavit i jejich vlajky.
Near Redhold	U Redholdu

# --- názvy úkolů a zápisky ---
Natural Remedies	Přírodní léky
New Taxes	Nové daně
Not All Who Wait	Ne každý, kdo čeká
On a Great Cruise	Na velké plavbě
Old Carpenter's Needs	Co potřebuje starý tesař
Old carpenter's needs.	Co potřebuje starý tesař.
Notice of Tax Increase	Oznámení o zvýšení daní
Note	Zápisek
Note found in the Chest	Zápisek nalezený v truhle
Note from Mutilated Body	Zápisek ze zohaveného těla
Note in Tomas's house	Zápisek v Tomášově domě
Note near the dead body	Zápisek u mrtvého těla
Note on the dead body	Zápisek na mrtvém těle
Old Tomes	Staré svazky
Old Coin	Stará mince

# --- ryby: výskyt a váha ---
Occurs in lakes. Typically weighs between 0.52 and 3.	Žije v jezerech. Váží obvykle 0,52 až 3.
Occurs in lakes. Typically weighs between 1 and 6.	Žije v jezerech. Váží obvykle 1 až 6.
Occurs in lakes. Typically weighs between 1.36 and 3.45.	Žije v jezerech. Váží obvykle 1,36 až 3,45.
