[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/SideQuests/Horndean/CryMeARiver/CryMeARiverQuest_TalkToCalita.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/RaidMap/FunAndGames/FunAndGamesQuest_TalkToGarethVander.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/CopperOre_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Player/IA_Player_ToggleFirstPersonCamera.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/SideQuests/Padstow/ThePrizePigQuest/ThePrizePig_ReturnMerchant.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Raids/RaidThreatTable.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/Liberation/BradfordLiberation/SuccessfullLibration/BradfordLiberatedQuest_TalkToElder.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/StringTables/Tooltips.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Player/IA_Player_ToggleSprint.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/GoatCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Npcs/Templates/NpcManagerProfiles/Quest/HideoutMysteriousIllnessQuest_NpcManagerProfile.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Audio/FoliageItemSetting.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Player/IA_Player_MovePitch.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Exceptions/CarryingLogWithoutSoftlog.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Quests/RaidMap/FunAndGames/FunAndGamesQuest_BringGarrickLetter.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/Equipment.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/GooseCarcass_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Player/IA_Player_Jump.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/ConstructionSite/Elements/Exceptions/WoodenBasement.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Fur_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Items/Categories/TownBuildingWaterGathering.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/DamageProtection/SoftStructureDamageOverride.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/PlayerInput/Command/IA_Command_HoldFormation.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Codex/World/Resources/Olive_CodexEntry.uasset: Package has unversioned properties but mapping file is missing, can't serialize
[ERR] Error while processing Bellwright/Content/Mist/Data/Audio/WoodItemSetting.uasset: Package has unversioned properties but mapping file is missing, can't serialize
