# Quests/SideQuests - delsi texty, 38. davka
Really? I didn’t think they’d listen to reason. You’ve got a way with words, friend.	Vážně? Nemyslel jsem, že dají na rozum. Ty umíš se slovy, příteli.
Regardless, we are thankful. Take this as a thank you. May the gods watch over you, friend.	Ať tak či onak, jsme vděční. Vezmi si to jako poděkování. Ať nad tebou bohové bdí, příteli.
Regret doesn’t undo what happened. It doesn’t erase the fear. But… if she truly regrets it, maybe that means she’s not lost.	Lítost neodčiní, co se stalo. Nesmaže strach. Ale… jestli toho opravdu lituje, možná to znamená, že není ztracená.
Remember, I’m not the only one who’s seen what she’s capable of. The truth is out there if you’re willing to look.	Pamatuj, nejsem jediný, kdo viděl, čeho je schopná. Pravda je tam venku, jsi-li ochoten hledat.
Respect. Fair treatment. And yes, lower market fees wouldn’t hurt. Also I want this place, exactly the same to have been reserved for every season I come here.	Úctu. Poctivé jednání. A ano, nižší tržní poplatky by neuškodily. A ještě chci, aby mi tohle místo, přesně tohle, bylo vyhrazeno každou sezonu, kdy sem přijedu.
Right, he did mention that his last one broke… But you’re a new face. How’d Aleks rope you into doing his busy work?	Ano, zmiňoval, že se mu ta poslední rozbila… Ale ty jsi nová tvář. Jak tě Aleks navlekl do svých pochůzek?
Right, here's a list of the required herbs. I'll also need a high-quality hammer. I already have a solid chisel.	Dobrá, tady je seznam potřebných bylin. Budu taky potřebovat kvalitní kladivo. Pořádný dláto už mám.
Right, take this. I shouldn’t pay you that much because this lad’s services are not exactly cheap, but I do owe you.	Dobrá, vezmi si to. Neměl bych ti platit tolik, protože služby toho chlapce nejsou zrovna levné, ale dlužím ti.
Rumors point to Bernar Yewbridge, a local farmer. He's been acting strange lately, always absent during raids. I need you to investigate.	Klepy ukazují na Bernara Yewbridge, místního sedláka. V poslední době se chová divně, při nájezdech vždycky chybí. Potřebuji, abys to prošetřil.
Savior! You have my deepest thanks. Can we meet back here tomorrow? I will give you your reward, I promise.	Zachránce! Máš můj nejhlubší dík. Sejdeme se tu zítra? Dám ti tvou odměnu, slibuji.
Saw a figure carrying a large sack. Could be a thief, but it moved too quickly. Made me wonder if it was a person at all.	Viděl jsem postavu nesoucí velký pytel. Mohl to být zloděj, ale pohybovalo se to příliš rychle. Přemýšlel jsem, jestli to vůbec byl člověk.
Say, you are the only one who believes in me since getting injured. Means very much to me.	Poslyš, od té doby, co jsem se zranil, jsi jediný, kdo ve mě věří. Znamená to pro mě moc.
Search the outpost, find what you can, and leave here. Bring it to his family - I’ll mark it on your map. We’ll regroup afterwards.	Prohledej tu pevnůstku, najdi, co můžeš, a odejdi. Odnes to jeho rodině - označím ti to na mapě. Potom se sejdeme.
Searching for a sword in a wolf-infested forest? Unless you’re paying for help, you’re on your own.	Hledat meč v lese zamořeném vlky? Pokud za pomoc nezaplatíš, jsi na to sám.
See if they’ve noticed anything suspicious. Maybe together we can get to the bottom of this.	Zjisti, jestli si nevšimli něčeho podezřelého. Možná spolu tomu přijdeme na kloub.
See, I wanna organize a little trip for some people in the Lowlands. A one-of-a-kind adventure!	Víš, chci uspořádat malý výlet pro pár lidí z Nížin. Jedinečné dobrodružství!
See, she's always pushed me. Since I was a boy, it's been “Be better than your father, surpass him”.	Víš, vždycky mě tlačila. Od dětství to bylo „Buď lepší než tvůj otec, překonej ho“.
Seems like it's the hunting grounds causing the ruckus. Farnworth's claiming they've got rights to areas that Bradford's been using for generations.	Zdá se, že ten povyk způsobují lovecká území. Farnworth si nárokuje práva na oblasti, které Bradford užívá po pokolení.
Serah? What do you mean? What did she do? Did she get involved in this nonsense too?	Serah? Jak to myslíš? Co udělala? Zapletla se do těch nesmyslů taky?
Settlers from other parts of the Lowlands were drawn to this area for good soil and the abundance of unique herbs and plants near Dimwater Marsh areas.	Osadníky z jiných částí Nížin sem přitáhla dobrá půda a hojnost jedinečných bylin a rostlin u Dimwaterských bažin.
She believes she's found a cure for my, well, my memory has been dodgy as of late. So I could really use your help gathering some herbs.	Věří, že našla lék na mou, inu, má paměť je poslední dobou vratká. Takže by se mi opravdu hodila tvá pomoc se sběrem bylin.
She held the rebellion together when it should have collapsed. She organized people when panic should have torn them apart. Guided refugees along safer roads.	Držela vzpouru pohromadě, když se měla zhroutit. Organizovala lidi, když je měla panika roztrhat. Vedla uprchlíky bezpečnějšími cestami.
She told me her husband was a fisher in Blackridgepool. Why would she give me such a suspicious story?	Řekla mi, že její muž byl rybář v Blackridgepoolu. Proč by mi vyprávěla tak podezřelý příběh?
She travels often from village to village so that she doesn’t get caught, even leaving Karvenia when she feels she’s drawing too much attention.	Často putuje z vesnice do vesnice, aby ji nechytili, dokonce odchází z Karvenie, když cítí, že poutá příliš pozornosti.
She was threatened by me, because I’m willing to do things that she’s not. She constantly talked about me behind my back.	Cítila se mnou ohrožená, protože já jsem ochotná dělat věci, které ona ne. Neustále o mně mluvila za mými zády.
Sheer will can carry you far… but not through winter. When the cold came, their strength faltered, and morale followed.	Pouhá vůle tě donese daleko… ale ne přes zimu. Když přišel mráz, jejich síly ochably a odhodlání s nimi.
She’s long gone by now, I’m afraid. But keep your eyes open, you never know whose path you may cross again.	Obávám se, že už je dávno pryč. Ale měj oči otevřené, nikdy nevíš, čí cestu ještě zkřížíš.
She’s not careless. She knows not to target Brigands, for starters. And if she targets a bandit, she knows to isolate one first, cut them off from their group.	Není nedbalá. Pro začátek ví, že si nemá vybírat Brigands. A když si vybere lapku, ví, že ho má nejdřív oddělit od skupiny.
She’s something of a nuisance, that girl. Her heart is in the right place, but being outspoken around here can lead to trouble.	Ta dívka je tak trochu na obtíž. Srdce má na správném místě, ale mluvit tu otevřeně může znamenat potíže.
Shouldn’t the Crown or the Lord help you with it, since you’re aligned with them?	Neměla by ti s tím pomoct koruna nebo pán, když s nimi držíš?
Shrines are sacred spaces where mortals connect with the divine. They serve as focal points for worship and offerings, amplifying our prayers to reach the gods.	Svatyně jsou posvátná místa, kde se smrtelníci spojují s božstvím. Slouží jako ohniska uctívání a obětin a zesilují naše modlitby, aby dosáhly k bohům.
Signs? There’s bandits, Brigands, and wild animals, but you think a lack of signs are the issue?	Rozcestníky? Máme tu lapky, Brigands a divou zvěř, a ty si myslíš, že problém je nedostatek rozcestníků?
Simple stuff. Working on a set of unique armor that requires some very particular components.	Prostá věc. Pracuji na jedinečné zbroji, která vyžaduje velmi zvláštní součásti.
Since I have all the necessary tools, perhaps we can at least eliminate his headaches and aggressive outbursts.	Když už mám všechny potřebné nástroje, snad aspoň odstraníme jeho bolesti hlavy a výbuchy vzteku.
Since you fight for what’s right, perhaps you would like to join my cause? I’m trying to free the people of Karvenia from the shackles of the royal family.	Když bojuješ za správnou věc, nechtěl by ses přidat k mé? Snažím se osvobodit lid Karvenie z okovů královského rodu.
Sneaking? Look, I've passed by her farm gathering firewood. But I ain’t no thief.	Plížení? Podívej, chodil jsem kolem jejího statku sbírat dříví. Ale zloděj nejsem.
So are you going to help me with these fools? I can’t let them break this tavern anymore.	Tak pomůžeš mi s těmi hlupáky? Nemohu je nechat, aby mi tu krčmu dál rozbíjeli.
So are you interested in taking Peckleton back home? Can you build a chicken coop for her?	Tak co, máš zájem vzít si Peckletona domů? Postavíš pro ni kurník?
So as soon as my backup arrives, we’re going to rip through this village until we find the perpetrator.	Takže jakmile dorazí posily, rozeženeme tuhle vesnici, dokud nenajdeme viníka.
So be it, you are lucky this geezer has some treats in his house that I can enjoy in the meantime.	Budiž, máš štěstí, že ten stařík má doma pár dobrot, které si mezitím dopřeji.
So do you still believe he’s so innocent? You know what, it doesn’t matter now. Get out of my sight.	Tak co, pořád si myslíš, že je tak nevinný? Víš co, na tom teď nezáleží. Zmiz mi z očí.
So everything is clear, you’re toying with them. I guess you don’t mind me telling them?	Takže je to jasné, pohráváš si s nimi. Předpokládám, že ti nebude vadit, když jim to řeknu?
So gold is the only thing that matters? Typical. Can’t just be grateful for the learning experience, you need to get paid too…	Takže záleží jen na zlatě? Typické. Nestačí ti být vděčný za zkušenost, ještě musíš dostat zaplaceno…
So here’s the story. Those nutjobs, the Red Thorns, attacked and took the crew hostage.	Tak tady je ten příběh. Ti pomatenci, Red Thorns, zaútočili a vzali posádku jako rukojmí.
So he’s not used to being in villages, in cold, wet conditions surrounded by animals… Can you tell me what those symptoms are?	Takže není zvyklý na vesnice, na chlad a vlhko obklopen zvířaty… Povíš mi, jaké jsou to příznaky?
So how would you like me to work with you, as payment for what you’ve done for me?	Tak co kdybych pro tebe pracoval, jako splátku za to, cos pro mě udělal?
So I believe you’ve accomplished everything! You are a true fisherman. Here, take it. It’s your reward.	Takže věřím, že jsi splnil vše! Jsi pravý rybář. Tu máš, vezmi si to. Je to tvá odměna.
So I joined the bandits’ group. But things didn’t get any better, they practically treated me like one of you villagers.	Tak jsem se přidal k lapkovské tlupě. Ale lepší to nebylo, zacházeli se mnou prakticky jako s někým z vás vesničanů.
So I took them to my workshop, so we wouldn’t annoy the missus. And what happened in the morning? They robbed me, those bastards.	Tak jsem je vzal do dílny, ať neotravujeme mou paní. A co se stalo ráno? Okradli mě, ti parchanti.
So I was thinking… Perhaps I could work for you, help you with whatever you need done, and in return, I could study your ways and become brave too!	Tak jsem přemýšlel… Možná bych mohl pracovat pro tebe, pomáhat ti s čímkoli, a na oplátku bych mohl studovat tvé způsoby a stát se také statečným!
So if hunters from both villages worked together didn’t their relationship get better?	Takže když lovci z obou vesnic spolupracovali, nezlepšily se jejich vztahy?
So if these weapons are gonna get used against both of them, then I have no problem.	Takže jestli se ty zbraně použijí proti oběma, nemám s tím problém.
So kid, did you find more bravery in yourself? Do you want to prove yourself to the… WARRIORS GUILD?!	Tak co, hochu, našel jsi v sobě víc odvahy? Chceš se osvědčit… CECHU VÁLEČNÍKŮ?!
So the situation escalated. We shouted at each other, he left, and I haven’t seen him since…	Tak se to vyhrotilo. Křičeli jsme na sebe, on odešel a od té doby jsem ho neviděla…
So they are trying to rip off all souls in the Highlands and Lowlands, whenever they can.	Takže se snaží obrat každou duši ve Vysočině i Nížinách, kdykoli mohou.
So this hunter thought he was coming to your rescue, killed your pet boar, you killed him in return?	Takže ten lovec si myslel, že tě jde zachránit, zabil tvého kance a ty jsi za to zabil jeho?
So this is written by someone who was called Badcocke. A fisherman and I presume a good one.	Takže tohle psal někdo jménem Badcocke. Rybář a předpokládám, že dobrý.
So we have to play it smart. We hide in plain sight, but we move silently. It’s a delicate balance.	Takže to musíme hrát chytře. Skrýváme se na očích, ale pohybujeme se tiše. Je to křehká rovnováha.
So when I came of age, I decided to leave the Lowlands. But I need gold to do that, so my only way out was a life of crime.	Takže když jsem dospěl, rozhodl jsem se odejít z Nížin. Ale na to potřebuji zlato, takže mou jedinou cestou ven byl zločin.
So you and Gregor are both fighting over Serah, huh? You sure you’re not imagining things?	Takže vy se s Gregorem oba perete o Serah, co? Jsi si jistý, že si nic nenamlouváš?
So you both think Serah’s in love with you? Sounds like a classic case of drunken romance.	Takže si oba myslíte, že je do vás Serah zamilovaná? Zní to jako učebnicový případ opilecké romance.
So you go to the addressee of the letter, I’ll make a few changes to it and make sure it looks unopened.	Takže půjdeš za adresátem dopisu, já v něm udělám pár úprav a postarám se, aby vypadal neotevřený.
So you had a change of heart? Might you check the roads? Perhaps his cart is broken or he's spending too much time in taverns again.	Takže sis to rozmyslel? Prohlédl bys cesty? Možná má rozbitý vůz, nebo zase tráví příliš času po krčmách.
So you want to live your life with a lie hanging over you? If you tell the Elder truth, your punishment won’t be as harsh.	Takže chceš žít se lží nad hlavou? Když řekneš stařešinovi pravdu, tvůj trest nebude tak tvrdý.
So, this Golden Trout – it's your way of showing them up, proving they don’t run everything?	Takže ten Zlatý pstruh - je to tvůj způsob, jak jim to ukázat, dokázat, že neřídí všechno?
So, will you help me, or leave the folks of Bradford to face their problems alone?	Tak co, pomůžeš mi, nebo necháš lidi z Bradfordu čelit potížím samotné?
So, you are telling me that you didn’t do your job and now I have to help you, otherwise I won’t get the gold from Ebbot.	Takže mi říkáš, žes svou práci neudělal, a teď ti musím pomoct já, jinak od Ebbota zlato nedostanu.
So, you want me to find out how he did it? That's a bit outside my usual line of work.	Takže chceš, abych zjistil, jak to udělal? To je trochu mimo mou obvyklou práci.
So, you won’t have a problem if I speak with the Brigands and investigate what happened?	Takže ti nebude vadit, když promluvím s Brigands a prošetřím, co se stalo?
Some Brigands tried to kill me, I had to fight them off. And I expect that to be reflected in my pay.	Nějací Brigands se mě pokusili zabít, musel jsem je odrazit. A čekám, že se to projeví na mé odměně.
Some cults believe that those who can find and decipher their messages are 'worthy' of joining.	Některé kulty věří, že ti, kdo dokážou najít a rozluštit jejich vzkazy, jsou ‚hodni‘ přijetí.
Some of the miners have torn their clothes and worn out their shoes. It's affecting their work, obviously.	Někteří havíři mají roztrhané šaty a prošlapané boty. To jim samozřejmě práci ztěžuje.
