+ Crossroads Inn +	+ Krčma Na křižovatce +
+ The Begga Pint +	+ U Žebrákova korbele +
+ The Donkey's Sack +	+ U Oslího pytle +
+ The Lord's Crabsz +	+ U Pánových krabů +
+ The Mariner's Mug +	+ U Námořníkova korbele +
+ The Millstone Inn +	+ U Mlýnského kamene +
+ The Ore & Ale +	+ U Rudy a piva +
A nutritious dairy product, crafted in the Big Cooking Pot.	Výživný mléčný výrobek, připravovaný ve velkém kotli.
A simple wooden stairway providing access to higher ground.	Prosté dřevěné schodiště umožňující přístup na vyvýšená místa.
A smooth, radiant pearl treasured for its beauty and value.	Hladká, zářivá perla ceněná pro svou krásu i hodnotu.
A stairway offering protected access to elevated positions.	Schodiště poskytující chráněný přístup na vyvýšená místa.
And yet, for all your boasts, you still cower behind walls.	A přesto, přes všechno své vychloubání, se pořád krčíš za hradbami.
Boar trophy provides renown for placing in your settlement.	Kančí trofej přináší věhlas, když ji umístíš v osadě.
Book that we found on Alistair Boone, who killed the guard.	Kniha, kterou jsme našli u Alistaira Boonea, který zabil strážného.
Build quarry next to this resource site to gain some Copper.	Postav u tohoto naleziště lom, abys získal měď.
Can be eaten raw or processed into wine and various dishes.	Lze jíst syrové nebo zpracovat na víno a různá jídla.
Can’t say I’m not offended. Well… you know where to find me.	Nemohu říct, že mě to neuráží. Nu… víš, kde mě najdeš.
Check with {Npc} to find out more about the pregnant woman.	Zjisti u {Npc} víc o té těhotné ženě.
Could be a good hiding place for something small and quick.	Mohl by to být dobrý úkryt pro něco malého a rychlého.
Decently sized piece of smoked meat. Keeps for a long time.	Slušný kus uzeného masa. Dlouho vydrží.
Do you want my help in protecting the caravan in the future?	Chceš mou pomoc s ochranou karavany i v budoucnu?
Earn {TrustLevel} trust level from people in {VillageName}.	Získej u lidí v {VillageName} úroveň důvěry {TrustLevel}.
Emiliano sent me, and I dealt with the Cassian on the ship.	Poslal mě Emiliano a s tím Cassianem na lodi jsem se vypořádal.
Examine the body and return to the Physician with evidence.	Prohlédni tělo a vrať se k lékaři s důkazy.
Find Lubomir Netterby and warn him about the Brigands plans.	Najdi Lubomira Netterbyho a varuj ho před plány Brigands.
Find the wolves making the lives of the villagers miserable.	Najdi vlky, kteří vesničanům ztrpčují život.
Food stored here spoil more slowly than in regular storage.	Jídlo zde uložené se kazí pomaleji než v běžném skladu.
Fresh fish. You or your workers can gut it at the Butchery.	Čerstvá ryba. Ty nebo tví pracovníci ji můžete vykuchat na jatkách.
Regarding the shrines…	Ohledně těch svatyní…
