# Obsah hry, dávka 01 (abecedně A) - originál <TAB> překlad
# Vkládá se příkazem "bwloc bysource", takže jeden řádek pokryje všechny výskyty.
#
# Vlastní jména (Abel, Adam, Accrington, názvy hospod) se záměrně nepřekládají.
# Názvy úkolů se překládají volněji - jde o titulky, ne o věcný popis.

# --- dialogové značky a volby ---
(BACKSTORY)	(PŘÍBĚH)
(GOT IT)	(ROZUMÍM)
(He ignores you.)	(Nevšímá si tě.)
Actually, I have other questions.	Vlastně mám ještě jiné otázky.
Actually, I was going to take a day off.	Popravdě jsem si chtěl vzít den volna.
Ah, a customer! How can I serve you?	Á, zákazník! Čím posloužím?
100 coins! Amazing, you outdid yourself.	Sto mincí! Výborně, předčil jsi sám sebe.
50 coins seems fair. Alright, deal.	Padesát mincí zní rozumně. Dobrá, platí.
40 coins, interested?	Čtyřicet mincí, máš zájem?
60 will be enough.	Šedesát bude stačit.
10 gold?	Deset zlatých?
50 gold?	Padesát zlatých?
100 gold?	Sto zlatých?
50 gold?! For what?	Padesát zlatých?! Za co?

# --- dialogové okruhy "About the..." ---
About the ale…	Ohledně toho piva…
About the altars...	Ohledně těch oltářů…
About the bait you wanted…	Ohledně té návnady, cos chtěl…
About the bandages…	Ohledně těch obvazů…
About the bandits	Ohledně těch lapků
About the bandits...	Ohledně těch lapků…
About the Brigand...	Ohledně toho lupiče…
About the Brigands...	Ohledně těch lupičů…
About the copper…	Ohledně té mědi…
About the feed...	Ohledně toho krmiva…
About the fishes...	Ohledně těch ryb…
About the fishing tournament…	Ohledně těch rybářských závodů…
About the food for Peckleton…	Ohledně krmení pro Peckletona…
About the glue...	Ohledně toho klihu…
About the glue....	Ohledně toho klihu…
About the help with your caravan…	Ohledně pomoci s tvou karavanou…
About the herbs you asked for...	Ohledně těch bylin, cos chtěl…
About the herbs you wanted…	Ohledně těch bylin, cos chtěl…
About the ingredients...	Ohledně těch přísad…
About the leather you wanted...	Ohledně té usně, cos chtěl…
About the list…	Ohledně toho seznamu…
About the logs...	Ohledně těch klád…
About the loot...	Ohledně té kořisti…
About the man harassing you...	Ohledně toho chlapa, co tě obtěžuje…
About the materials you asked for...	Ohledně toho materiálu, cos chtěl…
About the materials.	Ohledně toho materiálu.
About the merchant…	Ohledně toho kupce…
About the money for the tools…	Ohledně peněz za ty nástroje…
About the offering...	Ohledně té oběti…
About the ore…	Ohledně té rudy…
About the pelts you asked for...	Ohledně těch kožešin, cos chtěl…
About the pelts...	Ohledně těch kožešin…
About the raw hide you asked for...	Ohledně té surové kůže, cos chtěl…
