# Obsah hry, dávka 11 (H) - originál <TAB> překlad
#
# Halmayan / Cassian jsou frakce - přídavná jména "halmayanský" / "cassianský",
# lidé "Halmayané" / "Cassiané". Halmare je souostroví.

# --- repliky ---
Hello.	Zdravím.
Hello there.	Zdravím tě.
Hey there.	Hej, zdravím.
Hi.	Ahoj.
Hello, Adventurer.	Zdravím, dobrodruhu.
Hello friend! What brings you here?	Zdravím, příteli! Co tě sem přivádí?
Hello, I heard you might have a job for me.	Zdravím, prý bys pro mě mohl mít práci.
Here you go.	Tady máš.
Here's your coins.	Tady máš mince.
Here are your coins…	Tady máš své mince…
Heard any interesting rumors?	Doslechl ses nějaké zajímavé zvěsti?
Heard anything interesting?	Slyšel jsi něco zajímavého?
Heard you wanted to speak with me?	Prý jsi se mnou chtěl mluvit?
Heard you’ve got stories worth telling.	Prý máš historky, které stojí za vyprávění.
Heh. A sword for hire? You’re speaking my language.	Che. Meč na prodej? To je řeč, které rozumím.
Has something happened?	Stalo se něco?
Have you always been here on Halmare?	Byl jsi na Halmare vždycky?
Have you come to cause trouble or stir up dissent?	Přišel jsi dělat potíže, nebo bouřit lid?
Have you crossed his path?	Zkřížil jsi mu cestu?
Have you encountered a gambito?	Narazil jsi na gambito?
Have you seen a gambito nearby?	Neviděl jsi tu někde gambito?
Have you ever thought about leaving Rustshore?	Napadlo tě někdy Rustshore opustit?
Have you ever thought about leaving the market behind?	Napadlo tě někdy nechat trh za sebou?
He is at the main entrance to the castle chambers.	Je u hlavního vchodu do hradních komnat.
He needed help with some things, but it wasn’t so bad.	Potřeboval s pár věcmi pomoct, ale nebylo to tak zlé.
He needs to go home! He’s too drunk.	Musí domů! Je moc opilý.
He said three doses per day, I'm sure of it.	Říkal tři dávky denně, tím jsem si jistý.
He should be done by now, I should check on him.	Už by měl být hotový, měl bych se po něm podívat.
He’s alive, he just needs to sleep it off.	Žije, jen se musí vyspat.
He?	On?
Hey! You asked me first. We have a job to do.	Hej! Ptal ses první. Máme práci.
Hey!!!\nCan I join you?	Hej!!!\nMůžu se přidat?
Halmayans are forbidden to travel here!	Halmayané sem nesmí!
Head down the road to the nearest village.	Vydej se po cestě do nejbližší vsi.

# --- rozpracované úkoly (deník) ---
Helping expecting mother…	Pomoc nastávající matce…
Helping woman in trouble…	Pomoc ženě v nesnázích…
Helping with booze.	Pomoc s chlastem.
Helping with daughter's kidnapping.	Pomoc s únosem dcery.
Helping with finding his lost sword.	Pomoc s hledáním ztraceného meče.
Helping with ingredients for the special project.	Pomoc s přísadami na zvláštní záměr.
Helping with restocking copper supplies.	Pomoc s doplněním zásob mědi.
Helping with strange request.	Pomoc s podivnou prosbou.
Helping with sword	Pomoc s mečem

# --- názvy úkolů ---
Halmare Gods Treasure	Poklad bohů Halmare
Halmare Treasure	Poklad Halmare
Happy Hour	Šťastná hodinka
Hard Alliances	Těžká spojenectví
Hard Labor	Těžká práce
Hard Truces	Křehká příměří
Harvest Preparations	Přípravy na sklizeň
Head Trauma	Poranění hlavy
Head Trauma Quest	Úkol Poranění hlavy
HeadTrauma quest item.	Předmět k úkolu Poranění hlavy.
Herbal Remedies	Bylinné léky
Halmayans & Cassians Temporary Union	Dočasné spojenectví Halmayanů a Cassianů

# --- frakce a místa ---
Halmayan	Halmayan
Halmayans	Halmayané
Halmayan patrol party	Halmayanská hlídka
Halmayan Port	Halmayanský přístav
Halmayan's Dock	Halmayanské přístaviště
Halmayan's Merchant	Halmayanský kupec
