# Quests/SideQuests - delsi texty, 27. davka
And everything went smoothly, the trader gave me the bag and he said he would contact you later.	A všechno šlo hladce, ten obchodník mi dal pytel a řekl, že se ti později ozve.
And for someone who wasn't born here, like myself, it's a way to show my unwavering commitment to our community's values!	A pro někoho, kdo se tu nenarodil, jako já, je to způsob, jak ukázat neochvějnou oddanost hodnotám naší obce!
And Gods forbid we miss our quota. The punishment would be worse than the terrible working conditions!	A bohové chraňte, abychom nesplnili dávku. Trest by byl horší než ty příšerné pracovní podmínky!
And I don’t want to travel to another village at the moment. Things are tense out there, I wouldn’t feel safe.	A teď nechci cestovat do jiné vesnice. Venku je napjato, necítil bych se bezpečně.
And I look at her now, and I don’t see my wife. I don’t recognize that person anymore.	A když se na ni teď podívám, nevidím svou ženu. Toho člověka už nepoznávám.
And I need time to decipher this note. Can you meet me at my hut tomorrow? By then, I should have some answers.	A potřebuji čas ten vzkaz rozluštit. Sejdeme se zítra u mé chatrče? Do té doby bych měl mít nějaké odpovědi.
And I need to make a living. If the village needs me, it can prove it by showing me the respect I deserve.	A já se musím uživit. Jestli mě vesnice potřebuje, může to dokázat tím, že mi projeví zaslouženou úctu.
And if I try and it breaks me again? If I reach for her and she shatters everything all over again?	A co když to zkusím a znovu mě to zlomí? Co když k ní vztáhnu ruku a ona zase všechno roztříští?
And if you don't play by their rules, they make life hard for you. That's why I keep to myself, stay out of their waters.	A když nehraješ podle jejich pravidel, ztrpčí ti život. Proto se držím stranou a do jejich vod nelezu.
And it happened the day after I refused her “help”. You tell me if that's a coincidence.	A stalo se to den poté, co jsem odmítl její „pomoc“. Řekni mi, jestli je to náhoda.
And I’m here to tell you that Peckleton ain't sleeping in your pockets, friend. Build that coop first!	A já ti povídám, že Peckleton ti v kapse spát nebude, příteli. Nejdřív postav ten kurník!
And I’m not interested in working with a humourless donkey, but I don’t have any other options, unfortunately.	A já zas nemám zájem pracovat s oslem bez smyslu pro humor, ale bohužel nemám na výběr.
And I’ve come to realize that it does no good to drift through the world without a cause. I want to fight for something again.	A došlo mi, že bloudit světem bez cíle k ničemu nevede. Chci zase za něco bojovat.
And just yesterday, I overheard him arguing with his wife about some unexplained gold he'd brought home.	A zrovna včera jsem ho zaslechl, jak se hádá se ženou o nějakém nevysvětleném zlatě, které přinesl domů.
And maybe it’ll show the anglers of the Lowlands that we don’t need that damn Fishing Guild…	A možná to rybářům z Nížin ukáže, že ten zatracený Rybářský cech nepotřebujeme…
And naturally, my mind wandered, attempting to envision ways I could humble them. It seems to be well deserved, wouldn’t you say so?	A má mysl se přirozeně toulala a představovala si, jak bych je mohl pokořit. Zdá se, že by si to zasloužili, nemyslíš?
And once the leaders began to fracture or disappear, the rebellion truly collapsed under its own weight.	A jakmile se vůdci začali rozdělovat či mizet, vzpoura se doopravdy zhroutila pod vlastní vahou.
And one more thing, bring two pieces of fried meat. My wife loves it and I forgot about it and now I want to give her a little surprise.	A ještě jedna věc, přines dva kusy pečeného masa. Má žena ho miluje, já na to zapomněl a teď jí chci udělat malé překvapení.
And respect, what do you need from the village to feel valued after all this time?	A ta úcta - co potřebuješ od vesnice, aby ses po všech těch letech cítil ceněný?
And so, the Brigands to squash their morale destroyed the shrine, breaking the stone in smaller pieces and using it for construction.	A tak Brigands, aby jim zlomili ducha, svatyni zničili, kámen rozbili na menší kusy a použili na stavbu.
And that’s not even the worst part. The subject was a Brigand. Which means Ashbourne’s men will be out for blood if they find out what I did.	A to ani není to nejhorší. Ten dotyčný byl Brigand. Což znamená, že Ashbournovi muži budou chtít krev, jestli zjistí, co jsem udělal.
And then, you need to check on Marek Tholy in Padstow. He promised to deliver some caravan parts but there’s been some delays and I haven’t heard from him.	A pak se musíš podívat po Marku Tholym v Padstow. Slíbil dodat součástky na karavanu, ale došlo ke zdržení a on se mi neozval.
And they also made fun of one of our senior members, and she was rather aggrieved about it. So we are seeking revenge!	A ještě si dělali legraci z jedné naší starší členky, kterou to dost ranilo. Takže usilujeme o odplatu!
And those Brigands, gods only know what stupid ideas are festering in their empty skulls.	A ti Brigands, bohové vědí, jaké hloupé nápady jim hnijí v prázdných lebkách.
And to do that you will have to catch better fish than they did in their area. What they catch and are famous from you will know from them.	A k tomu budeš muset ulovit lepší rybu, než ulovili oni ve svém revíru. Co loví a čím jsou proslulí, ti povědí sami.
And what if he never does? What if I spend my life knocking on a door that will never open?	A co když nikdy? Co když strávím život klepáním na dveře, které se nikdy neotevřou?
And what if you get exiled? Tell the elder that he was killed by some beast or bandit. We are here alone, no one will know.	A co když tě vyženou? Řekni stařešinovi, že ho zabila zvěř nebo lapka. Jsme tu sami, nikdo se to nedozví.
And what would you like me to do, mate? Wander out there, sword in hand, and start swinging like a lunatic?	A co bys po mně chtěl, kamaráde? Vyrazit ven s mečem v ruce a začít mávat jako pomatenec?
And what you gonna do if I don’t? Start screaming at me?\r\nStart to drag me in the middle of the village?	A co uděláš, když ne? Začneš na mě křičet?\r\nZačneš mě vláčet doprostřed vsi?
And while we’re at it, why not build a community gambling hall? A little friendly competition might keep them from getting restless.	A když už jsme u toho, proč nepostavit obecní hernu? Trocha přátelského soupeření by je mohla udržet v klidu.
And while we’re at it, why not build a community gambling hall? A little friendly competition might keep them from getting restless. What do you say?	A když už jsme u toho, proč nepostavit obecní hernu? Trocha přátelského soupeření by je mohla udržet v klidu. Co ty na to?
And, the ale I brewed from the ingredients you brought me is almost done, could be a good occasion to see if it’s at least good enough. What do you say?	A pivo, které jsem uvařil ze surovin, cos mi přinesl, je skoro hotové. Byla by to dobrá příležitost zjistit, jestli aspoň stojí za to. Co ty na to?
Any chance you can find me a boat? I can’t promise I’ll return it, but I’ll try my best…	Nesehnal bys mi náhodou loďku? Nemohu slíbit, že ji vrátím, ale pokusím se…
Any friend of Anna’s is a friend of mine! I think there could be something you could help me with.	Každý Annin přítel je i mým přítelem! Myslím, že bys mi mohl s něčím pomoct.
Anyway, if we want to help him, I'll need some special herbs. Can you gather them for me while I prepare the rest of the ingredients?	Každopádně, jestli mu chceme pomoct, budu potřebovat zvláštní byliny. Nasbíráš mi je, zatímco připravím zbytek přísad?
Are they wrong? You can guarantee that the source that provides you with those items is fully legal?	Mýlí se? Můžeš zaručit, že zdroj, odkud to zboží máš, je zcela poctivý?
Are you dreaming of glory? Have you ever fought in the sea? Have you ever felt a fish pull like the devil himself?	Sníš o slávě? Bojoval jsi někdy na moři? Cítil jsi někdy rybu táhnout jako sám ďábel?
Are you going to moan and doubt like everyone else, or do you want to be part of something important?	Budeš naříkat a pochybovat jako všichni ostatní, nebo chceš být součástí něčeho důležitého?
Are you joking with me? That’s a laughable price for a pig like this? No. 75 coins, no less.	To si ze mě děláš legraci? To je směšná cena za takové prase. Ne. 75 mincí, ani o míň.
Are you proud of yourself? You ruined my business and the good reputation that I worked so hard for!	Jsi na sebe hrdý? Zničil jsi mi obchod i dobrou pověst, na které jsem tak dřel!
Are you serious right now? If you must know, he left the house first thing this morning, even though he’s not working today.	To myslíš vážně? Když to musíš vědět, odešel dnes z domu hned zrána, ačkoli nemá směnu.
Are you sure it was the potion? Could it have been the fever itself causing the nightmares?	Jsi si jistý, že to byl ten lektvar? Nemohla ty noční můry způsobovat sama horečka?
Are you sure? I could’ve sworn someone mentioned seeing you speaking with him recently. You’re not a suspect, if that’s what’s bothering you.	Jsi si jistý? Přísahal bych, že se někdo zmínil, že tě nedávno viděl s ním mluvit. Nejsi podezřelý, jestli tě trápí tohle.
Aren’t you a little small when fishing in the sea? I thought it required strength?	Nejsi na moře trochu malý? Myslel jsem, že to chce sílu.
As a group, the Brigands are well-organised and disciplined, but that is only achieved due to the discipline of the leaders.	Jako celek jsou Brigands dobře uspořádaní a ukáznění, ale jen díky ukázněnosti svých vůdců.
As for Bernar, we're still investigating the matter discreetly, but your success against the bandits may help us gain some clarity soon.	Co se Bernara týče, pořád to nenápadně prošetřujeme, ale tvůj úspěch proti lapkům nám možná brzy pomůže získat jasno.
As for Maren’s loom. I have no power over wood and thread. Her accusations are born of fear, not fact.	Co se Marenina stavu týče - nemám moc nad dřevem a nití. Její obvinění se rodí ze strachu, ne ze skutečnosti.
As for the rope, the merchants could have some in stock or you can craft them yourself.	Co se provazů týče, kupci by nějaké mít mohli, nebo si je můžeš vyrobit sám.
As I said, this mix prepared in a certain way could be uncomfortable, and that’s for a man in his prime.	Jak jsem řekl, tahle směs připravená jistým způsobem může být nepříjemná, a to i pro muže v nejlepších letech.
As of now, Joren is the only one missing, but if this cult is active, I fear more could follow. We must act quickly to prevent further loss.	Zatím je Joren jediný nezvěstný, ale je-li ten kult činný, obávám se, že mohou přibýt další. Musíme jednat rychle, ať zabráníme dalším ztrátám.
As soon as I realized what you did, I knew you wouldn’t face me yourself. It’s not pleasant being tricked, is it?	Jakmile mi došlo, co jsi udělal, věděl jsem, že se mi sám nepostavíš. Není příjemné být oklamán, viď?
As you can see, we are doing well with that. It's my love for this community that fuels me, fostering resilience and unity in the face of adversity.	Jak vidíš, daří se nám v tom dobře. Pohání mě láska k této obci, která živí odolnost a jednotu tváří v tvář nesnázím.
Asha has given much to this village, and she deserves a chance to clear her name. Thank you for standing by her.	Asha dala téhle vsi mnoho a zaslouží si šanci očistit své jméno. Děkuji ti, že jsi při ní stál.
Ashbourne’s men are getting a lot more cocky since the election went their way. If they come at me, I want to be prepared.	Ashbournovi muži jsou od té doby, co volby dopadly v jejich prospěch, mnohem drzejší. Jestli si na mě došlápnou, chci být připraven.
At the moment, there’s nothing that I am aware of. I can ask other villagers to know if there’s anything that needs tending.	Zatím o ničem nevím. Mohu se poptat ostatních vesničanů, jestli není něco potřeba.
At the moment, we simply don’t have enough people or resources. Ashbourne has made sure of that.	Zatím prostě nemáme dost lidí ani surovin. O to se Ashbourne postaral.
At this point, I can’t say for certain. It might be worth looking into anyone who has been seen near the altar or has a history with cults.	Zatím to nemohu říct jistě. Možná by stálo za to prověřit každého, koho viděli u oltáře nebo kdo měl co do činění s kulty.
Avoid her? Of course I avoid her. She’s unstable. She’s dangerous. I can’t be around her without feeling like I’m drowning.	Vyhýbat se jí? Samozřejmě že se jí vyhýbám. Je nevyrovnaná. Je nebezpečná. Nemohu být poblíž ní, aniž bych se cítil jako by mě to topilo.
Aye, but not just any fish. You’ll need to catch an Silver Broadfin. The trick? They don’t bite unless they feel like it.	Ano, ale ne jen tak nějakou rybu. Budeš muset ulovit Stříbroploutvého. Fígl? Zabere, jen když se mu chce.
Aye, I have. My boy, Joren, fell ill with a fever that wouldn’t break. Asha gave him a potion, and at first, he seemed better.	Ano, měl. Můj chlapec Joren onemocněl horečkou, která nechtěla polevit. Asha mu dala lektvar a zprvu se zdálo, že je mu líp.
Aye, it takes much toil to yield grain from the wheat, for one must strike it fiercely in the thresher.	Ano, vydobýt zrno z pšenice dá mnoho dřiny, neboť je třeba udeřit do mlátičky vší silou.
Aye, there is one thing, mate. I’m working on a caravan with Marek Tholy, a lad from Padstow, to improve the trade routes between our two villages.	Ano, jedna věc by byla, kamaráde. Pracuji na karavaně s Markem Tholym, hochem z Padstow, abychom zlepšili obchodní cesty mezi našimi vesnicemi.
Back in my day, I used to make weapons, but there's something satisfying about crafting tools that build, rather than destroy, know what I’m sayin’?	Za mých časů jsem vyráběl zbraně, ale je něco uspokojivého na výrobě nářadí, které staví, místo aby ničilo, chápeš, jak to myslím?
Back-scratching aside, it wouldn't hurt to look into it. The villagers are genuinely concerned, after all.	Vzájemné laskavosti stranou, neuškodilo by se na to podívat. Vesničané mají koneckonců opravdové obavy.
Badcocke was more than just a fisherman, he was a true artist with a fishing pole.	Badcocke byl víc než jen rybář, byl to pravý umělec s prutem.
Badcocke, eh? A fish whisperer, that one. If he stashed away parts of his rod, they're worth more than even the Golden Trout!	Badcocke, ano? To byl rybí zaříkávač. Jestli někam ukryl části svého prutu, mají větší cenu než sám Zlatý pstruh!
