# Quests/SideQuests - 2. davka
Alright. Farwell.	Dobrá. Buď sbohem.
Alrighty, I will do it, watch me.	Tak jo, udělám to, sleduj.
Alright… What do you want exactly?	Dobrá… Co přesně chceš?
Also, I have these ones for you. Choose what you want.	A ještě mám pro tebe tyhle. Vyber si, co chceš.
Altar? What kind of altar?	Oltář? Jaký oltář?
Although you don’t see much of that fighting spirit anymore.	I když toho bojovného ducha už dnes moc nevidíš.
Always a pleasure! Till next time.	Vždy potěšení! Do příště.
Always glad to help. What can I do for you?	Vždy rád pomohu. Co pro tebe mohu udělat?
Always stand up for what you believe, even if you stand alone.	Vždy se zastaň toho, čemu věříš, i kdybys stál sám.
Always, what do you need?	Vždycky, co potřebuješ?
Amelie? What about her?	Amelie? Co je s ní?
An invitation? To what?	Pozvání? Kam?
And any gold we have is from honest work, nothing more.	A všechno zlato, co máme, je z poctivé práce, nic víc.
And as you see I have both, not one is missing.	A jak vidíš, mám obojí, nic nechybí.
And be careful, the boars are vicious.	A dej pozor, ti kanci jsou zuřiví.
And be discreet. You don’t want the Brigands on your trail.	A buď nenápadný. Nechceš mít Brigands v patách.
And believe me, the emigration process is worse than torture.	A věř mi, vystěhovalecké řízení je horší než mučení.
And defying that rule is more than my job here is worth. Speak to him first.	A porušit to pravidlo mě stojí víc, než je mé zdejší místo hodno. Promluv nejdřív s ním.
And don’t forget their tusk I beg you!	A na jejich kly nezapomeň, prosím tě!
And especially when one of our leaders left us behind.	A obzvlášť když nás jeden z našich vůdců opustil.
And faith in Lord Ashbourne has never failed me!	A víra v lorda Ashbourna mě nikdy nezklamala!
And Farnworth's honors Devannos, a warrior deity.	A Farnworth ctí Devanna, válečnické božstvo.
And feel free to take one more.	A klidně si vezmi ještě jednu.
And have there been many threats from bandits?	A bylo těch hrozeb od lapků hodně?
And here's a bonus from the villagers.	A tady máš příplatek od vesničanů.
And here's a little bonus for you.	A tady máš malý příplatek.
And here, take these coins, I'm grateful for the help.	A tu máš, vezmi si tyhle mince, jsem vděčný za pomoc.
And how did it go?	A jak to dopadlo?
And how do you plan to do that?	A jak to hodláš provést?
And how’s your husband dealing with this little… setback?	A jak se tvůj muž vyrovnává s tou drobnou… nesnází?
And I accept it!	A já ji přijímám!
And I expect the grain. Give it up now, or we’ll stop being so nice.	A já očekávám to obilí. Vydej ho hned, nebo přestaneme být tak milí.
And I need you to shut up and give me the bag.	A já potřebuji, abys zavřel zobák a dal mi ten pytel.
And if you trust me, I suppose that counts for something.	A jestli mi věříš, tak to snad něco znamená.
