[url][key][hash],source,Translation
[][0018E79245C33F7AC4FF199245D5E3C6][3591878616],Oversea Stranger,
[][00288248469BB24B878CA288BF5469EA][3818532040],Free village from occupants.,
[][003E889A49982D1CCFE604865496376A][590202769],Seeds needed to grow Apple trees.,
[][0058278046AE4912C3E9A0BA2294ABB1][291640414],Ring the bell to start the rebellion in Farnworth.,
[][005EAE034449086FDEA6EFADD5DC7072][3067318440],Can be crafted at Tanner's Hut,
[][008075FB44A3A7DDD0532F9767F01F74][745374820],Occurs in lakes. Typically weighs between 1 and 6.,
[][009360474E05346B9A40A1BE20F0B0DA][2789391492],Falsgar Helmet 1,
[][00C84B474544A61E8FDC1990E77E7DD2][252239032],Not accessable in the game. Logic only,
[][00D4C71F4D9A32DA191C56814439BDFD][374854287],Chaffin,
[][00DCB974499ADA38D5AF82877D7CA002][1475284076],A more durable type of wood used in crafting and building. Requires better axe to harvest.,
[][01142AB44379C3271D56F8BBA96F653A][2368857911],I spoke with a strange mercenary near the tree. He claimed to know why the hangings are happening but refused to explain. He hinted that their group might be responsible and directed me to their camp for answers. It seems this man is somehow tied to the mystery.,
[][011F66C84D60A1627B5ED5A89A6C29F7][433166090],Percy,
[][016F211A4A5198BCC6C54E9EA945F69E][3416248247],Search the dead body,
[][0175665848EA0085053DC48C2245EBF7][2737968425],Lodge,
[][017616F544D20713D5D9ECA0176AD700][3964311343],Oliver,
[][017A7E6E46F6F3A339A472A665662772][1457903558],Villager clothing.,
[][017D16A64F56484BD54C049FE15B9952][3934017401],Escort Alchemist out of Cave,
[][019F095E476BE1814BCBA791AD1C06CD][2239443458],"A practical and solid seat, offering a place to unwind.",
[][01AB4DB04D93E5B72AAC6F8F3F1F23FC][2106672109],"Perfectly prepared fishing bait. A favorite meal for fish, perfect for fishing.",
[][01BE5A8A4D786B880DF3D2824C93BE9E][2898228561],Pick up the mysterious bottle,
[][01D2B29E48D28BD92763E5898BCFE11B][801849667],Thankfully the herbalist was efficient in brewing the cure. I need to return to the farmer with the concotion.,
[][01EBD44F426BC9573C0102971D341CEA][313859598],Wait until tomorrow for the announcement,
[][01F57CB5463B322859B4AFB4408976D8][1160554707],I found the wheat field that the farmer told me about. Now I have to gather some straw.,
[][01F8D50743067F62F481EB9FEE74873F][537892467],"The ground here looks disturbed, and something fell from the cliff. I should check it, down there.",
[][0209A0C54A040299BB65E3A23D96E26B][2745468400],Earn {TrustLevel} trust level from people in {VillageName}.,
[][020B56EE4CEA5B356CDF47AA7D23BC3A][3290187604],Packing Light: Part 1,
[][020B73E04AEDB6705909DA9E2E974779][3974326863],Berry Tart,
[][020DB54C4254B3EE59E73785C43FAC5C][1474289556],Learn more about Isa from {Npc},
[][021373964C66E041673CB28C0EFC92AF][569781262],Hemp,
[][02169C5F471565D6515BA89E1872AFF3][3291921710],Boar Spear,
[][0231D03C479A51C1F4D5689634A1AA5A][4072233540],Plank Shield,
[][026A6343444C5F996EB7D68860C5659A][3182753782],Turncoat,
[][02BB5DFE48B0622B4B40CBB19B766580][3576450404],Talk to {Npc},
[][02C501A848E0DD4FECDBE5A25C18D2D9][3834884020],Reinforced Log,
[][02D4EC2747F8DFA33CDCB7B7429049BE][341551739],Laundry Hanger,
[][02EBFDE54BB4B4117E4EF19BFF4CEF45][218172043],Voices in the Dark,
[][0302ABE14AA1C48724360B8D02CFB490][2623055468],Wall,
[][0302C06246D9F3AC56B3E6BFFF49E5CD][1410778902],"We moved quickly through the prison, avoiding or confronting guards, heading for the exit.",
[][03031828426870CB25C9BB8BA46EFD6F][1622531654],Aldridge,
[][0305876549CCA8150C9435989570E1B2][3247605585],Trains and deploys additional heavy infantry militia for village protection.,
[][0313AF2B4AEDF428A4BDC6A6EE26C674][2320969749],Spy,
[][032A1D19409CED9D5B6BED870F3531A0][3094912814],Piglet,
[][034E50A14EF2AC42A8AC7A96FC6224C8][3590066251],"I have the book, time to return it to Cecilio.",
[][035D55C84407717E7126739E0194FF6D][2523929166],Talk to {Npc} about what's happened.,
[][0360D6604E42EC18E21278B4435B708B][3204897967],"Settlers can cook and eat food here, which boosts their morale.",
[][038B038D4BFA3FD168A763BC1F10E1B7][3202850165],Smoking Rack campfire,
[][0391593D42070C12967C00ADD327E07E][2538208888],Cassian Leader Shalwars,
[][03A5629B42CEB9A238A3198A0CEB4827][3607022464],Damaged Sword (Quest Item),
[][03ACB01D4F40D93D59A5B99DFF6C547A][1742282298],Hard Truces,
[][03B5F9D2467D60C1282F2EBD95D138DA][2513899375],Can be crafted at Armourer.,
[][03BB75A14B8168E75B7FF1BDC0041B3E][4099719140],Occurs in lakes and oceans. Typically weighs between 1 and 3.,
[][03C8042040146427826058AAF999E256][3986123975],Blacksmith,
[][03DD84834552DFEA5F9BDA875F2716CF][1646736419],Talk to {Npc}.,
[][03DDF95D4CCA036E1D5866B86D8B94C2][4095972344],Lockwood,
[][03F1D9034CA9E57EFC49DC93BA6B8302][795209267],Go inside the archive,
[][040B6D1F4DA609CF87C11CB8C49FF9AA][679136215],"A rugged trophy from the underbrush, marked by wild clashes. While field skinning can yield a modest return, processing it at a Butchery unlocks far greater rewards.",
[][043C285F40AE2C7857225EBDBEDEF703][1666679396],Hunter and Hunted,
[][0448214E40F9A8A1BB76828CF0D620BD][1261397961],Disgruntled,
[][044AD6624C1D19FE5B9EEAB0C6F6EB7D][2748324681],Wait until dusk,
[][046BD7AE4C628A4B3419A49D7FE04CD5][3067318440],Can be crafted at Tanner's Hut,
[][048874C44E135345463D3CA7B39997CF][6441429],"I managed to find the wolves. Their den was nestled in a rocky outcropping not far from the village, explaining their frequent incursions. I have to be smart, quick and above all, careful.",
[][0495BA1D4FD40197F14018B439A422E9][4055189012],Clear out the camp and free the prisoner once all bandits are dead or the camp flag has been claimed.,
[][04A951DE4D6D3557B1C409B8BDBAC2AC][4158504496],"Kug was waiting, bitter and unbowed. He hurled my own choices back at me, reminding me of every life taken or spared, every stain on my hands.",
[][04D6D8BC432A3C77F1D8459CE5EBD6C5][3033219687],"Carcass of the rooster. Once the vibrant herald of dawn, its remains now promise hearty provisions.While field skinning can yield a modest return, processing it at a Butchery unlocks far greater rewards.",
[][04F38BCA4BED9148CB3082B9A49970CD][4023268044],Distillery,
[][051B06204F2F2BCBD28770A77720866F][2643560771],Chamois Carcass,
[][053FCB3348B0C0A6AD1715B316DB2E8C][4022817805],Decorative Wooden Arch Lantern.,
[][0566485F4DAF67B83E2516BDE65443B0][176218150],Chasing the Beast,
[][056FEACB4C94CC6581C0C8BFC7E38172][307335761],Sour Milk,
[][05799ED04662583FC4949F8FF63CEA93][3383816616],Crafting,
[][0595057648E4C9A6DC918D843038E6D4][2063649375],Protection Gear,
[][05951D3D463E1B80B01859B9FB7C01F4][2881145252],Rondel,
[][05C76AF347F6B58AB8E49EBFA0272562][2699764041],Can be crafted at Blacksmith,
[][05CC1F014B28F10AD341BF838582AC50][1026486098],Beard_S_Uneven,
[][05CF5A6E4ABBB0F463BD8E99E525FECA][3986123975],Blacksmith,
[][0607219444219659BDAF9586C63BA340][1371941591],Is there any work for me?,
[][0617D6DB4F6C359374104A9A9E0FADF1][3189926176],Simple decorative Vase.,
[][06236B6841EE131CD410F8B9084522DF][2967458488],Escape from prison.,
[][0638E5AF40DC490CE4E747AE2B117E83][2491196284],Occurs in rivers. Typically weighs between 2.72 and 5.44.,
[][064D52074C2C87D2657B39B19EC2E7C3][3972243512],"I crafted the tools that Tomas asked for, thankfully, they were up to his standards.",
[][064DD35E4EF72A039E11DA8B03D22B61][803440046],Enter the mansion,
[][0659F83A4B3EA0257DC0AFB37A933322][2903281371],Can be crafted at Advanced Workbench,
[][065FEF6047539D5A0479749BAE5D573F][1457903558],Villager clothing.,
[][0660FFAC42961F559E651DAD233F5EC1][85499221],"I found Helga's husband, something is not right.",
[][0678B90749D0F09514BA21BD0121F874][3228485175],Sneaky Dagger,
[][0679344643F2DB07DBF074819487861E][2001887767],Fish Scale,
[][068014F247EDD03BB5FBFAB6F220A6D1][1341101300],"The stalk from a type of wetland grass, used by craftsmen to add strength to fiberous crafts and as a thatching material for buildings. It's located near rivers.",
[][0696CC9848CF379D119D2992FC9E0C6E][2615635690],Cassandra has given me the opportunity to show that I am capable of really contributing to Cassians cause and the objective is simple enough - Find Cecilio Baez and bring him back in one piece to Opportunist Bliss. Cecilio was last seen in a tavern in Rustshore.,
[][069CE29443F4B11717AC8CAF4A8F98A0][3773625978],Bucket With Metal Handle,
[][06A792C042C1C20B397C08A644AFEC70][3983501734],Capture Cragkeep Bay,
[][06B24C99405E13A67BF09D9AB1EF7ECD][4014294108],Campfire,
[][06B3B90A4681BA432E2FD28D62C801DC][1457903558],Villager clothing.,
[][06BB19824F3D3D34E18C47933F24444E][1491919710],Falsgar Leader Greaves,
[][06BB3BFE48EC185D537746BCF92BC0BD][3526641716],Brigands Shoes 2,
[][06E75016457DDF9B74EC988A06DA5009][1470552925],A common herb that can be used to add flavor to dishes or to treat various ailments.,
[][06F86A5E48F49DEB6852DD9ACFA18A68][2838961494],Simple dish.,
[][0724723540502EA7DBEF0EAA52802446][1238873615],Can be crafted at Weaver Loom,
[][0739B72B4C4C7F386FA003B3CF7F59BC][1550266274],Food Bag,
[][0784CC9341C04BFC115B629BBA0BF55C][1457903558],Villager clothing.,
[][07CF234E4C0ECAF6F21ACD897530703F][3934495551],Audemar,
[][07D0E9B4495A98F2443EA991AAD7EB63][2513899375],Can be crafted at Armourer.,
[][07D74FEB4F3B51EFE8BE3781620AC5BC][304447055],Can be skinned from a wolf.,
[][07EE49424912AEA56ED1D79DC9355C25][662581766],Halmayan's Scum,
[][0805A27F4DA9E5C0545A7CB4B06484FC][1804573952],"An axe crudely made from a shaped chunk of iron. Used as a tool for woodcutting, but can also be used for combat.",
[][080CD91D48BF31D31A93529E667B2622][4258552044],Elder Dobbins has fallen gravely ill and asked me to seek help from Aleks Amanita - the herbalist. Helping him will surely earn me the trust and respect of the village.,
[][08126C72485267A7A82B2A847FB2C2C2][3084865540],About the raw hide you asked for...,
[][081BB4E84D893D2AC6ECB2B8ADC34E68][1577133661],"The ship looms ahead, guarded by wreckage and fire. Inside, the one who betrayed us waits. He will not escape justice.",
[][0827E5554919B408FBC5F09176EC9377][1726242704],Hair_Sinbi,
[][082F449A4C8483D1F2074B9E668CA7F3][944446841],Woodsman Vest,
[][082F63A34B703FE852B64E9610FE7180][3376184745],Recruit {Npc} for the merchant,
[][087D5F7746764B71143443807021C370][2397243742],"Daru is a colossal tree, offering guidance and prophecy to those who seek it, using ancient knowledge.",
[][088CE3A2EDE14BE4BE8186F6E89678BF][14706272],Halmare Folks,
[][088D434E45516D67650821A5811F6D69][1662914290],Village Herb Garden,
[][089336014274D8D1658FBD9C10914CD5][4070438808],Trade Routes,
[][08DD706F483B68CF26A9DAB920B46F1A][3860609428],"The Glass Turns, The Gain Falls Part 2",
[][0903DD844C53DB9EE212F1B6CE8BBC2A][2730449769],Joy and Ale,
[][090BB45F4BDC2F1B34D097838AAC8D8A][985520295],Falsgar,
[][091740D844AB341D84A5748D81A56EFD][2126000477],Attend an appointment,
[][0927DBFD428623A2622F66ABBACE73EB][1370570202],Wait until tomorrow to cast your election vote.,
[][092AE6754FB99746CC4CC3937A53C4D8][3639085109],Waterlogged Pouch,
[][092C85904239CC713D3CF2ADF142DC69][355797743],Plant Cassians Flag.,
[][09536150460FC42E75CDA2A2DCC1125B][54965963],River Dock,
[][0953AC0E493E54CF238AB8854322E6A3][2699764041],Can be crafted at Blacksmith,
[][096035C040D5FF022B228E8AA10D6DA3][2565188148],Faremann,
[][0967E8E94A416B04507B65AC2AA8676B][3675338604],"PROTOTYPE Used for repairing any Tier 1 weapons, shields and tools.",
[][096CB1FC4D36EC1C6C4770B3671197BA][925865],Halmayan Veteran's Aketon,
[][0972D59A44442F361AFD9D917AA094F1][1457903558],Villager clothing.,
[][097F9AF64511FEDC5947B590BE733FD1][1238873615],Can be crafted at Weaver Loom,
[][098038AC47F3D50F2B1149903E78BCE9][4094766394],Anything I could help with?,
[][098D1D064C26818CE3E8B889D8595A82][911278029],"Tomas, I found something. It's Lyanna's necklace.",
[][09A808094E80D5BFE480508823105BB4][315844864],Cotton Bolt,
[][09C531B7473D2D3D8763198CC6EEA29F][1238873615],Can be crafted at Weaver Loom,
[][09CA2D4A4FCE64304367438A1E83B52C][3221017264],The Long Road,
[][09CB0D364DD3A3D56D2194AF0A4A940D][1858907673],Ogier,
[][09DBF577473E6F10C1E62895BBB0DD9E][1054963833],Deliver letter and tools to Dalibor,
[][09F50C174F42650CF42B17BDE40B14BD][3067318440],Can be crafted at Tanner's Hut,
[][0A17EA6249D4379AB3141C9B88AA0E06][1754401348],Village Improvements,
[][0A1B60CE448E179E48141786B32596DF][3502290277],I reached the cave that the Elder pointed to only to find the knight and he does not look happy.,
[][0A1CB71B41C5F047E1B7B3AA7F32549F][267357535],Will always try to unload as many items as possible to reach stock in settlement to specified amount. Will automatically try to load items at previous stops if necessary.,
[][0A1D8F4D43532C4C6FEC95B77381A2DD][1081151923],Seeds needed to grow Sunflower in your garden. Can be bought from Herbalist.,
[][0A41DEA744E60046BADA9E9B2D192CC5][4206323381],Iron Independency,
[][0A5FDD5D48B077D67FEE779460AD1110][1614523745],Talk to {Npc} about what you've found in the Smuggler's chest.,
[][0A668E9C451E6B65C4A90F9E73FFCAD2][414391820],Halmayan Clothing 2,
[][0A750A404B14500F18569F960057493B][2513899375],Can be crafted at Armourer.,
[][0A771A1C418A5A0397994F8722E4C861][313859598],Wait until tomorrow for the announcement,
[][0A7DCE654F6EE8EC32EE488F3DA6C791][3194263641],Shale oil,
[][0A8636514413DC0B2ECCCF8EB5CCDAB6][4063082010],Ringed Quilted Trousers,
[][0A900870496998E7AA9CA5A322E358E9][2290783223],Speak with {Npc},
