# Dialogy úkolů (RaidMap), dávka 06 - originál <TAB> překlad

# --- odmítnutí a odklad ---
Forget it.	Zapomeň na to.
Forget it. I’m not your lackey.	Zapomeň na to. Nejsem tvůj poskok.
I can’t deal with this right now, I’ll come back later.	Tohle teď řešit nemůžu, vrátím se později.
I can’t do this right now.	Teď to udělat nemůžu.
I can’t handle this right now.	Teď to nezvládnu.
I can’t right now.	Teď ne.
I could use some more time to think.	Hodilo by se mi víc času na rozmyšlenou.
I couldn’t do it.	Nedokázal jsem to.
I don’t have time right now.	Teď nemám čas.
I don’t have time, sorry.	Nemám čas, promiň.
I have other things to tend to.	Mám na starosti jiné věci.
I have to get going now.	Teď už musím jít.
I have to go.	Musím jít.
I have to leave.	Musím odejít.
I have nothing to say right now.	Teď nemám co říct.
I don’t have any more questions. We should get going.	Nemám další otázky. Měli bychom jít.
I don’t have any more more questions.	Už nemám další otázky.
I have no more questions.	Nemám další otázky.
I changed my mind, I don’t want to bet.	Rozmyslel jsem si to, sázet nechci.
I don’t want to bet.	Sázet nechci.
I don’t want any bread.	Chleba nechci.
I don’t babysit livestock. Find someone else.	Dobytek hlídat nebudu. Najdi si někoho jiného.
I don’t kill men for gold. Find another assassin.	Nezabíjím lidi pro zlato. Najdi si jiného vraha.
Guess I’ll piss off.	Tak asi vypadnu.
Guess I’m not welcome here.	Asi tu nejsem vítán.
Go get that shipment yourself.	Dojdi si pro tu zásilku sám.

# --- souhlas ---
I accept.	Přijímám.
I did.	Ano.
I have.	Ano.
I can help you with that.	S tím ti můžu pomoct.
Finding them sounds easy, I will do that.	Najít je zní snadno, udělám to.
Fine, I’ll help you.	Dobrá, pomůžu ti.
Fine, I will make the list for you.	Dobrá, ten seznam ti udělám.
Fine, let it be our gentleman's agreement.	Dobrá, ať je to naše džentlmenská dohoda.
Fine. Here.	Dobrá. Tady.
Fine. You have my silence.	Dobrá. Máš mé mlčení.
Fine, only the drinks or something else?	Dobrá, jen pití, nebo ještě něco?
Fine, what do you want then? Money?	Dobrá, tak co chceš? Peníze?
FINE I’LL DUEL YOU.	DOBRÁ, UTKÁM SE S TEBOU.
FINE… I’LL DUEL YOU!	DOBRÁ… UTKÁM SE S TEBOU!
For a good coin, I will retrieve your goods.	Za dobrou minci ti to zboží přinesu.
Give 1 doll's tears.	Dát 1 slzu panenky.
Give 100 coins.	Dát 100 mincí.
I did what felt right.	Udělal jsem, co mi přišlo správné.
I did what I had to.	Udělal jsem, co jsem musel.
I have some gold. I can tell you need it.	Mám nějaké zlato. Vidím, že ho potřebuješ.
Gods… Fine, give me this stone.	Bohové… Dobrá, dej mi ten kámen.

# --- otázky hráče ---
Explain, I’m waiting.	Vysvětli to, čekám.
Find anything?	Našel jsi něco?
Found my shipment?	Našel jsi mou zásilku?
Focus, how do I get inside his mansion?	Soustřeď se, jak se dostanu do jeho sídla?
Get to the point, what do you want me to do?	K věci, co mám udělat?
Got any work for me?	Máš pro mě práci?
Has anyone died from it yet?	Zemřel už na to někdo?
Has this happened before?	Stalo se to už někdy předtím?
Have the falsgar done anything about it?	Udělal s tím Falsgar něco?
Have you ever had to stop one of them from leaving?	Musel jsi někdy někomu z nich zabránit v odchodu?
Have you ever inspired a bard before?	Inspiroval jsi už někdy barda?
Have you ever sailed it yourself?	Plul jsi tudy někdy sám?
Have you ever tried it yourself?	Zkusil jsi to někdy sám?
How am I supposed to believe that? You could be just like one of them.	Jak tomu mám věřit? Můžeš být jeden z nich.
How are lighthouse signals read by sailors?	Jak námořníci čtou signály majáku?
How did all this happen?	Jak se to všechno stalo?
How did this rivalry start?	Jak to soupeření začalo?
How did you discover the error in the charts?	Jak jsi tu chybu v mapách objevil?
How did you lose them?	Jak jsi je ztratil?
How do you fuel the beacon?	Čím maják zapaluješ?
How do you keep your fish so fresh all day?	Jak udržíš ryby celý den tak čerstvé?
How do you know about this expedition?	Jak víš o té výpravě?
How do you know that?	Jak to víš?
How do you know who I am?	Jak víš, kdo jsem?
How do you preserve your fish on such long journeys?	Jak ryby na tak dlouhých cestách uchováš?
How do you read the wind around here?	Jak tady čteš vítr?
How do you think you will accomplish that?	Jak toho chceš dosáhnout?
How does one get into the pig racing business?	Jak se člověk dostane k prasečím dostihům?
How does the alignment help ships?	Jak to seřízení pomáhá lodím?
How does the rotation mechanism work?	Jak funguje otáčecí ústrojí?
How is Half-a-Trot?	Jak se daří Půlklusákovi?
How is the blackmailing this rich pig going?	Jak jde to vydírání toho bohatého vepře?
How many people were sent with the caravan?	Kolik lidí šlo s karavanou?
How often do the lenses need replacing?	Jak často se musí měnit čočky?
How on earth did you lose your pants?	Jak jsi proboha přišel o kalhoty?
How should I go about it?	Jak na to mám jít?
How will this help you?	Jak ti to pomůže?
How’s that relevant?	Co to s tím má společného?
How’d you end up here?	Jak jsi tu skončil?
Fruits would give you a lot of advantages?	Ovoce by ti hodně pomohlo?
Glowing eyes, really? Sounds like drink talking.	Zářící oči, vážně? To z tebe mluví pití.
He told me the Kug ordered innocent deaths. Is that true?	Řekl mi, že Kug nařídil smrt nevinných. Je to pravda?
Hmm, is that all? She didn’t find anything unusual in my pants?	Hm, to je vše? Nenašla v mých kalhotách nic neobvyklého?
I have a few more things I’d like to know.	Rád bych se dozvěděl ještě pár věcí.
I have a few more things to ask.	Chci se zeptat ještě na pár věcí.
I have one more thing I want to ask of you.	Chci tě požádat ještě o jednu věc.
I have some questions about what exactly you want.	Mám pár otázek, co přesně chceš.
First, I want to ask why you want to join Falsgar.	Nejdřív se chci zeptat, proč se chceš přidat k Falsgaru.
Have you changed you mind? Can you help me now?	Rozmyslel sis to? Můžeš mi teď pomoct?
Have you changed your mind? Can you help me find the caravan?	Rozmyslel sis to? Pomůžeš mi najít tu karavanu?
Have you reconsidered helping with the matter?	Rozmyslel sis pomoc s tou věcí?

# --- hlášení hráče ---
Here’s your proof. Dain is dead.	Tady máš důkaz. Dain je mrtvý.
He got away. When I got to the spot where he was hiding, he was gone.	Utekl. Když jsem dorazil na místo, kde se skrýval, byl pryč.
He’s here alive, that’s it.	Je tu živý, to je vše.
I brought an empty bottle for you to examine. Take it.	Přinesl jsem prázdnou láhev k prozkoumání. Vezmi si ji.
I found it, but decided that the crates I found should change the owner.	Našel jsem to, ale rozhodl jsem se, že ty bedny změní majitele.
I found one at a grave. Your mark’s on it.	Jednu jsem našel u hrobu. Je na ní tvá značka.
I found real fencing manuals. Did you ever read them?	Našel jsem skutečné šermířské příručky. Četl jsi je někdy?
I found some money hidden near the port.	Našel jsem peníze ukryté u přístavu.
I found the ledger. And the hidden coin.	Našel jsem účetní knihu. I ty schované mince.
I found them in Dread Maw. They’re dead, and the caravan is empty.	Našel jsem je v Dread Maw. Jsou mrtví a karavana je prázdná.
I found this strange bottle.	Našel jsem tuhle podivnou láhev.
I have found your muse!	Našel jsem tvou múzu!
I have the package and Mancebo is still alive.	Mám ten balíček a Mancebo je naživu.
I have the package but Mancebo is dead.	Mám ten balíček, ale Mancebo je mrtvý.
I don’t need a password, but I have this from Guillermo.	Heslo nepotřebuju, ale mám tohle od Guillerma.
I came here to challenge you to a duel.	Přišel jsem tě vyzvat na souboj.
I came to overthrow your theories, they are useless in real combat.	Přišel jsem vyvrátit tvé teorie, ve skutečném boji jsou k ničemu.
I came here for help, not truth! Enjoy your evening, you soulless critic.	Přišel jsem pro pomoc, ne pro pravdu! Užij si večer, ty bezduchý kritiku.
I guess you’re right, I should listen to someone with real experience.	Asi máš pravdu, měl bych poslouchat někoho se skutečnou zkušeností.
I believe you. Do you still have these pants?	Věřím ti. Máš ty kalhoty ještě?
I expected so. Can’t imagine there’s gambitos in Karvenia.	To jsem čekal. Neumím si představit gambita v Karvenii.
I don’t care. Now, where’s my reward?	Je mi to jedno. Tak kde je má odměna?
I can’t wait to let you know my size.	Nemůžu se dočkat, až ti řeknu svou velikost.

# --- repliky NPC: odbytí ---
Get in.	Nastup.
Get moving. I’m not here to make conversation.	Hni sebou. Nejsem tu na řeči.
Get out before I throw a sulfur phial in your face, you primitive.	Vypadni, než ti hodím do obličeje lahvičku síry, ty primitive.
Get out of my face now! This is none of your business!	Okamžitě mi zmiz z očí! Do toho ti nic není!
Get out of my sight.	Zmiz mi z očí.
Gods damn you…	Ať tě bohové zatratí…
GUARDS!	STRÁŽE!
Guards! Kill him!	Stráže! Zabijte ho!
Boys get him.	Chlapi, na něj.
Feeding the pigs while the people starve, are you?	Krmíš prasata, zatímco lidé hladoví, co?
Give me that letter now.	Dej mi ten dopis. Hned.
Hey, stop playing with my head, are we gonna duel or not?	Hej, přestaň si se mnou zahrávat, utkáme se, nebo ne?

# --- repliky NPC: přátelské ---
Farewell then, and stay out of trouble.	Tak sbohem a drž se dál od potíží.
Fine wares at fair prices, that's what I offer. Care to take a look?	Dobré zboží za poctivé ceny, to nabízím. Nechceš se podívat?
Fortune is favoring you.	Štěstí ti přeje.
Glad to be of service.	Rád posloužím.
Good luck.	Hodně štěstí.
Good job rookie.	Dobrá práce, nováčku.
Good job, here's your reward.	Dobrá práce, tady máš odměnu.
Good, good, give me that.	Dobře, dobře, dej mi to.
Good sir, have you reconsidered? Can you help me with this issue?	Dobrý pane, rozmyslel jsi to? Pomůžeš mi s tím?
Got it, got it, let’s say I believe you.	Dobrá, dobrá, řekněme, že ti věřím.
Great, and here’s your pay, wish me good luck.	Skvělé, tady máš plat, popřej mi štěstí.
Great, go there and speak to her.	Skvělé, běž tam a promluv s ní.
Great, just follow us. We’re gonna have a great time, believe me.	Skvělé, jen nás následuj. Užijeme si to, věř mi.
Greeting, stranger.	Zdravím, cizinče.
Greetings stranger, do we know each other?	Zdravím, cizinče, známe se?
Greetings! You’re the one that Darek told me about?	Zdravím! Ty jsi ten, o kom mi říkal Darek?
Greetings. Have you found those crates?	Zdravím. Našel jsi ty bedny?
Hello, we haven’t met before have we?	Zdravím, my se ještě neznáme, že?
Here they are. Best of luck!	Tady jsou. Hodně štěstí!
Here, take this as a reward!	Tady, vezmi si to jako odměnu!
Here, there’s your list. Have a nice day.	Tady máš svůj seznam. Hezký den.
Here, this is Isa’s house. Good luck, friend.	Tady, to je Isin dům. Hodně štěstí, příteli.
Here is the payment for your contribution. We’ll keep in touch I am sure.	Tady je platba za tvůj příspěvek. Určitě zůstaneme v kontaktu.
Give me a moment, I will go get the beer.	Dej mi chvíli, dojdu pro pivo.
Go to Jeffrey Klok and get the special feed. Tell him that I sent you.	Jdi za Jeffreym Klokem pro to zvláštní krmivo. Řekni mu, že tě posílám já.
Hey you, fledgling. I have a job for you.	Hej ty, zelenáči. Mám pro tebe práci.
Hey, buddy! I could use your expertise.	Hej, kamaráde! Hodily by se mi tvé znalosti.
Hey, I have another job for you, are you interested?	Hej, mám pro tebe další práci, máš zájem?
Hey, you, the job for someone skilled in combat is still on the table.	Hej ty, ta práce pro někoho zdatného v boji je pořád ve hře.
Hey, you. You look like a person who can help me.	Hej ty. Vypadáš jako někdo, kdo mi může pomoct.
Ha! A true professional, I’m gonna put this on the shelf over my bed.	Ha! Skutečný profesionál, tohle si dám na polici nad postel.
Ha! I hope you learnt your lesson! Now pay up and get out of here.	Ha! Doufám, že ses poučil! Teď zaplať a zmiz.
Ha! Well then, welcome to the Halmayans! You’ve passed our Gambito Trial!	Ha! Tak vítej mezi Halmayany! Prošel jsi naší gambitovou zkouškou!
Hah… I wonder who you robbed for these. But I’m impressed. Thank you.	Chá… kdopak kvůli tomu přišel o svoje. Ale jsem ohromen. Děkuji.
Hmph. Better than expected.	Hm. Lepší, než jsem čekal.
Hmmm.	Hmmm.
How can I help you then?	Tak jak ti můžu pomoct?
How can I help?	Jak můžu pomoct?
Finally we will have some peace!	Konečně budeme mít klid!
How interesting. Guess we’ll have to pay them a visit.	Zajímavé. Asi je budeme muset navštívit.

# --- příběhové ---
Family…	Rodina…
Hero…	Hrdina…
Here? Now?	Tady? Teď?
How stupid I am. . .	Jak jsem hloupý…
Fate has crossed our path again. Are you ready to clash our steel again?	Osud nám znovu zkřížil cesty. Jsi připraven zas střetnout ocel?
Fishing boats let them slip away unseen.	Rybářské čluny je nechají proklouznout nepozorovaně.
Folks are going blind. Screaming in their sleep.	Lidé slepnou. Křičí ze spaní.
Fresh fruits and vegetables from their harvest.	Čerstvé ovoce a zelenina z jejich sklizně.
Gareth, the merchant, has been asking questions. I’m only the messenger.	Kupec Gareth se vyptával. Já jsem jen posel.
Gavin’s deep-sea fish are rare and luxurious.	Gavinovy hlubinné ryby jsou vzácné a přepychové.
Gavin’s fish have a rich flavor that is rare.	Gavinovy ryby mají bohatou chuť, jaká je vzácná.
Gold coins, hoping to bribe him with wealth.	Zlaté mince v naději, že ho podplatí bohatstvím.
Gold’s gold. Doesn’t really make a difference when I’m spending it.	Zlato je zlato. Když ho utrácím, je mi to jedno.
Gods no, I threw it out. I’m no alchemist.	Bohové, ne, vyhodil jsem to. Nejsem alchymista.
Gods, I would try something stronger, beer here is watered like piss.	Bohové, dal bych si něco ostřejšího, pivo je tu zředěné jak chcanky.
He is condemned to be drowned again for all eternity.	Je odsouzen znovu se topit po celou věčnost.
He was reborn as a fish to swim in the seas forever.	Znovu se zrodil jako ryba, aby navěky plul mořem.
He's a little shaken up from the night you two spent together.	Je trochu otřesený z té noci, co jste spolu strávili.
He’s asking for your ring as proof. Give it to me. It’ll hold him off.	Žádá tvůj prsten jako důkaz. Dej mi ho. Zdrží ho to.
Heard you’ve had a lucky streak lately. Celebrating at the tavern?	Prý se ti poslední dobou daří. Slavíš v hospodě?
Her perfume lingers in the air, The chair still warm where none sits there.	Vůně v povětří dosud dlí, židle je teplá, ač nikdo na ní.
Hmm. So others are asking about it too. Good.	Hm. Takže se na to ptají i jiní. Dobře.
How did your little trip around the taverns go? Do you have the list?	Jak dopadl tvůj výlet po hospodách? Máš ten seznam?
I always say, give her whatever you can and pray it’s enough to soothe her.	Vždycky říkám: dej jí, co můžeš, a modli se, ať to stačí.
