# Quests/SideQuests - delsi texty, 30. davka
Good. Believe it or not, I’m actually relieved to hear you say that, given your reputation.	Dobře. Věř nevěř, vzhledem k tvé pověsti se mi ulevilo, když to slyším.
Good. You’ll find it deep in the swamp, where the ground turns black and the air stinks of rot. Stay sharp—it’s not just the tusks you should worry about.	Dobře. Najdeš to hluboko v bažině, kde země černá a vzduch páchne hnilobou. Měj se na pozoru - starosti ti nemají dělat jen ty kly.
Grand, should I have everything I need. Speak to me tomorrow, I should be done by then.	Znamenité, měl bych mít vše, co potřebuji. Ozvi se zítra, to už bych měl být hotov.
Great! Please bring me roasted mushrooms, herbs, berries and boar tusk! Beware of the boars - they’re formidable fighters.	Skvěle! Přines mi prosím pečené houby, byliny, bobule a kančí kel! Dej si na kance pozor - jsou to hrozivá zvířata.
Great, now listen real close to what I need you to do because this needs to go well.	Skvěle, a teď dobře poslouchej, co potřebuji, aby ses udělal, protože tohle musí vyjít.
Great, please take this list for the herbalist, and don’t forget about the stew. I promise you will be paid handsomely.	Skvěle, vezmi si prosím tenhle seznam pro bylinkáře a nezapomeň na ten guláš. Slibuji, že budeš štědře odměněn.
Greetings, traveler. The books in my store are essential tools for personal growth, enlightenment, and self-discovery. Browse at your leisure.	Zdravím tě, pocestný. Knihy v mém krámě jsou nezbytné nástroje k osobnímu růstu, osvícení a poznání sebe sama. Prohlédni si je v klidu.
Guess I'm dealing with a real crisis here. I'll add it to my list of daring adventures.	Zdá se, že tu řeším opravdovou pohromu. Přidám si to na seznam odvážných dobrodružství.
Guilt? Damn right, she should feel guilty. What she did… It was monstrous. I can’t look at her without seeing the darkness inside her.	Vina? Zatraceně, ano, měla by se cítit vinná. To, co udělala… bylo obludné. Nemohu se na ni podívat, aniž bych v ní viděl temnotu.
Ha! Not bad! For a first catch, you might not be hopeless. Listen, if you have time and practice a little more you can try yourself in a Fishing Tournament.	Ha! Není to špatné! Na první úlovek možná nejsi beznadějný. Poslyš, jestli máš čas a ještě trochu potrénuješ, můžeš se zkusit v rybářském klání.
Ha! Not quite. Stealth may not be an option, but I’ll make sure we’re not easy targets.	Ha! Ne tak docela. Nenápadnost možná nepřipadá v úvahu, ale postarám se, abychom nebyli snadným terčem.
Ha! Your tongue is as sharp as a knife. Just see that you don't cut yourself with it. The hermit's a bit of an oddball, but he knows his potions.	Ha! Máš jazyk ostrý jako nůž. Jen dej pozor, ať se o něj neřízneš. Ten poustevník je trochu podivín, ale lektvarům rozumí.
Hah! Fair enough. My name is Garrik, I’m one of the best hunters around these parts… You see? Now we know each other.	Ha! Budiž. Jmenuji se Garrik, jsem jeden z nejlepších lovců v těchhle končinách… Vidíš? Už se známe.
