Weaver	Tkadlec
Reinforced Log	Zesílené poleno
Spices	Koření
Spiked Mace	Ostnatý palcát
Weak Robber's Garb	Chatrný lupičský šat
Trophy	Trofej
Well	Studna
Weird Note	Podivný lístek
Trust	Důvěra
Traveler's Garb	Poutnický šat
Weapon Rack	Stojan na zbraně
Wheat Fields	Pšeničná pole
Weaponsmith	Zbrojíř
Text	Text
Special Delivery	Zvláštní zásilka
Wheat Taxes	Daň z pšenice
Tempered Iron	Kalené železo
Weird Altar	Podivný oltář
White Townsfolk Robe	Bílá měšťanská róba
Sow Carcass	Mršina bachyně
Weapons	Zbraně
Spear	Kopí
Reinforced Waraxe	Zesílená válečná sekera
Low	Nízká
Regeneration	Obnova
Weaver Trousers	Tkalcovské kalhoty
Papa	Táta
Weaver Hut	Tkalcovská chýše
Crossroad Tavern	Krčma Na křižovatce
White Pearl	Bílá perla
Sow	Bachyně
Weapons Hoard	Sklad zbraní
Weapon Speed	Rychlost zbraně
Trough Tactics	Taktika u koryta
Weapon Length	Délka zbraně
Spotted Gluttonfish	Skvrnitý žrout
Spiced Meat Roast	Kořeněná pečeně
Tent Parts	Díly stanu
Weaver Table	Tkalcovský stůl
Trustworthy	Důvěryhodný
Special Glue	Zvláštní klih
Reinforced Club	Zesílený kyj
Spiced Vegetable Soup	Kořeněná zeleninová polévka
Treasure Guard	Strážce pokladu
Weather	Počasí
Weaver Loom	Tkalcovský stav
Second Belt Slot	Druhá pozice na opasku
Whisterfield Spy Report	Zpráva zvěda z Whisterfieldu
Reinforced Long Gambeson	Zesílený dlouhý prošívaný kabátec
Weskeras's Statue	Weskerasova socha
Weave	Tkát
Remains	Pozůstatky
Traveler's Hood	Poutnická kapuce
Reinforced Trousers	Zesílené kalhoty
Weaver Memorial	Tkalcův pomník
White Townsfolk Shirt	Bílá měšťanská košile
Weaver Hut Loom	Stav tkalcovské chýše
Spear Piercing	Průbojnost kopí
Split	Rozdělit
Traveler's Trousers	Poutnické kalhoty
Weakness	Slabost
Turn	Otočit
Move	Přesunout
Relocate	Přemístit
WEAPONS	ZBRANĚ
Weight	Váha
Wheat	Pšenice
Reinforced Kneepads	Zesílené nákoleníky
Speckled Spotfin Trophy	Trofej – tečkovaný skvrnoploutvec
Remove	Odebrat
Reinforced Short Gambeson	Zesílený krátký prošívaný kabátec
Wetness	Vlhkost
Speckled Spotfin	Tečkovaný skvrnoploutvec
Equip	Vybavit
Second Quick Slot	Druhá rychlá pozice
Weaver Shirt	Tkalcovská košile
Reinforced Leather Shoes	Zesílené kožené střevíce
When	Kdy
Reinforced Tunic	Zesílená tunika
Tree	Strom
Locked	Zamčeno
Wheeze	Sípání
Spiced Meat Stew	Kořeněný masový guláš
Reinforced High Boots	Zesílené vysoké boty
Reinforced Chainmail	Zesílená kroužková zbroj
Rustshore Tavern	Krčma v Rustshore
Spoiled Food	Zkažené jídlo
Tent	Stan
The Sorwynn's Cup	U Sorwynnovy číše
Seavunda Shrine	Svatyně Seavundy
Tree Seeds	Semena stromů
Weakened	Zesláblý
Spiced Onion Soup	Kořeněná cibulačka
Tree Sapling	Sazenice stromu
Reload	Znovu nabít
Lobby	Předsíň
Spiced Meat Pie	Kořeněný masový koláč
Traveler’s Faded Mantle	Poutníkův vybledlý plášť
Seavunda Cave Painting	Jeskynní malba Seavundy
Weak Robber's Hood	Chatrná lupičská kapuce
DESIGN	DESIGN
Spiced Rustic Soup	Kořeněná selská polévka
Specify Amount	Zadej množství
Traveler's Shoes	Poutnické střevíce
SPECIAL THANKS	ZVLÁŠTNÍ PODĚKOVÁNÍ
Remove Icon	Odebrat ikonu
High	Vysoká
Trebuchet	Trebuchet
Trip Safety	Bezpečnost cesty
Weakling	Slaboch
Secret Message	Tajná zpráva
COMMUNITY MANAGEMENT & MARKETING 	SPRÁVA KOMUNITY A MARKETING
