# Obsah hry, dávka 09 (F) - originál <TAB> překlad

# --- repliky ---
Farewell.	Buď sbohem.
Follow me.	Pojď za mnou.
Forget I asked.	Zapomeň, že jsem se ptal.
Frankly, that shouldn’t concern you.	Upřímně, do toho ti nic není.
Fine by me, I have something else to do.	Mně to nevadí, mám jinou práci.
Fine work, if I say so myself. Here are the coins for you.	Dobrá práce, když to musím říct sám. Tady máš mince.
Fine, here’s the payment. {cost} coins.	Dobrá, tady je platba. {cost} mincí.
Fine, I’ll leave.	Dobře, odejdu.
Finally, we're doing something about the state of Karvenia	Konečně s tím, jak to v Karvenii vypadá, něco děláme

# --- hledací úkoly ---
Find	Najít
Find a letter	Najdi dopis
Find a way out	Najdi cestu ven
Find a way into the chamber	Najdi cestu do komnaty
Find a way to open the hidden entrance	Najdi způsob, jak otevřít tajný vchod
Find a hidden entrance to prison with Darek and Eryk.	Najdi s Darkem a Erykem tajný vchod do vězení.
Find a smuggler camp Zakar told you about.	Najdi pašerácký tábor, o kterém mluvil Zakar.
Find Alchemist’s Lair	Najdi alchymistovo doupě
Find allies among the local factions	Najdi spojence mezi místními frakcemi
Find Bastard's hideout in the woods.	Najdi Parchantovu skrýš v lesích.
Find Cecilio in the tavern in Rustshore	Najdi Cecilia v hospodě v Rustshore
Find Cecilio’s box	Najdi Ceciliovu bednu
Find Dain Valde in Harthbay	Najdi Daina Valdea v Harthbay
Find Dain Valde in Harthbay.	Najdi Daina Valdea v Harthbay.
Find Darek near Redhold	Najdi Darka poblíž Redholdu
Find documents	Najdi listiny
Find Falsgar prison	Najdi vězení Falsgaru
Find Garrick's forge somewhere in Cragkeep	Najdi Garrickovu kovárnu někde v Cragkeepu
Find hidden stash Ravio Sarran was talking about.	Najdi tajnou skrýš, o které mluvil Ravio Sarran.
Find Killer's House.	Najdi vrahův dům.
Find Missing Merchant Cart.	Najdi ztracený kupcův povoz.
Find Ocean Fishing Master	Najdi mistra mořského rybolovu
Find River Fishing Master	Najdi mistra říčního rybolovu
Find Swamp Fishing Master	Najdi mistra bažinného rybolovu
Find out what secrets ancient shrines may hold.	Zjisti, jaká tajemství dávné svatyně skrývají.
Find out what secrets the island shrines may hold.	Zjisti, jaká tajemství skrývají svatyně na ostrově.
Find shipment	Najdi zásilku
Find shipment.	Najdi zásilku.
Find the Shipment	Najdi zásilku
Find the "pregnant woman"	Najdi „těhotnou ženu“
Find the “pregnant woman”.	Najdi „těhotnou ženu“.
Find the bandits who kidnapped the carpenter's daughter.	Najdi lapky, kteří unesli tesařovu dceru.
Find the Barrel with the payment.	Najdi sud s platbou.
Find the betrayer's ship.	Najdi zrádcovu loď.
Find the Cave	Najdi jeskyni
Find the evidence	Najdi důkazy
Find the girl’s tent	Najdi dívčin stan
Find the grain shipment on the ship.	Najdi na lodi zásilku obilí.
Find the Herbalist	Najdi bylinkáře
Find the hidden switch	Najdi skrytou páku
Find the Husband	Najdi manžela
Find the Knight's friend	Najdi rytířova přítele
Find the lost sword	Najdi ztracený meč
Find the Merchant	Najdi kupce
Find the missing man	Najdi pohřešovaného muže
Find the missing villagers.	Najdi pohřešované vesničany.
Find the mysterious soldier	Najdi záhadného vojáka
Find the new stockpile Miller was talking about	Najdi novou skládku, o které mluvil mlynář
Find the researcher	Najdi badatele
Find the Smuggler's camp	Najdi pašerácký tábor
Find the strange rock	Najdi tu podivnou skálu
Find the treasure with rod that Fisherman mentioned.	Najdi poklad s prutem, o kterém mluvil rybář.
Find the Wheat Field	Najdi pšeničné pole
Find the Wind God Shrine.	Najdi svatyni boha větru.
Find the wine crates	Najdi bedny s vínem
Find the wolves	Najdi vlky
Find tools that {QuestGiver} lost.	Najdi nástroje, které {QuestGiver} ztratil.
Find where Cassandra is hiding	Zjisti, kde se Cassandra skrývá
Follow the trail of feathers	Sleduj stopu z peří
Finish building {Structure} to have a place to sleep.	Dostav {Structure}, abys měl kde spát.
Free and talk to {Npc}	Osvoboď {Npc} a promluv s ním
Free Haerndean from the occupants.	Osvoboď Haerndean od okupantů.
Free Padstow from the occupants.	Osvoboď Padstow od okupantů.
Free the Mayor	Osvoboď starostu
Free village from occupants.	Osvoboď ves od okupantů.

# --- názvy úkolů ---
Far From Home	Daleko od domova
Farm & Hoe	Hospodářství a motyka
Father's Issues	Otcovy potíže
Father's Issues quest item.	Předmět k úkolu Otcovy potíže.
Feed the Masses	Nasyť zástupy
Fishing Tournament	Rybářské závody
Fishing Tournament - Final	Rybářské závody – finále
Fishing Tournament - Master of Swamps	Rybářské závody – mistr bažin
Fishing Tournament - Master of the Ocean	Rybářské závody – mistr oceánu
Fishing Tournament - Master of the Rivers	Rybářské závody – mistr řek
