A good plan. We'll train and equip them well.	Dobrý plán. Dobře je vycvičíme a vyzbrojíme.
A word of caution, though. The flames you've stoked may attract unwanted attention to your own lands. The brigands, scorned and furious, might divert their reclamation parties and launch raids upon your settlement.	Ale jedno varování. Plameny, které jsi rozdmýchal, mohou přitáhnout nežádoucí pozornost k tvým vlastním zemím. Brigands, pokoření a rozzuření, mohou své trestné výpravy obrátit a zaútočit na tvou osadu.
After all these years… We are finally free. I feel so ashamed about our deal with Ashbourne. Thank you, protector, we have to do our best to regain our honor in the Lowlands.	Po všech těch letech… Jsme konečně svobodní. Tak se stydím za naši dohodu s Ashbournem. Děkuji, ochránce, musíme udělat vše, abychom v Nížinách získali zpět svou čest.
And even the air tastes sweeter… but still we need to be careful. The brigands will not forget. They will yearn to reclaim what was stripped from them.	I vzduch chutná sladčeji… ale přesto musíme být opatrní. Brigands nezapomenou. Budou toužit získat zpět, co jim bylo odňato.
Are you a warrior or chicken?	Jsi válečník, nebo slepice?
Are you ready for this fight too?	Jsi připraven i na tenhle boj?
Are you ready to be our Protector? It’s finally time to break the chains of the crown.	Jsi připraven stát se naším Ochráncem? Konečně je čas zlomit řetězy koruny.
Are you ready to lead us once again?	Jsi připraven nás znovu vést?
As you know, the first step is building a tall, sturdy Belltower. This will be our signal to begin the rebellion. Remember, once the bell tolls, the stationed garrison will turn hostile and become our enemy.	Jak víš, prvním krokem je postavit vysokou, pevnou zvonici. Bude naším znamením k zahájení povstání. Pamatuj, jakmile zvon zazní, zdejší posádka se obrátí proti nám a stane se naším nepřítelem.
Before we can begin, we need to construct a tall, sturdy Belltower. This will be essential for signaling the start of the rebellion. Be aware that once the bell tolls, the stationed garrison will become hostile and turn into our enemy.	Než začneme, musíme postavit vysokou, pevnou zvonici. Bude nezbytná k ohlášení začátku povstání. Věz, že jakmile zvon zazní, zdejší posádka se obrátí proti nám a stane se naším nepřítelem.
But now you know what they are capable of, all weaknesses in their defenses and how to make the rebellion successful. Will you help us?	Ale teď víš, čeho jsou schopni, znáš všechny slabiny jejich obrany a víš, jak dovést povstání k úspěchu. Pomůžeš nám?
Do you want to spark the rebellion once again, friend? Bradford’s people are not going to surrender their will to be free so easily.	Chceš znovu zažehnout povstání, příteli? Lid Bradfordu se své touhy po svobodě tak snadno nevzdá.
Failure is not a reason to give up completely. We need to rebuild and try one more time. Let our mistakes be a lesson to us while we will fight our oppressors.	Neúspěch není důvod to úplně vzdát. Musíme znovu vybudovat, co padlo, a zkusit to ještě jednou. Ať jsou nám naše chyby poučením v boji s utlačovateli.
Friend, this minor setback will not quench our thirst for freedom. Don’t worry, the losses will not be in vain. Villagers want to avenge the fallen.	Příteli, tenhle malý nezdar naši žízeň po svobodě neuhasí. Neboj se, ztráty nebudou marné. Vesničané chtějí pomstít padlé.
