# Dialogy osvobozování vsí - originál <TAB> překlad
#
# Klíčové příběhové momenty. Tón je vzdorný a slavnostní, ale ne pateticky
# knižní - vesničané mluví jako lidé, kterým jde o krk, ne jako řečníci.

# --- výzva k povstání ---
Are you with us?	Jsi s námi?
Are you with us? Do you want to spark the rebellion once again?	Jsi s námi? Chceš znovu rozdmýchat povstání?
Are you ready to lead? We won’t be held by Ashbourne’s chains any longer, friend.	Jsi připraven vést? Ashbournovy okovy už dál nesneseme, příteli.
Are you ready to lead us once again? You will have to rebuild everything and be prepared for an even more complicated fight.	Jsi připraven nás znovu vést? Budeš muset vše postavit od začátku a připravit se na ještě těžší boj.
Did you prepare yourself? People don’t want to wait any longer.	Připravil ses? Lidé už nechtějí déle čekat.
We are ready to be led by your example. Are you prepared?	Jsme připraveni jít za tvým příkladem. Jsi připraven ty?
The people of Haerndean look to you now, to be our beacon in this fight for freedom. What say you?	Lid Haerndeanu teď hledí na tebe, buď nám majákem v boji za svobodu. Co ty na to?
The people of Haerndean will march with you and accept you as our protector. What would you say?	Lid Haerndeanu půjde s tebou a přijme tě za svého ochránce. Co ty na to?
What's your next step? Will you lead this rebelion?	Jaký bude tvůj další krok? Povedeš tohle povstání?
Will you lead us? Or are you one of those people who waits for someone to do everything for them and just stay in the shadows?	Povedeš nás? Nebo jsi jeden z těch, co čekají, až za ně všechno udělá někdo jiný, a zůstávají ve stínu?
It is time to take matters into our hands.	Je čas vzít věci do vlastních rukou.
It's about time, my friend.	Nejvyšší čas, příteli.
Can our hunt begin? I don’t know how long I’m able to keep my hunters in check.	Může začít náš lov? Nevím, jak dlouho ještě své lovce udržím na uzdě.
Can we begin the liberation friend? We want to fix the mistakes of our ways.	Můžeme začít s osvobozováním, příteli? Chceme napravit své chyby.
Please help us get rid of these chains and liberate Farnworth, we will stand with you.	Prosím, pomoz nám setřást okovy a osvobodit Farnworth, budeme stát při tobě.
Friend, you showed us the mistakes of our ways, we shouldn’t make deals with the Lord. We want to apologize.	Příteli, ukázal jsi nám naše chyby, s lordem jsme neměli smlouvat. Chceme se omluvit.

# --- hráč přijímá vedení ---
I will lead this rebellion.	Povedu tohle povstání.
I remember our past attempt. We won't fail this time. I will lead this rebellion.	Pamatuju si náš minulý pokus. Tentokrát neselžeme. Povedu tohle povstání.
I remember our past attempt. We'll not falter this time. I stand ready to lead this rebellion.	Pamatuju si náš minulý pokus. Tentokrát nezaváháme. Jsem připraven vést tohle povstání.
Gladly, let’s get rid of the Brigands and make this village free.	S radostí, zbavme se lupičů a udělejme z téhle vsi svobodnou.
My sword is yours, I will help you regain your freedom.	Můj meč je tvůj, pomůžu ti získat svobodu zpět.
I will do what needs to be done, let’s not give the enemy time to prepare.	Udělám, co je třeba, nedávejme nepříteli čas na přípravu.
I will do my best.	Udělám, co bude v mých silách.
I will do my best to further protect Bradford.	Udělám, co bude v mých silách, abych Bradford dál chránil.
I will help you as best I can, all the Lowlands shall be free.	Pomůžu ti, jak jen budu moct, celé Nížiny budou svobodné.
I'm ready to offer my support.	Jsem připraven nabídnout svou podporu.
I’m ready to help you.	Jsem připraven ti pomoct.
I’m ready as ever, my friend.	Připravenější už nebudu, příteli.
I’m ready to fight for Horndean. We need to finally become united.	Jsem připraven bojovat za Horndean. Konečně se musíme sjednotit.
Of course, we can’t surrender. Crasmere must be free.	Samozřejmě, vzdát se nemůžeme. Crasmere musí být svobodné.
Let's get to work, then.	Tak se dejme do práce.
I will get to work on it immediately.	Pustím se do toho okamžitě.
