100 Coins. I don’t care where the money comes from, but I’m not returning empty-handed.	100 mincí. Je mi jedno, odkud peníze jsou, ale s prázdnýma rukama se nevrátím.
100 coins? That's daylight robbery! The miller's in a bind, and you're exploiting the situation!	100 mincí? To je loupež za bílého dne! Mlynář je v úzkých a ty toho využíváš!
100 coins? That’s quite a steep price. Are you sure the pig is worth that much?	100 mincí? To je pěkně přepálená cena. Jsi si jistý, že to prase tolik stojí?
50 coins a month base pay. Of course I’ll also need a room and three square meals a day.	50 mincí měsíčně základ. Samozřejmě budu potřebovat i pokoj a tři pořádná jídla denně.
50 coins, for a pig like that and a child handling negotiations is too much. 25 coins is the fair price.	50 mincí za takové prase, a když vyjednává dítě, je příliš. 25 mincí je poctivá cena.
50 coins? Ha! You’re not much of a negotiator, are you? I was expecting you to ask for more.	50 mincí? Ha! Moc dobrý vyjednavač nejsi, co? Čekal jsem, že budeš chtít víc.
75 coins? That pig is worth every bit of 100 coins. I’m not budging.	75 mincí? To prase stojí každou minci ze 100. Neustoupím.
75 coins? That’s still a bit high for my taste. What makes this pig so special?	75 mincí? To je na můj vkus pořád trochu moc. Čím je to prase tak zvláštní?
A bag full of axe heads that should be made without the need to vipe out the entire bandit camp.	Pytel plný seker, které se měly vyrobit, aniž by bylo nutné vyhladit celý tábor banditů.
A better version of the simple pickaxe used for mining ores and stones. Can also be used as weapon.	Lepší verze prostého krumpáče k těžbě rud a kamene. Lze použít i jako zbraň.
A brioche in the shape of a fish, it should get me inside Mancebo’s mansion.	Brioška ve tvaru ryby, měla by mě dostat do Mancebova sídla.
A bunch of lads that hate the Brigands and Bandits even more than me.	Parta chlapů, kteří nenávidí Brigands a bandity ještě víc než já.
A central stand where villagers gather to refresh, fostering community bonds and increasing trust.	Ústřední stánek, kde se vesničané schází k občerstvení, upevňuje pouta v obci a zvyšuje důvěru.
A cloak made of animal fur. Too warm for most to wear during summer.	Plášť ze zvířecí srsti. Pro většinu lidí příliš teplý na léto.
A colored material that is completely or nearly insoluble in water.	Barevná látka, která je ve vodě zcela nebo téměř nerozpustná.
A common herb that can be used to add flavor to dishes or to treat various ailments.	Běžná bylina, kterou lze použít k dochucení jídel nebo k léčbě různých neduhů.
A common herb that can be used to add flavor to dishes or treat various ailments.	Běžná bylina, kterou lze použít k dochucení jídel nebo k léčbě různých neduhů.
A common herb that can be used to add flavor to dishes. Grows mostly in fields. Can be planted on a farm.	Běžná bylina, kterou lze použít k dochucení jídel. Roste hlavně na polích. Lze pěstovat na farmě.
A common type of igneous rock. Can be mined from certain rocks. Can be found in the Southern parts of Karvenia.	Běžný druh vyvřelé horniny. Lze těžit z určitých skal. Nachází se v jižních částech Karvenie.
A communal place for laundry, encouraging cleanliness and reinforcing trust within the community.	Společné místo na prádlo, podporuje čistotu a upevňuje důvěru v obci.
A cozy building that can house up to 7 settlers and significantly affect their morale.	Útulná budova, která pojme až 7 osadníků a výrazně ovlivňuje jejich morálku.
A day has passed, I should check on the farmer and see how the potion reacted.	Uplynul den, měl bych se podívat za sedlákem, jak lektvar zapůsobil.
A dedicated space to store books and provide a place for villagers to study and improve their skills.	Vyhrazený prostor k uložení knih a místo, kde se vesničané mohou učit a zlepšovat své dovednosti.
A designated area for splitting wood, supporting self-reliance and boosting trust.	Vyhrazené místo na štípání dřeva, podporuje soběstačnost a zvyšuje důvěru.
A drying rack for herbs, supporting remedy preparation and increasing trust through shared well-being.	Sušák na byliny, podporuje přípravu léků a zvyšuje důvěru skrze společné blaho.
A durable blend of flax and cotton fibers. Crafted by skilled artisans.	Odolná směs lněných a bavlněných vláken. Vyrábějí ji zkušení řemeslníci.
A farmer in Padstow needs help with a cow bitten by wolves. He thinks you can whip up a cure. Got a bit of a problem.	Sedlák v Padstow potřebuje pomoc s krávou pokousanou od vlků. Myslí si, že dokážeš smíchat lék. Má menší potíž.
A fresh cut of fish meat, perfect for cooking or smoking. Can be obtained by butchering a fish at a designated workstation.	Čerstvý kus rybího masa, ideální na vaření či uzení. Získáš ho porcováním ryby na určeném pracovišti.
A fully fiber that can be woven into fabric. Raw cotton can be harvested wild in the Highlands.	Nadýchané vlákno, které lze utkat v látku. Surovou bavlnu lze sbírat divoce rostoucí na Vysočině.
A growing tree, ready to be planted in a forest by your worker.	Rostoucí strom, připravený k zasazení v lese tvým pracovníkem.
A hard and durable metal. Used to make improved tools and weapons. Smelted from Iron Ore in the Furnace.	Tvrdý a odolný kov. Používá se na lepší nástroje a zbraně. Taví se ze železné rudy v peci.
A hidden switch to trigger the door. This is truly ingenious.	Skrytý spínač, který otevírá dveře. To je opravdu důmyslné.
A large metal key that fits into the door of the Viceroy's chambers.	Velký kovový klíč, který pasuje do dveří místokrálových komnat.
A letter in an incomprehensible language, given to you by Paul Fishburn	Dopis v nesrozumitelném jazyce, který ti dal Paul Fishburn
A letter with a single sentence found at a forge in Cragkeep. It mentions the Salt Eye.	Dopis s jedinou větou nalezený v kovárně v Cragkeepu. Zmiňuje Solné oko.
A lively spot where villagers gather to play cards and games, fostering friendships and building trust.	Živé místo, kde se vesničané schází ke karetním a jiným hrám, upevňuje přátelství a buduje důvěru.
A more durable type of wood used in crafting and building. Requires better axe to harvest.	Odolnější druh dřeva používaný při výrobě a stavbě. K těžbě vyžaduje lepší sekeru.
A natural protein fiber, some forms of which can be woven into textiles.	Přírodní bílkovinné vlákno, jehož některé formy lze utkat v textilie.
A nutritious staple crop with versatile culinary uses, providing sustenance and filling bellies. Can be grown on a farm.	Výživná základní plodina s všestranným kuchařským využitím, poskytuje obživu a plní břicha. Lze pěstovat na farmě.
A payment from a mysterious trader. I am sure this gold was acquired in a perfectly legal way.	Platba od záhadného obchodníka. Jistě bylo toto zlato získáno naprosto zákonným způsobem.
A piece of an animal's coat. Can be skinned from a wolf, rabbit or pig.	Kus zvířecí srsti. Lze stáhnout z vlka, králíka nebo prasete.
A place where you can get rid of items that aren't needed anymore.	Místo, kde se můžeš zbavit předmětů, které už nepotřebuješ.
A proof of killed Cassian. Halmayans will gladly exchange it for something valuable.	Důkaz o zabitém Cassianovi. Halmayané ho rádi vymění za něco cenného.
A proof of killed Halmayan. Cassian will gladly exchange it for something valuable.	Důkaz o zabitém Halmayanovi. Cassiané ho rádi vymění za něco cenného.
A rare and precious gem of the sea, highly sought after by traders for its beauty and rarity.	Vzácný a drahocenný klenot moře, obchodníky vyhledávaný pro svou krásu a vzácnost.
A rare and valuable mineral found deep within the earth, nickle ore holds the promise of enhanced durability and resilience.	Vzácný a cenný nerost nacházející se hluboko v zemi. Niklová ruda slibuje větší odolnost a pevnost.
A rare barrel of exquisite rum, known to be the Queen’s favorite. People on Karvenia might be interested in buying it.	Vzácný sud vybraného rumu, prý královnina oblíbeného. Lidé v Karvenii by ho mohli chtít koupit.
A secret spice used by shamans from the North to invoke the spiritual world.	Tajné koření, které šamani ze Severu používají k vyvolání duchovního světa.
A shared space for sorting and displaying food, promoting abundance and building trust among villagers.	Společný prostor k třídění a vystavení jídla, podporuje hojnost a buduje důvěru mezi vesničany.
A simple bag of milled grain is very valuable in these hard times of food shortages.	Prostý pytel mletého zrní je v těchto těžkých časech nedostatku jídla velmi cenný.
A simple dice game setup where players can roll dice on a wooden barrel.	Prostá sestava na hru v kostky, hráči házejí kostkami na dřevěném sudu.
A single-stranded rope used in simple applications. Refined by a Weaver.	Jednopramenné lano pro prosté použití. Vyrábí ho tkadlec.
A small crate filled with bottles. The seal suggests it belong to Sol Winery.	Malá bedna plná lahví. Pečeť napovídá, že patří Sol Winery.
A small primitive source of heat for cooking basic foods. Requires wood to maintain the fire.	Malý primitivní zdroj tepla na vaření základních jídel. K udržení ohně vyžaduje dřevo.
A small workshop where you can craft decorative items to make your village cozy and inviting.	Malá dílna, kde můžeš vyrábět ozdobné předměty, aby byla tvá vesnice útulná a přívětivá.
A soft material gathered from sheep. Used in the production of clothing and various textile goods.	Měkký materiál získávaný z ovcí. Používá se při výrobě oděvů a různého textilního zboží.
A space to grow various plants with the help of a hoe, water and fertilizer.	Prostor k pěstování různých rostlin s pomocí motyky, vody a hnojiva.
A sturdy, wooden structure designed for early-warning and defense.	Pevná dřevěná stavba určená k včasnému varování a obraně.
A Thorough and Incomplete History of the Halmare Isles, volume 1	Důkladné a neúplné dějiny Halmarských ostrovů, díl 1
A Thorough and Incomplete History of the Halmare Isles, volume 2	Důkladné a neúplné dějiny Halmarských ostrovů, díl 2
A tool resembling a spade with a broad blade. Used for moving earth and other materials.	Nástroj podobný rýči se širokou čepelí. Používá se k přesouvání zeminy a jiných materiálů.
A tool resembling a spade with a broad blade. Used for moving earth or other material.	Nástroj podobný rýči se širokou čepelí. Používá se k přesouvání zeminy či jiného materiálu.
A valuable shipment that was stolen by smugglers. Zakar is currently searching for it.	Cenná zásilka, kterou ukradli pašeráci. Zakar ji právě hledá.
A versatile and abundant material from the earth. Can be used for building.	Všestranný a hojný materiál ze země. Lze použít ke stavbě.
A versatile grain cultivated in paddies as a staple food, offering sustenance and nourishment.	Všestranné zrno pěstované na zavlažovaných polích jako základní potrava, poskytuje obživu a výživu.
A vibrant and crisp root vegetable with a peppery bite, radishes bring a refreshing crunch. Can be grown on a farm.	Svěží a křupavá kořenová zelenina s peprnou chutí, ředkvičky přinášejí osvěžující křupnutí. Lze pěstovat na farmě.
A village? You want me to settle down? Doesn’t sound like the kind of work I’m used to.	Vesnice? Chceš, abych se usadil? To nezní jako práce, na kterou jsem zvyklý.
A work area where villagers process harvested wheat by threshing, separating edible grain from the straw.	Pracovní prostor, kde vesničané mlátí sklizenou pšenici a oddělují jedlé zrno od slámy.
A worker will collect the yields from placed animal traps and re-set them automatically as long as they're available in stock.	Pracovník bude sbírat úlovky z nastražených pastí a automaticky je znovu nastražovat, dokud budou pasti na skladě.
A worker will collect the yields from placed animal traps and re-set them automatically as long as they're in available stock.	Pracovník bude sbírat úlovky z nastražených pastí a automaticky je znovu nastražovat, dokud budou pasti na skladě.
A workshop where various gear and refined items can be crafted.	Dílna, kde lze vyrábět různou výbavu a zpracované předměty.
Add charm to your village with a variety of decorative structures, enhancing its beauty and creating a unique atmosphere.	Dodej své vesnici půvab rozmanitými ozdobnými stavbami, které zvýší její krásu a vytvoří jedinečnou atmosféru.
Adds light to village paths, enhancing safety and building trust among villagers.	Osvětluje vesnické cesty, zvyšuje bezpečnost a buduje důvěru mezi vesničany.
After all that ordeal I finally managed to deliver the items to the carpenter.	Po všem tom trápení se mi konečně podařilo doručit předměty tesaři.
After checking the recipe, Aleks told me that he needed some additional ingredients, and also a flask to hold the batch.	Po prohlédnutí receptu mi Aleks řekl, že potřebuje ještě nějaké přísady a také lahvici na hotovou dávku.
After defeating the knight, I came back to the Elder to explain what happened.	Po porážce rytíře jsem se vrátil ke stařešinovi vysvětlit, co se stalo.
After everything I still decided to give the loot back to her, I won't stoop to her level. I still have my morals.	Přes všechno jsem se rozhodl kořist jí vrátit, na její úroveň klesat nebudu. Pořád mám své zásady.
After having rescued one of Burning Stove's members, I’ve reached a deal with Klara Winterburn to liberate more of her people.	Po záchraně jednoho z členů Hořících kamen jsem se dohodl s Klarou Winterburn, že osvobodím další její lidi.
After helping the knight in his missions, he offered his service in my village.	Poté, co jsem rytíři pomohl s jeho úkoly, nabídl své služby v mé vesnici.
After meeting Dario at the tavern, he said to see him at Rustshore village because he’d have some work for me.	Po setkání v krčmě mi Dario řekl, abych za ním přišel do vesnice Rustshore, že pro mě bude mít práci.
After rescuing a member of Burning Stove, I’ve struck up an agreement with Klara Winterburn to free more of her people.	Po záchraně člena Hořících kamen jsem uzavřel dohodu s Klarou Winterburn, že osvobodím další její lidi.
After some convincing Marling gave me the flask that Aleks needs for this special concoction.	Po chvíli přesvědčování mi Marling dal lahvici, kterou Aleks potřebuje na ten zvláštní odvar.
After speaking with Helga, she shared that her vote went to Hans.	Helga mi v rozhovoru sdělila, že svůj hlas dala Hansovi.
After talking with Harkin I’ve learnt more about the lighthouses, and him. He takes care of the Craglight Lighthouse.	Z rozhovoru s Harkinem jsem se dozvěděl víc o majácích i o něm. Stará se o maják Craglight.
After the ordeal that happened with Helga's husband I should check on them and see if he hasn't gotten into trouble again.	Po tom, co se stalo s Helžiným manželem, bych se za nimi měl podívat, jestli se zase nedostal do potíží.
Agree or not, my thoughts don’t feed me. I’ve been here long enough to know silence is safer than honesty.	Ať souhlasím, nebo ne, mé názory mě nenasytí. Jsem tu dost dlouho, abych věděl, že mlčení je bezpečnější než upřímnost.
Ah, my friend. What brings you here at this hour? Did I send my people to find you? Are there troubles with our plan?	Ach, příteli. Co tě sem přivádí v tuto hodinu? Poslal jsem pro tebe své lidi? Jsou potíže s naším plánem?
Ah, what I wouldn't give to break every bone in your body, but I'll give you one more chance. Falsgar are nothing but merciful.	Ach, co bych dal za to zlámat ti každou kost v těle, ale dám ti ještě jednu šanci. Falsgar jsou samá milosrdnost.
Akin to a piece of charcoal. Made by keeping over a campfire for too long.	Podobné kusu uhlí. Vzniká příliš dlouhým držením nad táborákem.
Alchemist and Cecilio are dead.Dario promised me a reward for that, I only need to talk to Lyra Zauhar.	Alchymista i Cecilio jsou mrtví. Dario mi za to slíbil odměnu, stačí promluvit s Lyrou Zauhar.
Aleks Amanita accidentally killed a Brigand while experimenting with his new medicine. He asked me to help him cover it up.	Aleks Amanita při pokusech se svým novým lékem nešťastnou náhodou zabil jednoho z Brigands. Požádal mě, abych mu to pomohl zakrýt.
Alistair didn't see anything, he gave little information that could help the investigation.	Alistair nic neviděl, poskytl jen málo informací, které by vyšetřování pomohly.
Allows for hide drying, trap management, and supports several hunters working at the same time.	Umožňuje sušení kůží, správu pastí a práci několika lovců současně.
Allows more settlers to cook more delicious dishes, which significantly boost their attribute and morale.	Umožňuje více osadníkům vařit chutnější jídla, která výrazně zvyšují jejich vlastnosti a morálku.
Allows researching advanced buildings and items, and is a part of the Village Hall.	Umožňuje bádat pokročilé budovy a předměty a je součástí obecního domu.
Allows sending caravans to deliver goods between your settlements as well as to trade with neutral villages.	Umožňuje vysílat karavany k převozu zboží mezi tvými osadami a k obchodu s neutrálními vesnicemi.
Allows settlers to gather fresh water whenever it's needed for the settlement.	Umožňuje osadníkům čerpat čerstvou vodu, kdykoli ji osada potřebuje.
Allows trading with caravans and vendors from neutral settlements without sending your own.	Umožňuje obchodovat s karavanami a kupci z neutrálních osad, aniž bys vysílal vlastní.
Allows you and your settlers to craft all the basic gear along with refining logs.	Umožňuje tobě i osadníkům vyrábět veškerou základní výbavu a zpracovávat polena.
Allows you and your settlers to refine animal carcasses obtained by hunting or slaughtering animals into yield.	Umožňuje tobě i osadníkům zpracovávat zvířecí mršiny z lovu či porážky na suroviny.
Allows you to instantly heal some amount health. Better than Bandage.	Okamžitě vyléčí část zdraví. Lepší než obvaz.
Allows you to sail with Companions and bring your animals on board.	Umožňuje plout se společníky a vzít na palubu svá zvířata.
Amelie mentioned that Oscar might have some answers regarding the sigil. I need to talk to him.	Amelie zmínila, že Oscar by mohl mít nějaké odpovědi ohledně znaku. Musím s ním promluvit.
Amelie shared with me her suspicions around the Bradford election. We must head there to investigate.	Amelie se se mnou podělila o své podezření ohledně voleb v Bradfordu. Musíme se tam vydat a vyšetřit to.
Amelie suggested I should talk with Elder Patryk Sten regarding my pursuit of this strange symbol.	Amelie navrhla, abych ohledně pátrání po tom zvláštním symbolu promluvil se stařešinou Patrykem Stenem.
Amelie suggested that I speak with Klara regarding the sigil. Perhaps she will have an answer for me.	Amelie navrhla, abych ohledně znaku promluvil s Klarou. Snad pro mě bude mít odpověď.
Amelie told me that Padstow’s Elder is in need of help. I should speak with him.	Amelie mi řekla, že stařešina Padstow potřebuje pomoc. Měl bych s ním promluvit.
