# Quests/SideQuests - delsi texty, 39. davka
Take this gold. Maybe next time I’ll invite you to a drink in my workshop. Just don’t rob me.	Vezmi si tohle zlato. Možná tě příště pozvu na skleničku do dílny. Jen mě neokraď.
Take this letter and go to Farnworth. Lucy Lane is my daughter. Good luck traveler!	Vezmi tenhle dopis a jdi do Farnworthu. Lucy Lane je má dcera. Hodně štěstí, pocestný!
Take this pouch and deliver it to our Herbalist, Aleks Amanita. He’s the one that brews the booze.	Vezmi tenhle váček a doruč ho našemu bylinkáři, Aleksovi Amanitovi. To on tu kořalku vaří.
Take this, for your trouble. And always keep your head about you. It seems the Lowlands is getting more dangerous every day.	Vezmi si to za svou námahu. A vždy měj hlavu na správném místě. Zdá se, že Nížiny jsou každým dnem nebezpečnější.
Talk to him? He won’t even look at me. He spends all his time locked in his workshop, drowning in his own guilt and grief. He thinks I’m a monster. Maybe I am.	Promluvit s ním? Ani se na mě nepodívá. Tráví všechen čas zavřený v dílně a topí se ve vlastní vině a žalu. Má mě za netvora. Možná jím jsem.
Tasty-looking bag you have there, our rations are rather lacking lately. Give it to me.	To je chutně vypadající pytel, naše dávky poslední dobou dost pokulhávají. Dej mi ho.
Tell me, why don’t the Brigands stationed here in the village deal with the ones in the Wheatfield, if they are not under Ashbourne order?	Pověz, proč se Brigands umístění tady ve vsi nevypořádají s těmi na Pšeničném poli, když nejsou pod Ashbournovým velením?
Th-thank you… for your help. I think I could’ve defeated them myself if I hadn’t forgotten my weapon.	D-děkuji ti… za pomoc. Myslím, že bych je porazil sám, kdybych nezapomněl zbraň.
Thank the heavens! You’ve done this village a great service. Here’s your reward, as promised.	Díky nebesům! Prokázal jsi téhle vsi velkou službu. Tady máš odměnu, jak bylo slíbeno.
Thank you for being here for me. I know you’re standing up for the people of Karvenia, and you have my full support.	Děkuji ti, že jsi při mně. Vím, že se zastáváš lidu Karvenie, a máš mou plnou podporu.
Thank you for helping me reach the village safely. It wasn’t cheap… but at least I’m alive. Here, your reward.	Děkuji, žes mi pomohl bezpečně dojít do vsi. Nebylo to levné… ale aspoň žiji. Tu máš, tvá odměna.
Thank you for seeing the reason. Here, take this extra money for your “detective work”.	Děkuji, žes viděl rozumně. Tu máš, vezmi si tyhle peníze navíc za svou „vyšetřovatelskou práci“.
Thank you for stopping. You see, I urgently need to reach Bradford due to the election happening soon.	Děkuji, že ses zastavil. Víš, naléhavě se potřebuji dostat do Bradfordu kvůli blížícím se volbám.
Thank you so much! I really needed this. I guess what people say about you is true!	Mockrát ti děkuji! Opravdu jsem to potřeboval. Zdá se, že to, co o tobě lidé říkají, je pravda!
Thank you so much! I’ve wanted to build this for so long. Please take this as a reward.	Mockrát ti děkuji! Chtěl jsem to postavit už tak dlouho. Vezmi si to prosím jako odměnu.
