# Obsah hry, dávka 15 (K-L) - originál <TAB> překlad

# --- repliky ---
Leave me alone.	Nech mě být.
Leave me stranger, I have no buissnes with you.	Nech mě, cizinče, nemám s tebou co do činění.
Leave stranger, I’m busy.	Táhni, cizinče, mám práci.
Leave these people alone.	Nech ty lidi na pokoji.
Leave this place.	Odejdi odsud.
Leave, eh? Fine… your loss.	Odcházíš, jo? Budiž… tvá škoda.
Leave. Now. I will not repeat myself.	Odejdi. Hned. Nebudu se opakovat.
Let me guess - they started fighting.	Hádám, že se dali do rvačky.
Let me guess, you need my help?	Hádám, že potřebuješ mou pomoc?
Let me see what you have.	Ukaž, co máš.
Let me see what you’re selling.	Ukaž, co prodáváš.
Let them see what they’ve done.	Ať vidí, co provedli.
Let's go, monkey.	Jdeme, opičáku.
Let’s practice duelling.	Pojďme si zacvičit souboj.
Let’s see them try to cover this up.	Ať to zkusí zamést pod koberec.
Long enough to know every liar in this town by their stench.	Dost dlouho, abych každého lháře v tomhle městě poznal po čichu.
Long live Lord Ashbourne!	Ať žije lord Ashbourne!

# --- zadání úkolů ---
Learn more about Isa from {Npc}	Zjisti od {Npc} víc o Ise
Learn more about the shrine from {Npc}.	Zjisti od {Npc} víc o svatyni.
Leave the Cassian Sigil	Zanech cassianský znak
Leave the Halmayan Sigil	Zanech halmayanský znak
Locate and loot Donovan's chest hidden in the cave.	Najdi a vyber Donovanovu truhlu ukrytou v jeskyni.
Locate the Kug’s shipment.	Najdi Kugovu zásilku.
Liberate the village to gain access to militia	Osvoboď ves a získáš přístup k domobraně
Liberate the village to gain access to the economy	Osvoboď ves a získáš přístup k hospodářství

# --- názvy úkolů ---
Lanterns of Hope	Lucerny naděje
Last Words	Poslední slova
Last Words of Bellwright	Poslední slova Bellwrightu
Local Pride	Místní hrdost
Liberation	Osvobození
Liberator	Osvoboditel
Liberated a village	Osvobozena ves

# --- dopisy a zápisky ---
Letter	Dopis
Letter (Quest Item)	Dopis (předmět k úkolu)
Letter at Bandit Camp	Dopis v táboře lapků
Letter addressed to the Lord Edmund Ashbourne III.	Dopis adresovaný lordu Edmundu Ashbournovi III.
Letter bearing the signature of Lord Edmund Ashbourne III.	Dopis s podpisem lorda Edmunda Ashbourna III.
Letter found in dead cult leader stash.	Dopis nalezený ve skrýši mrtvého vůdce kultu.
Letter from a Pilgrim	Dopis od poutníka
Letter from King Roan	Dopis od krále Roana
Letter from Lord Ashbourne	Dopis od lorda Ashbourna
Letter from Lord Edmund Ashbourne III (Quest Item)	Dopis od lorda Edmunda Ashbourna III (předmět k úkolu)
Letter from Royal Bastards	Dopis od Královských parchantů
Letter from the Royal Bastards bandits	Dopis od lapků z Královských parchantů
Letter to Finton Mallet	Dopis pro Fintona Malleta
Letter to Finton Mallet from blacksmith in the Gauntlet	Dopis pro Fintona Malleta od kováře z Gauntletu
Letter to Lord Ashbourne	Dopis pro lorda Ashbourna
Letter to the Huntsman	Dopis pro lovčího
Letter to The Huntsman	Dopis pro lovčího
Letter to The Shepherd	Dopis pro pastýře
Letter to the Shepherd	Dopis pro pastýře
Letter with a Miller signature	Dopis s mlynářovým podpisem
Letter With Order (Quest Item)	Dopis se zakázkou (předmět k úkolu)
Letter with order from Haerndean Carpenter.	Dopis se zakázkou od tesaře z Haerndeanu.
Kug's Key (Quest Item)	Kugův klíč (předmět k úkolu)
Kug’s Shipment (Quest Item)	Kugova zásilka (předmět k úkolu)
Library Ledger	Knihovní rejstřík

# --- zbroj a zbraně ---
Knight Helmet	Rytířská přilba
Knight Plate Cuirass	Rytířský plátový kyrys
Lamellar Plate Gloves	Lamelové plátové rukavice
Leather Boots	Kožené boty
Leather Cavalier Boots	Kožené jezdecké boty
Leather Coif	Kožená kápě
Leather Gloves	Kožené rukavice
Leather Mail Boots	Kožené boty s kroužky
Leather Reinforced Gloves	Zesílené kožené rukavice
Leather Reinforced Patched Gambeson	Zesílená látaná prošívanice
Long Chainmail	Dlouhá kroužková zbroj
Long Reinforced Chainmail	Dlouhá zesílená kroužková zbroj
Long Infantry Gambeson	Dlouhá pěchotní prošívanice
Light Cutlass	Lehká šavle
Longbow	Dlouhý luk
Longsword	Dlouhý meč
Lance	Dřevec
Large-Headed Axe	Širočina
