# Quests/SideQuests - delsi texty, 37. davka
Now, we must make an offering to truly connect with the divine. Would you like to make an offering?	A teď musíme přinést obětinu, abychom se opravdu spojili s božstvím. Přeješ si obětovat?
Obviously, you saw through the nonsense. But there’s a surprising many who do not.	Ty jsi ten nesmysl samozřejmě prohlédl. Ale je překvapivě mnoho těch, kdo ne.
Obviously. I don’t carry a bow for the aesthetic. I started learning from my mum when I was young. It’s a useful skill.	Samozřejmě. Luk nenosím pro okrasu. Učila mě matka, když jsem byl malý. Je to užitečná dovednost.
Of course I do! Each one has its own personality, and I find it helps me care for them better.	Samozřejmě že ano! Každá má svou povahu a mně to pomáhá se o ně lépe starat.
Of course, already asking about the prize? Can’t it be a call for adventure? Ah… alright, each year we are trying to figure out something unique.	Samozřejmě, hned se ptáš na cenu? Nemůže to být volání po dobrodružství? Ach… dobrá, každý rok se snažíme vymyslet něco jedinečného.
Of course, an inquisitive mind as yours must be brimming with questions awaiting answer. Do tell, my friend.	Ovšem, tak zvídavá mysl jako tvá musí překypovat otázkami čekajícími na odpověď. Jen povídej, příteli.
Of course, an inquisitive mind as yours must be brimming with questions awaiting answers. Do tell, my friend.	Ovšem, tak zvídavá mysl jako tvá musí překypovat otázkami čekajícími na odpovědi. Jen povídej, příteli.
Of course, come back later if you have time for me. Maybe, if my luck pulls through, your help won’t be needed.	Samozřejmě, vrať se později, až na mě budeš mít čas. Možná, když mě štěstí neopustí, tvá pomoc nebude třeba.
Of course, I refused! I’ve told them before, I’m a damn carpenter! My field is woodwork, not metal!	Samozřejmě že jsem odmítl! Už jsem jim říkal, že jsem zatracený tesař! Mé řemeslo je dřevo, ne kov!
Of course, I understand. Good tools take time and effort to procure. Just know that this task is of great importance to us.	Samozřejmě, chápu. Sehnat dobré nářadí chce čas a úsilí. Jen věz, že ten úkol je pro nás nesmírně důležitý.
Of course, they are more dangerous than rats or rabbits. Those tiny animals don't attack people, at least I haven't heard of such incidents.	Samozřejmě, jsou nebezpečnější než krysy nebo králíci. Ta drobná zvířata na lidi neútočí, aspoň jsem o tom neslyšel.
Of course, you can craft them yourself. I don’t care how you do it but Gods does it need to happen quickly.	Samozřejmě si je můžeš vyrobit sám. Je mi jedno jak, ale u bohů, musí to být rychle.
Of course. I'll bring back whatever else I find. There's a lot to unravel in these old beliefs.	Samozřejmě. Přinesu, cokoli dalšího najdu. V těch starých vírách je co rozplétat.
Of course. I’m not so paranoid that I’ll turn away a potential customer. I still have to eat.	Samozřejmě. Nejsem tak stižený stihomamem, abych odmítal možného zákazníka. Taky musím jíst.
Oh my friend, you ought to learn more about the art of negotiation before going in. But, have it your way. 25 coins.	Ach příteli, měl by ses o umění vyjednávání dozvědět víc, než do toho půjdeš. Ale ať je po tvém. 25 mincí.
Oh my… Who is this group mentioned in the note? Why are they attacking people? I don’t understand.	Ach bože… Kdo je ta skupina zmíněná ve vzkazu? Proč napadají lidi? Nechápu to.
Oh shit, you’re right! What if he went to kill those boars by himself! He’s not a hunter!	Ach sakra, máš pravdu! Co když šel ty kance zabít sám! Není přece lovec!
Oh that old bat got to you too! Don’t go around believin’ in everythin’ you hear. Especially not children stories.	Ta stará bába se dostala i k tobě! Nevěř všemu, co slyšíš. Zvlášť ne dětským povídačkám.
Oh this is a disaster! The concoction didn’t work. My husband is still suffering, and I’ve run out of ideas.	Ach, to je pohroma! Ten odvar nezabral. Můj muž pořád trpí a mně došly nápady.
