As soon as you’re done with Ashbourne, we’ll sit down and discuss it. Now go, gather your people.	Jakmile skoncuješ s Ashbournem, sedneme si a probereme to. Teď jdi, shromáždi své lidi.
At first, I was afraid of them, the raiders from across the sea, but now I know they are the solid block that Halmare can build its future from.	Zprvu jsem se jich bál, těch nájezdníků zpoza moře, ale teď vím, že jsou pevným kamenem, na němž může Halmare stavět svou budoucnost.
At least I broke free before the leash choked me. You? You’ll die still waving their banner.	Já se aspoň utrhl, než mě vodítko zardousilo. Ty? Ty zemřeš a ještě budeš mávat jejich praporem.
At least with the Falsgar, there’s order, strength. You call me a traitor, but I call myself a man who chose the winning side.	U Falsgaru je aspoň řád, síla. Ty mi říkáš zrádce, ale já si říkám muž, který si vybral vítěznou stranu.
At least you’ll have plenty of stock of game and berries. The perfect diet, if only you were a bear.	Aspoň budeš mít hojné zásoby zvěřiny a bobulí. Dokonalá strava, kdybys tak byl medvěd.
At least you’re not blind. Kug parades about Cragkeep as if he were of noble blood.	Aspoň nejsi slepý. Kug se po Cragkeepu naparuje, jako by byl urozené krve.
Atwood is the young challenger. He’s a very well-educated man, and was the person who initially called for the election.	Atwood je mladý vyzyvatel. Je to velmi vzdělaný muž a byl to on, kdo volby původně svolal.
Aye! I’m me. Don’t know what you were doing, riding in here swinging your weapon like a lunatic.	Jo! Jsem to já. Nevím, cos to vyváděl, když jsi sem vtrhl a mával zbraní jako šílenec.
Aye. When one person has three votes, how much can everyone else’s vote really matter? Ashbourne wanted Sten in power, and that’s what he got.	Jo. Když má jeden člověk tři hlasy, jakou váhu může mít hlas všech ostatních? Ashbourne chtěl u moci Stena, a to taky dostal.
Because Cassandra ordered it, and she sees the bigger picture. You think we enjoy your company?	Protože to nařídila Cassandra a ta vidí dál. Myslíš, že nás tvá společnost těší?
Because he needs to see what we’re fighting for. Every hand matters, and he must learn quickly.	Protože musí vidět, za co bojujeme. Každá ruka se počítá a on se musí učit rychle.
Because he’s the only one who didn’t treat me like a bomb about to explode. My father saw a liability. Lyra saw a number. Edoardo? He just saw me.	Protože jen on se ke mně nechoval jako k sudu prachu, co má každou chvíli vybuchnout. Otec viděl přítěž. Lyra viděla číslo. Edoardo? Ten viděl prostě mě.
Because I know where the people who intercepted the smugglers' cargo are, and you have the muscle needed to get it back.	Protože já vím, kde jsou ti, co pašerákům sebrali náklad, a ty máš svaly na to ho získat zpět.
Because if you value the life of your men this is the best course of action you can take.	Protože jestli ti záleží na životech tvých mužů, je to nejlepší, co můžeš udělat.
Because the Cassians and the Falsgar have a… working relationship, let’s say. A ‘one hand washes the other’ deal.	Protože Cassiané a Falsgar mají… řekněme pracovní vztah. Dohodu typu „ruka ruku myje“.
Because the Cassians are no friends to the Halmayans. I fought to protect my people from their influence, and now my own daughter falls for one?	Protože Cassiané nejsou přátelé Halmayanů. Bojoval jsem, abych svůj lid ochránil před jejich vlivem, a teď se má vlastní dcera do jednoho zamiluje?
Because the town is restless. Kug’s grip weakens with every whisper, every hidden meeting.	Protože město je neklidné. Kugovo sevření slábne s každým šepotem, každou tajnou schůzkou.
Because this island offers nothing but rot and debt. Get my family off this rotten island.	Protože tenhle ostrov nenabízí nic než hnilobu a dluhy. Dostaň mou rodinu z toho prohnilého ostrova.
Because this time the dagger points at Kug’s throat, not yours. If I wanted you dead, we’d be talking over your corpse already.	Protože tentokrát míří dýka na Kugovo hrdlo, ne na tvoje. Kdybych tě chtěl mrtvého, už bychom mluvili nad tvou mrtvolou.
Because timing is everything. Striking too soon would’ve rallied his forces, striking too late would’ve seen our people broken.	Protože načasování je vším. Udeřit příliš brzy by sjednotilo jeho síly, udeřit příliš pozdě by zlomilo naše lidi.
Because we have a little non-aggression deal with the Falsgar and this girl is not technically a fully fledged Cassian, just like you.	Protože máme s Falsgarem takovou malou dohodu o neútočení a ta dívka vlastně není plnohodnotná Cassianka, stejně jako ty.
Because what? Was it faster than giving them a helping hand?\r\nThis was only one of many examples of your incompetence.	Protože co? Bylo to rychlejší než jim podat pomocnou ruku?\r\nTohle byl jen jeden z mnoha příkladů tvé neschopnosti.
Before you go, I just wanted to let you know… I believe I know who you voted for. Call it a hunch.	Než půjdeš, chtěl jsem ti jen říct… Myslím, že vím, koho jsi volil. Říkej tomu tušení.
