# Slovníček pojmů pro českou lokalizaci Bellwright
#
# Formát:  anglicky <TAB> česky <TAB> další přijímané tvary (oddělené čárkou)
#
# Třetí sloupec je tu kvůli skloňování - kontrola hledá v překladu kterýkoli
# z uvedených tvarů, takže stačí uvést kmen nebo pár pádů, ne celé paradigma.
#
# Styl: tykání hráči, mírně starosvětský slovník, ale čtivý. Kde existuje dobové
# české slovo (lapka, dýmačka, prošívanice), má přednost před kalkem z angličtiny.
#
# Tenhle soubor je odhad postavený na názvech assetů ve hře. Až budeme mít
# skutečné anglické texty z ModKitu, projdeme ho a doplníme podle reality.

# --- osada a lidé -------------------------------------------------------------
settlement	osada	osad, osadě, osadu, osadou
village	ves	vsi, vesnic, vesnice
town	město	měst, městě, městu
villager	vesničan	vesničan, vesničt
recruit	rekrut	rekrut, naverbov, verbov
follower	družiník	družiník, družin
worker	dělník	dělník, dělnic
peasant	sedlák	sedlák, sedlác
lord	lord	lord, pán, pána
sheriff	šerif	šerif
noble	šlechtic	šlechtic, šlechet
prisoner	zajatec	zajatc, zajatce
hermit	poustevník	poustevník, poustevn
bandit	lapka	lapk, lapka, bandit
outlaw	psanec	psanc, psance
militia	domobrana	domobran
invasion	vpád	vpád, invaz
faction	frakce	frakc
population	obyvatelstvo	obyvatel

# --- postava a statistiky -----------------------------------------------------
health	zdraví	zdraví
stamina	výdrž	výdrž
hunger	hlad	hlad
thirst	žízeň	žízn, žízeň
fatigue	únava	únav
morale	morálka	morálk
loyalty	věrnost	věrnost
skill	dovednost	dovednost
trait	vlastnost	vlastnost
perk	přednost	přednost
level	úroveň	úrovn, úroveň
experience	zkušenosti	zkušenost
attribute	atribut	atribut

# --- vlastnosti postav (Traits) ----------------------------------------------
Berserker	berserk	berserk
Blind	slepý	slep
Brawler	rváč	rváč
Carrier	nosič	nosič
Coward	zbabělec	zbabělc, zbabělec
Deep Stomach	nenasyta	nenasyt
Exemplary Soldier	vzorný voják	vzorn
Fury	zuřivost	zuřiv
Gourmet	labužník	labužník
Marathoner	vytrvalec	vytrvalc, vytrvalec
Marksman	střelec	střelc, střelec
Neurotic	neurotik	neurot
Nomad	kočovník	kočovník
Novice	nováček	nováč
Optimist	optimista	optimist
Pessimist	pesimista	pesimist
Scientist	učenec	učenc, učenec
Slacker	lenoch	lenoch, lenoš
Sprinter	běžec	běžc, běžec
Swordsman	šermíř	šermíř
Veteran	veterán	veterán

# --- výroba a stavby ----------------------------------------------------------
crafting	výroba	výrob
recipe	předpis	předpis, recept
workbench	pracovní stůl	pracovní stůl, verpánek
forge	kovárna	kovárn
bloomery	dýmačka	dýmač, výheň
smelting furnace	tavicí pec	tavicí pec, tavic
tannery	koželužna	koželuž
sawmill	pila	pil
mill	mlýn	mlýn
barn	stodola	stodol
storage	sklad	sklad
warehouse	skladiště	skladišt
tavern	krčma	krčm
construction site	staveniště	staveništ
building	stavba	stavb, budov
technology	technologie	technologi
research	bádání	bádán, výzkum
blueprint	plán	plán
upgrade	vylepšení	vylepš

# --- suroviny a zboží ---------------------------------------------------------
iron ore	železná ruda	železn
coal	uhlí	uhlí
charcoal	dřevěné uhlí	dřevěné uhlí
timber	dřevo	dřev, klád
plank	prkno	prkn
stone	kámen	kámen, kamen
clay	hlína	hlín
flax	len	len, lnu
linen	plátno	plátn
wool	vlna	vln
cloth	látka	látk, sukn
hide	surová kůže	surová kůže, kůž
leather	useň	usn, useň, kůž
grain	obilí	obilí
