# Bonusy, zvířata, vojsko, bitvy, karavany a potvrzovací dialogy.
#
# AnimalFemaleNamesTable a AnimalMaleNamesTable (200 jmen zvířat) zůstávají
# záměrně anglické - jsou to vlastní jména a hra se odehrává v anglickém světě.

AMistHuman	DebugSkills	{Current}/{Potentional}

# =========================== BONUSY A POSTIHY ================================
ActionModifier	None	Žádný
ActionModifier	MaxHealthModify	Max. zdraví
ActionModifier	MaxStaminaModify	Max. výdrž
ActionModifier	MovementSpeedMultiplier	Rychlost pohybu
ActionModifier	AttackSpeedModifier	Rychlost útoku
ActionModifier	AttackAfterBlockMultiplier	Útok po bloku
ActionModifier	HeavyAttackStaminaCostMultiplier	Výdrž za těžký útok
ActionModifier	MartialArtsModifier	Bojové vlastnosti
ActionModifier	RangedMartialArtsModifier	Vlastnosti střelby
ActionModifier	ProjectileDamageMultiplier	Poškození střelami
ActionModifier	SiegeWeaponReloadMultiplier	Nabíjení obléhacích strojů
ActionModifier	EnemyAggroModifier	Zájem nepřátel
ActionModifier	InjuryDeathChanceModifier	Šance na smrt při zranění
ActionModifier	SprintingStaminaMultiplier	Výdrž při sprintu
ActionModifier	StartSprintingStaminaMultiplier	Výdrž na zahájení sprintu
ActionModifier	StaminaRegenSpeedMultiplier	Rychlost obnovy výdrže
ActionModifier	HungerSpeedModifier	Rychlost hladovění
ActionModifier	CraftingSpeedMultiplier	Rychlost výroby
ActionModifier	ProductivitySpeedMultiplier	Produktivita
ActionModifier	QuenchingMultiplier	Kalení
ActionModifier	LootingLuckMultiplier	Štěstí při prohledávání
ActionModifier	RareHarvestChanceModifier	Šance na vzácný výnos
ActionModifier	SkillExpGainModifier	Zisk zkušeností dovedností
ActionModifier	XPKillGainMultiplier	Zisk zkušeností za zabití
ActionModifier	MaxMercenaryBonus	Max. žoldnéřů

# ============================== ZVÍŘATA ======================================
Animal	AnimalStartFollowing	{AnimalName} ({Type}) tě začal následovat!
Animal	AnimalStoppedFollowing	{AnimalName} ({Type}) tě přestal následovat!
AnimalDropBag	DropBagNameWithWeight	{Name} [{Weight}]
AnimalNickname	DialogDescription	Dej zvířeti přezdívku

AnimalSkillExplanation	AmountModifier	Množství vyprodukovaných surovin
AnimalSkillExplanation	SpeedModifier	Rychlost produkce surovin
AnimalSkillExplanation	WeightModifier	Váha
AnimalSkillExplanation	LifespanModifier	Délka života
