# Rozhraní, dokončení část C - namespace <TAB> klíč <TAB> překlad
#
# Část nápověd (Flots, oázy, walkeři, Levy) jsou pozůstatky z Last Oasis,
# jiné hry téhož studia. Překládáme je taky - ve hře se zobrazit můžou.

GroupTeleport	AnimalsToTeleport	\nZvířata: {Count}
GroupTeleport	PlayerToTeleport	{PreviousText}\n{PlayerName}
MistGameMenu	InviteButtonFailDescription	Nepodařilo se otevřít okno pozvánky.\nUjisti se, že je zapnutá překryvná vrstva Steamu.\n\nJak ji zapnout:\n1. Otevři Steam\n2. Jdi do Nastavení -> Ve hře\n3. Zaškrtni „Povolit překryvnou vrstvu Steamu ve hře“
MistNpcListJobPriorityHeaderGroupWidget	NoStructureWithJobCategoryToolTip	{JobCategory}\nPro tuhle práci nemáš stavbu

Respawn	CannotRespawn	Stiskni pro oživení
Respawn	DangerousToRespawn	Oživení je teď nebezpečné. Bude možné za {TimeLeft} s
Respawn	TetherCannotRespawn	Oživení je teď nebezpečné

Roadworks	CantRemoveRoadSegment	TUHLE CESTU NELZE ODSTRANIT
Roadworks	CreateRoad	UMÍSTIT
Roadworks	ExtendRoad	PRODLOUŽIT
Roadworks	JoinRoads	SPOJIT
Roadworks	MissingResources	CHYBÍ SUROVINY
Roadworks	NoRoad	ŽÁDNÁ CESTA
Roadworks	RemoveRoadSegment	ODSTRANIT
Roadworks	RequiresRoadToExtend	NAJDI STÁVAJÍCÍ CESTU
Roadworks	RoadBlocked	ZABLOKOVÁNO
Roadworks	RoadTooLong	PŘÍLIŠ DLOUHÉ
Roadworks	RoadTooSharp	PŘÍLIŠ OSTRÉ
Roadworks	RoadTooShort	PŘÍLIŠ KRÁTKÉ

RoleSwitcherWidget	FallenInBattleBeforeSettlement	Brzy se vrátí do tvého oddílu.
SaplingActor	SaplingActorQueryInfoText	Semenáček roste
SaveGraphicsSetting	Description	Některé změny se projeví až po restartu
SaveGraphicsSetting	NoButtonText	Zahodit změny
SaveGraphicsSetting	YesButtonText	Ukončit hru
Settings	KeyMappingConflict_CollisionInSameContext	Koliduje s {MappingName}
Settings	KeyMappingConflict_HiddenBy	Překryto {MappingName}
Settings	KeyMappingConflict_Hides	Překrývá {MappingName}
SettingsScreen	UnsavedChangesConfirmation	Máš neuložené změny. Chceš přesto odejít?

Settlement	ChronicleNpcJoinedSettlement	Vesničan {FirstName} {LastName} se přidal k tvé osadě {TownHallName}
Settlement	ChronicleNpcLeaveSettlementFood	Vesničan {FirstName} {LastName} opustil osadu {TownHallName} – nezbylo nic k jídlu
Settlement	ChronicleNpcLeaveSettlementWater	Vesničan {FirstName} {LastName} opustil osadu {TownHallName} – nedostatek vody
