# Rozhraní, dokončení část B - namespace <TAB> klíč <TAB> překlad
#
# Oddělovače ", " (BringQuestDescriptionItemDelimiter, ShipmentItemDelimiter)
# zůstávají nepřeložené - mají koncovou mezeru, kterou by TSV ztratilo,
# a v češtině jsou stejné.

MistSettlementTradingWidget	TransactionState_InvalidBuy	Neplatné hráčovy předměty
MistSettlementTradingWidget	TransactionState_InvalidSell	Neplatné předměty k prodeji
MistSettlementTradingWidget	TransactionState_NotEnoughMoney	Nedostatek
MistSettlementTradingWidget	TransactionState_RequiresSellOrder	Nenakupuje, ale je ochoten směnit

MistSkillBookEntryWidget	Duration	Trvá {Duration}
MistSkillBookReadEntryWidget	RequiredLevelError	Vyžaduje\núroveň {Level}
MistSkillLevelToolTipWidget	LevelHeader	Úroveň {CurrentLevel}/{PotentialLevel}
MistStructureListItemWidget	ConstructionSiteProgress	hotovo {Percentage}
MistStructureListItemWidget	ConstructionSiteProgressFoliage	Odklízení porostu
MistStructureManagementContainerPanelWidget	RequiredForNameLabel	Potřebné suroviny pro {Name}
MistStructureManagementContainerPanelWidget	RequiredLabel	Potřebné suroviny
MistStructureManagementResearchOrderCurrentWidget	ResearchProgress	vybádáno {ResearchPercentage}
MistStructureManagementResearchScreen	MaxTechAgeHeader	Bádání technologií až do úrovně {TechAge}.
MistStructureManagementTradePostRuleEditWidget	QuantityLimit.Buy.Label.Keep	Ponechat

MistTechTreePopupTechAgeWidget	UnlockHintBuild	Postav {StructureName} a odemkneš tuto úroveň.
MistTechTreePopupTechAgeWidget	UnlockHintResearch	Vybádej {TechnologyName} a odemkneš tuto úroveň.
MistTechTreePopupTechAgeWidget	UnlockProgress	vybádáno {ProgressPercentage}
MistTechTreePopupWidget	DurationOriginalLabel	Zbývající doba
MistTechTreePopupWidget	ModifiedDurationLabel	({Modified})
MistTechTreePopupWidget	ResearchProgress	vybádáno {ResearchPercentage}
MistToggleMenuWidget	ButtonLabelWithMultipleSelectedOptions	{Label} +{Num}

MistTownLogicAccessPoint	AccessPoint_Build	Stavět
MistTownLogicAccessPoint	AccessPoint_Deconstruct	Rozebrat
MistTownLogicAccessPoint	AccessPoint_Operate	Obsluhovat
MistTownLogicAccessPoint	AddConstructionMaterial	Přidat stavební materiál
MistTownLogicAccessPoint	AddConstructionMaterialFirst	Nejdřív přidej stavební materiál
MistTownLogicAccessPoint	AddResource	Přidat {ResourceName} {Available}/{Maximum}
MistTownLogicAccessPoint	AddResourceNoItem	Žádný předmět
MistTownLogicAccessPoint	AddSingleResource	Přidat {ResourceName}
