# Dialogy NPC, dávka 02 - originál <TAB> překlad

# --- pozdravy a přivítání ---
Well met.	Buď zdráv.
Well met!	Buď zdráv!
Well met, fellow!	Buď zdráv, příteli!
Well met, friend.	Buď zdráv, příteli.
Well met, I suppose.	Inu, buď zdráv.
Well met… though I can’t say I’m pleased.	Buď zdráv… ač nemohu říct, že mě to těší.
Well met… though not gladly.	Buď zdráv… ač nerad.
Welcome.	Vítej.
Welcome, friend.	Vítej, příteli.
Welcome, noble companion!	Vítej, vznešený druhu!
Welcome, how can I help you?	Vítej, jak ti můžu pomoct?
Welcome.How can I help you?	Vítej. Jak ti můžu pomoct?
Welcome! Your presence instills hope and loyalty.	Vítej! Tvá přítomnost vlévá naději a věrnost.
Welcome, mighty ruler! Your presence instills hope and loyalty.	Vítej, mocný vládce! Tvá přítomnost vlévá naději a věrnost.
Welcome, mighty sentinel! Your bravery resonates through the land.	Vítej, mocný strážce! Tvá statečnost se nese celou zemí.
The village rests easier with you watching.	Ves spí klidněji, když bdíš.
We sleep peacefully knowing you're on guard.	Spíme klidně, když víme, že hlídáš.
We are well and ever ready, inspired by your bravery.	Máme se dobře a jsme připraveni, tvá statečnost nás povzbuzuje.
It's an honor to see you again, hero. Anything you need?	Je mi ctí tě zas vidět, hrdino. Potřebuješ něco?
It’s an honor to fight beside you.	Je mi ctí bojovat po tvém boku.
It’s good to have you with us.	Jsme rádi, že jsi s námi.
Nice to meet you hero!	Rád tě poznávám, hrdino!
Nice to see you.	Rád tě vidím.
Peaceful, thanks to you. If you need anything, we're at your service.	Je klid, díky tobě. Kdybys něco potřeboval, jsme ti k službám.
Well, look who it is!	Ale podívejme, kdo to je!
It's you.	To jsi ty.
Oh. It’s you.	Á. To jsi ty.
Mm. Another face.	Hm. Další tvář.
Stranger, what brings you to these walls?	Cizinče, co tě přivádí k těmto hradbám?
It’s not often that a stranger comes here. Do you need assistance?	Cizinec sem zavítá zřídka. Potřebuješ pomoc?
Some villages are more cautious around strangers, but we’re not like that.	Některé vsi jsou k cizincům obezřetné, my takoví nejsme.
Strength and glory friend.	Sílu a slávu, příteli.
Peace be with you.	Pokoj s tebou.
Peace be with you, noble one.	Pokoj s tebou, vznešený.
Peace to you.	Pokoj tobě.
May gods protect you.	Ať tě bohové ochraňují.
May the gods protect you!	Ať tě bohové ochraňují!
May gods keep you safe.	Ať tě bohové chrání.
Prayers are always helpful.	Modlitby vždy pomohou.

# --- hlídky a služba ---
I’m on duty right now, so I can’t talk for long.	Právě jsem ve službě, tak nemůžu dlouho mluvit.
I’m busy with my patrol. Can we talk later?	Mám hlídku. Můžeme si promluvit později?
Oh, hello there! Sorry, I can't chat for long. Busy with the patrols.	Á, zdravím! Promiň, nemám čas na řeči. Mám hlídku.
Just checking in. Anything unusual?	Jen obhlídka. Něco neobvyklého?
No, just routine checks. But I must keep going.	Ne, jen běžná kontrola. Ale musím dál.
No, but we are prepared for anything.	Ne, ale jsme připraveni na všechno.
We are prepared for anything.	Jsme připraveni na všechno.
No, but we can’t let our guard down. I appreciate your concern.	Ne, ale nesmíme polevit v ostražitosti. Díky, že se ptáš.
Not yet, thankfully. But we've seen their numbers growing.	Zaplaťbohu ještě ne. Ale jejich počty rostou.
Town’s nice and quiet tonight.	Ve městě je dnes v noci klid.
Thieves and lawbreakers are unwelcome. Any suspicious behavior will be met with punishment.	Zloději a rušitelé zákona tu nejsou vítáni. Každé podezřelé chování bude potrestáno.
What is your purpose here? I’m on duty.	Co tu pohledáváš? Jsem ve službě.
Our dear Viceroy is in his chambers; you do not have permission to enter.	Náš vážený místokrál je ve svých komnatách; vstup nemáš dovolen.
The Cutlass is in her chambers, I would be careful If I were you. She's not having a good day.	Šavle je ve svých komnatách, být tebou bych byl opatrný. Nemá dobrý den.
The Cutlass should be in her chambers.	Šavle by měla být ve svých komnatách.

# --- odbytí a hrozby ---
It’s none of your business.	Do toho ti nic není.
I'm not intrested.	Nemám zájem.
I'm not intrested in talking with you.	Nemám zájem s tebou mluvit.
I'm not looking for troubles.	Nehledám potíže.
I’m not telling a no-name like you anything. Get out of my sight!	Někomu jako ty neřeknu nic. Zmiz mi z očí!
I’d greet you kindly, but we both know that’s a lie.	Pozdravil bych tě vlídně, ale oba víme, že by to byla lež.
The only greeting you’ll get from me is a curse.	Jediný pozdrav, který ode mě dostaneš, je kletba.
The rats must be missing you.	Krysám asi chybíš.
Still breathing? Shame.	Ještě dýcháš? Škoda.
Still drawing breath, I see.	Vidím, že pořád dýcháš.
We meet again. Fortune mocks me.	Zase se potkáváme. Osud se mi posmívá.
If the gods won’t punish you, I will.	Když tě nepotrestají bohové, potrestám tě já.
One false move and you answer for it.	Jeden špatný pohyb a zaplatíš za to.
One more step and I will make you taste my blade, betrayer.	Ještě krok a okusíš mou čepel, zrádce.
No, you can't be glad that you're still alive. Betrayer.	Ne, radovat se, že ještě žiješ, nemůžeš. Zrádce.
Amusing. If I give the signal, an arrow would shoot through your eye before you even realize it.	Zábavné. Kdybych dal znamení, šíp by ti prolétl okem dřív, než si toho všimneš.
Keep your head down and your mouth shut if you know what is good for you!	Drž hlavu skloněnou a hubu zavřenou, jestli je ti život milý!
Keep your head down and your mouth shut if you know what's good for you.	Drž hlavu skloněnou a hubu zavřenou, jestli je ti život milý.
What makes you think you are welcome here!?	Z čeho soudíš, že jsi tu vítán?!
What makes you think you're welcome here?	Z čeho soudíš, že jsi tu vítán?
Not here for long, are you?	Dlouho tu nepobudeš, viď?
Step aside.	Uhni.
Move on landlover.	Táhni dál, suchozemče.
Keep to the road and move on.	Drž se cesty a jdi dál.
Let your face be seen.	Ukaž tvář.
We should end this conversation now. For your own good.	Ten rozhovor bychom měli ukončit. Pro tvé vlastní dobro.
Looking for a fight?	Hledáš rvačku?
Looking for a fight?!	Hledáš rvačku?!
Looking for trouble?	Hledáš potíže?
Looking for trouble?!	Hledáš potíže?!
Someday, we will cross paths on the battlefield. You better prepare yourself.	Jednou se střetneme na bitevním poli. Radši se připrav.
I’m not gonna work with you. You are a complete stranger.	Nebudu s tebou dělat. Jsi úplně cizí.
Maybe I am a beggar but I’m not gonna work with strangers.	Možná jsem žebrák, ale s cizinci dělat nebudu.

# --- otázky ---
What do you want?	Co chceš?
What do you want here?	Co tu chceš?
What do you need?	Co potřebuješ?
What brings you here?	Co tě sem přivádí?
What is it you seek?	Co hledáš?
What you're looking for?	Co hledáš?
Looking for something?	Hledáš něco?
Need something?	Potřebuješ něco?
Need a hand?	Potřebuješ pomoct?
May I help you?	Můžu ti pomoct?
What would you like to know?	Co by ses rád dozvěděl?
Is there anything else you want to ask?	Chceš se zeptat ještě na něco?
Okay, do you need anything else?	Dobře, potřebuješ ještě něco?
Thank you, do you need anything else?	Děkuji, potřebuješ ještě něco?
Well, do you want to ask anything else? I’m in a hurry.	Tak, chceš se zeptat ještě na něco? Spěchám.
Isn't it better for you to find a job?	Nebylo by pro tebe lepší najít si práci?
Of course who do you want to find?	Ovšem, koho chceš najít?
Who do you want to find?	Koho chceš najít?
Who locked you here?	Kdo tě sem zavřel?
Oh? What's changed?	Ano? Co se změnilo?
Who am I? A walking book?	Kdo jsem? Chodící kniha?
Where can I find the Viceroy of this town?	Kde najdu místokrále tohoto města?
Where can I find your leader, The Cutlass?	Kde najdu vaši vůdkyni, Šavli?
What can you tell me about Isles?	Co mi řekneš o ostrovech?
What can you tell me about this place?	Co mi řekneš o tomhle místě?
What can I do to prove my loyalty to the Cassians?	Jak můžu Cassianům dokázat svou věrnost?
What if I introduce myself? Would you be willing to speak with me then?	Co když se představím? Promluvil bys pak se mnou?
What do you say to a glass of something strong?	Co říkáš na pohár něčeho ostřejšího?
Looks like you’ve had a long journey. What places have you visited?	Vypadá to na dlouhou cestu. Kde všude jsi byl?
That's quite a legacy… Was it difficult for you to take the leadership of Haerndean?	To je pěkný odkaz… Bylo těžké převzít vedení Haerndeanu?
With the crops faring better, how's the mood in the village?	Když se úrodě daří líp, jaká je ve vsi nálada?
That's troubling news indeed. Have they caused any trouble yet?	To jsou vskutku znepokojivé zprávy. Způsobili už nějaké potíže?
If your people were here first, then why are they not in charge of the Lowlands?	Když tu byl tvůj lid první, proč Nížinám nevládne?
Show me what you’ve got to sell.	Ukaž, co máš na prodej.

# --- odpovědi a poděkování ---
Thank you!	Děkuji!
Thank you for your time.	Děkuji za tvůj čas.
Thank you for your kind words.	Děkuji za laskavá slova.
Thank you so much. You have no idea how much it can help me.	Moc ti děkuji. Netušíš, jak moc mi to pomůže.
Thank you, that's all I needed to know.	Děkuji, to je vše, co jsem potřeboval vědět.
Thank you for your help, now we can rebuild our past glory!	Díky za pomoc, teď můžeme obnovit svou dávnou slávu!
That means a lot to me.	To pro mě hodně znamená.
That's all I needed to know.	To je vše, co jsem potřeboval vědět.
That's everything I needed to know.	To je vše, co jsem potřeboval vědět.
That's all I wanted to ask.	Na to jsem se chtěl zeptat.
That's everything I wanted to ask.	Na to jsem se chtěl zeptat.
That’s everything I wanted to know.	To je vše, co jsem chtěl vědět.
That's really good to know, thank you.	To je dobré vědět, děkuji.
That's wonderful news.	To je skvělá zpráva.
That sounds terrifying.	To zní děsivě.
That’s all. Safe travels.	To je vše. Šťastnou cestu.
I’ve got the information I needed.	Mám informace, které jsem potřeboval.
Seems fair.	Zní to spravedlivě.
Seems tough. Let me ask you something else.	Zní to těžce. Zeptám se na něco jiného.
Sure thing.	Jasně.
Understood.	Rozumím.
Ok.	Dobře.
