# Quests/SideQuests - delsi texty, 26. davka
A boar… A BOAR?! I don’t know what to say, I’m stunned. I hope the Elder doesn’t exile him.	Kanec… KANEC?! Nevím, co na to říct, jsem ohromený. Doufám, že ho stařešina nevyžene.
A break… I haven't considered that. It could help clear my head. Thanks for the suggestion.	Přestávka… To mě nenapadlo. Mohlo by mi to pročistit hlavu. Díky za návrh.
A couple nights ago, I got a visit from some old mates who had left the Lord’s guard, like I did back in the day. They came over for a drink and a chinwag.	Před pár nocemi mě navštívili staří kumpáni, co odešli od pánovy stráže, jako kdysi já. Přišli na skleničku a na kus řeči.
A couple of trade caravans and we could buy food for the next three winters for the whole village.	Pár obchodních karavan a mohli bychom celé vsi nakoupit jídlo na tři zimy dopředu.
A fair question. Complete this task, and you'll earn something valuable in return for your efforts.	Oprávněná otázka. Splň ten úkol a za své úsilí získáš něco cenného.
A few nights ago, one of our sentries spotted a hooded figure leaving Bernar's farm after dark, heading towards the forest where we suspect the bandits camp.	Před pár nocemi zahlédl jeden z našich strážných zahalenou postavu, jak po setmění odchází z Bernarova statku k lesu, kde podle nás táboří lapkové.
A ghost… maybe you’re right. Maybe I’ve been holding on to something that died a long time ago.	Duch… možná máš pravdu. Možná se držím něčeho, co dávno zemřelo.
A good friend of mine. He has been arrested and branded a traitor because of my actions.	Můj dobrý přítel. Kvůli mým činům ho zatkli a označili za zrádce.
A great deal happens around here but that is sensitive information that I am not at liberty to share with just any stranger that strikes up conversation.	Dějí se tu velké věci, ale to jsou choulostivé zprávy, které nemohu sdělovat každému cizinci, co zapřede hovor.
A healthy dose of skepticism, I respect that. But you won't regret it. This isn't a fool's errand; it's an opportunity.	Zdravá dávka nedůvěry, to ctím. Ale nebudeš litovat. Tohle není bláznova pochůzka, tohle je příležitost.
A little bit of everything, as long as it doesn’t involve fighting. If you think it’s a good idea, let me know! I’ll be right here.	Trochu ode všeho, pokud v tom není boj. Jestli si myslíš, že je to dobrý nápad, dej vědět! Budu tady.
A naive question, young one. You think one swindler is high on our list of priorities, given all the dangers that surround us?	Naivní otázka, mladíku. Myslíš, že jeden šejdíř je vysoko na našem seznamu starostí, když nás obklopuje tolik nebezpečí?
