# Obsah hry, dávka 10 (F-H) - originál <TAB> překlad

# --- repliky ---
Greetings.	Buď zdráv.
Greetings, stranger! What can I interest you in today?	Buď zdráv, cizinče! Co pro tebe dnes mám?
Greetings. If you carry food, I already like you.	Buď zdráv. Jestli neseš jídlo, už teď tě mám rád.
Hail and well met, traveler!	Buď zdráv a vítej, pocestný!
Good day to you.	Dobrý den ti přeji.
Good day. I am Quartermaster of the Halmayan contingent.	Dobrý den. Jsem zásobovatel halmayanského oddílu.
Good to see you.	Rád tě vidím.
Good to see you my friend.	Rád tě vidím, příteli.
Good.	Dobře.
Good. He's opening the door.	Dobře. Otevírá dveře.
Good, I'll let it slide this time. Now let's trade.	Dobrá, tentokrát to nechám být. A teď obchodujme.
Good quality tools.	Kvalitní nástroje.
Grand job, they look solid.	Skvělá práce, vypadají pevně.
Glad to have you.	Rád tě tu mám.
Go away.	Jdi pryč.
Go away stranger.	Jdi pryč, cizinče.
Get lost.	Vypadni.
Get out of my sight! I know what you did with my shipment.	Zmiz mi z očí! Vím, cos udělal s mou zásilkou.
Got a few more questions.	Mám ještě pár otázek.
Got more to ask you.	Chci se tě ještě na něco zeptat.
Got any job for me?	Nemáš pro mě práci?
Got them right there.	Mám je tady.
Gauntlet? No, but I’m keen to travel there soon.	Gauntlet? Ne, ale brzy se tam chystám.
Glory to the Queen!	Sláva královně!
Great Lord Ashbourne!	Veliký lorde Ashbourne!
Guidance of Lord Ashbourne!	Vedení lorda Ashbourna!
Guards, my brothers… all dead. I buried them myself.	Strážní, mí bratři… všichni mrtví. Sám jsem je pohřbil.
Ha! No days off round these parts, mate.	Ha! Tady se volno nedává, kamaráde.
Ha! You like what you see, don't you? Fine.	Ha! Líbí se ti, co vidíš, co? Dobrá.

# --- zadání úkolů ---
Gather all players!	Shromáždi všechny hráče!
Gather the grain from farmers	Vyber obilí od sedláků
Gather Water	Naber vodu
Get Booze from a Herbalist	Sežeň chlast u bylinkáře
Get Milk	Sežeň mléko
Get materials needed to rebuild Padstow Village Hall	Sežeň materiál na obnovu radnice v Padstowu
Get on the ship.	Nastup na loď.
Get rid of Fishing Guild member.	Zbav se člena rybářského cechu.
Get rid of the bandit’s camp near Padstow	Zbav se tábora lapků u Padstowu
Get rid of the bandit’s camp near Padstow.	Zbav se tábora lapků u Padstowu.
Get rid of the Brigand	Zbav se lupiče
Get tusks needed for powder	Sežeň kly potřebné na prášek
Go inside the archive	Vejdi do archivu
